region,facial expression
V1_L,-0.08951095575409093
MST_L,0.40414225225642864
V6_L,-1.2341013725733634
V2_L,0.28481268986915875
V3_L,0.7780123710605299
V4_L,2.6436745467253937
V8_L,7.382927512333597
4_L,-0.9479593427607548
3b_L,-1.154330923341954
FEF_L,-0.9265364719910084
PEF_L,-1.9857370726479766
55b_L,-0.796815781499532
V3A_L,-0.7900858705972231
RSC_L,-0.494706876262004
POS2_L,-1.743507031684584
V7_L,-1.1352340354738986
IPS1_L,-1.2069682869801892
FFC_L,8.57561457178835
V3B_L,-1.1777238453993784
LO1_L,1.5085727252758911
LO2_L,1.8634972167662636
PIT_L,3.5077825629092874
MT_L,-0.5804450180632994
A1_L,-0.5458242807618057
PSL_L,-0.2473473841474882
SFL_L,-0.4813237460159247
PCV_L,-1.7033015785848085
STV_L,0.345033739128174
7Pm_L,-2.0604235319574853
7m_L,-1.3847413957205466
POS1_L,-0.22002031399841104
23d_L,-0.9408073342827278
v23ab_L,-0.3023789730586294
d23ab_L,-0.7026110447487449
31pv_L,-0.6611018608226078
5m_L,-1.2918853544943172
5mv_L,-1.1823625873053905
23c_L,-1.202806520551313
5L_L,-0.5214050901457746
24dd_L,-1.2545320357960412
24dv_L,-1.3409584177494358
7AL_L,-0.7000370886306335
SCEF_L,-1.4509380752553673
6ma_L,-0.7860424298010207
7Am_L,-1.014337406281638
7Pl_L,-1.0927827826036705
7PC_L,-0.6969059856065659
LIPv_L,-1.0835193334261928
VIP_L,-0.9787251788602314
MIP_L,-1.557603920686877
1_L,-0.61548800898114
2_L,-1.0682944677349988
3a_L,-1.2570461725422688
6d_L,-0.8230630450654941
6mp_L,-1.2066125893008945
6v_L,-1.0096537134144155
p24pr_L,-1.5048705746635096
33pr_L,-1.111218181812919
a24pr_L,-1.0647439649084867
p32pr_L,-1.2662831241454076
a24_L,-1.1991950680614858
d32_L,-0.5811177704254135
8BM_L,-0.7446701514331968
p32_L,-0.6716909750450597
10r_L,-1.176296928212555
47m_L,-1.5707836239801016
8Av_L,-0.7555475511074347
8Ad_L,-1.2598994707725766
9m_L,-0.9278653403326493
8BL_L,-0.5695306563877016
9p_L,-0.841170536732375
10d_L,-0.8838361321633579
8C_L,-1.8492294344276876
44_L,-1.060519962128122
45_L,-0.8390441786564978
47l_L,-1.0481108754329327
a47r_L,-0.884342753572408
6r_L,-1.9677434304346435
IFJa_L,-1.3773318681942266
IFJp_L,-1.919511305045858
IFSp_L,-1.3674738096311136
IFSa_L,-1.4228672899899866
p9-46v_L,-1.354783490362053
46_L,-1.2773964642074849
a9-46v_L,-1.283664563093506
9-46d_L,-1.652381602602817
9a_L,-1.1641926011289114
10v_L,-0.8682603424823857
a10p_L,-1.2569179390658185
10pp_L,-0.40708459431543087
11l_L,-0.7661911369870363
13l_L,-1.1992829783362082
OFC_L,-0.92835856937494
47s_L,-0.545773128375867
LIPd_L,-0.8754790940476072
6a_L,-1.7363337984061626
i6-8_L,-1.6715987191481037
s6-8_L,-0.2177403968996896
43_L,-0.7263887046184145
OP4_L,-0.8435840811696094
OP1_L,0.0025379312615402784
OP2-3_L,-0.14338454924213323
52_L,0.13614128036116785
RI_L,-0.03164326711512102
PFcm_L,-1.123104955415576
PoI2_L,0.9256294858052174
TA2_L,-0.9153814248649238
FOP4_L,-0.11111896251068062
MI_L,1.1331590842579427
Pir_L,0.7728800043987741
AVI_L,-1.066871601849162
AAIC_L,0.34433953851206806
FOP1_L,-0.5134449039060605
FOP3_L,0.9293013361239995
FOP2_L,-0.4543173243667077
PFt_L,-1.1218355153498287
AIP_L,-1.3544433072791735
EC_L,1.5735486712637066
PreS_L,0.051442950400864475
H_L,-0.26413649535820477
ProS_L,-0.7535141620382031
PeEc_L,0.48574537132403883
STGa_L,0.32670111742951247
PBelt_L,-0.9628258268585507
A5_L,0.13333051675039423
PHA1_L,-0.08322079975948883
PHA3_L,1.1636971914432377
STSda_L,-0.24707600420603834
STSdp_L,-0.39545826058440864
STSvp_L,0.34605659999017996
TGd_L,-0.3214099395186808
TE1a_L,-0.5886054967037503
TE1p_L,-0.14231190466689098
TE2a_L,-0.5940349980568265
TF_L,0.29390936069515755
TE2p_L,2.3579727860089097
PHT_L,1.1004128504468005
PH_L,0.8942896223669399
TPOJ1_L,1.0280499878031117
TPOJ2_L,0.6561157559992685
TPOJ3_L,-1.1197608774684755
DVT_L,-0.9517771805817148
PGp_L,-0.766572421703908
IP2_L,-1.7393882241574412
IP1_L,-1.6011565995594914
IP0_L,-1.192835362604605
PFop_L,-0.9335523489982931
PF_L,-0.8248843529837242
PFm_L,-1.3130884418607847
PGi_L,-1.4199304116555578
PGs_L,-1.209414369400768
V6A_L,-0.775382715410059
VMV1_L,0.45027661751153464
VMV3_L,3.746785083644769
PHA2_L,0.561814014036345
V4t_L,1.399239964543713
FST_L,0.7705364717823627
V3CD_L,0.9682239203237504
LO3_L,-0.578483862066275
VMV2_L,0.9459304731167635
31pd_L,-1.144252937680512
31a_L,-1.3858853043590302
VVC_L,5.9020256725582545
25_L,-1.6888357363625535
s32_L,-1.9040871317652985
pOFC_L,-0.6985482399772075
PoI1_L,0.12123753920021682
Ig_L,0.2383342049322188
FOP5_L,-0.4321901858069228
p10p_L,-1.2237621123626357
p47r_L,-0.7739039330885842
TGv_L,-0.22660514941735552
MBelt_L,-0.24975105655814314
LBelt_L,-0.7495740781327117
A4_L,-0.3151030111099553
STSva_L,-0.3556728254065129
TE1m_L,-0.5058866600229424
PI_L,-0.2783685638474954
a32pr_L,-0.7474485609856292
p24_L,-1.3471023176503432
V1_R,0.3050118502256214
MST_R,6.715915189167351
V6_R,-0.5473252004906871
V2_R,0.7576062423972285
V3_R,1.8651355502638811
V4_R,5.023100599783744
V8_R,7.243389520871715
4_R,-0.5604913704381328
3b_R,-0.5807356062602854
FEF_R,0.28326863915961387
PEF_R,0.36953793361256826
