region,facial expression
55b_R,0.469085843044988
V3A_R,-0.46853857612091443
RSC_R,-0.9073079555072295
POS2_R,-1.6052280504563226
V7_R,-0.9483563256089106
IPS1_R,-1.218806962995637
FFC_R,15.059644865342765
V3B_R,0.6887615490711206
LO1_R,3.316148854938031
LO2_R,5.957271839946643
PIT_R,8.295888082705822
MT_R,4.6093591260364875
A1_R,-0.1558912993441879
PSL_R,-0.3206963744970919
SFL_R,-0.16133418318218568
PCV_R,-1.3446654111896406
STV_R,0.7109021911274527
7Pm_R,-2.0298640408350592
7m_R,-0.818713249672754
POS1_R,-0.7967250212516404
23d_R,-1.0925003289943667
v23ab_R,-0.34151321385610806
d23ab_R,-1.165793647811669
31pv_R,-1.0480176780353685
5m_R,-1.1672623049242148
5mv_R,-0.7813000929714012
23c_R,-1.058486529564962
5L_R,-0.4130426142771389
24dd_R,-0.86031489615837
24dv_R,-0.9536887987530241
7AL_R,-0.7137248923132695
SCEF_R,0.10657871107453927
6ma_R,-0.7865390827486669
7Am_R,-1.3661641344773534
7Pl_R,-1.7886017416241273
7PC_R,-0.24072928092431814
LIPv_R,-0.411683959993313
VIP_R,-1.2499718010290402
MIP_R,-1.3173767222698798
1_R,-0.4143791783889526
2_R,-0.3220250829082238
3a_R,-1.1569837301560246
6d_R,-0.6485660039057674
6mp_R,-0.9951215836581133
6v_R,0.346813866224728
p24pr_R,-0.8985023741529272
33pr_R,-1.179079500535831
a24pr_R,-0.9904077409112597
p32pr_R,-0.8672753356213382
a24_R,-1.4116592214591392
d32_R,-1.168891491011013
8BM_R,0.07898813877807821
p32_R,-1.4067723331428783
10r_R,-1.1496821323613657
47m_R,0.3389128702554829
8Av_R,-0.7624055675508
8Ad_R,-1.7825055652557102
9m_R,-0.8708696457917765
8BL_R,-0.785477503957518
9p_R,-0.13181146250586542
10d_R,-0.2859032935773604
8C_R,-1.5252958230924252
44_R,0.9390876297608324
45_R,0.7194650260406464
47l_R,0.28132210809565095
a47r_R,-1.0842228763932789
6r_R,1.0312156145665095
IFJa_R,2.168044240242836
IFJp_R,1.2004887427448705
IFSp_R,0.48412975236733946
IFSa_R,-0.031563615419432464
p9-46v_R,0.2774610412572375
46_R,-1.667305551094633
a9-46v_R,-0.7470670910140136
9-46d_R,-1.1981893631513705
9a_R,-0.3083283532707627
10v_R,-1.1409689708289237
a10p_R,-0.8549518207373279
10pp_R,-0.5765188285846633
11l_R,-1.0829329268279602
13l_R,-0.8719255678306762
OFC_R,-0.9343026201896237
47s_R,0.6923234729120932
LIPd_R,-0.5435873434790452
6a_R,-1.1557925604901054
i6-8_R,-1.122682429903349
s6-8_R,-0.8541918292786641
43_R,-0.11304467304327846
OP4_R,-0.3805990932897194
OP1_R,0.1504060970398846
OP2-3_R,0.044391251913818916
52_R,0.11833925961466803
RI_R,-0.04105667789180378
PFcm_R,-0.32189956945529874
PoI2_R,0.7310723531867556
TA2_R,-0.5729781373655717
FOP4_R,0.6060667123465792
MI_R,0.9991108594308259
Pir_R,0.09680010686883139
AVI_R,0.04534243839085476
AAIC_R,0.2170720254283392
FOP1_R,1.1840980020308551
FOP3_R,0.6374741967546925
FOP2_R,1.6700127767776454
PFt_R,-0.7404933101739924
AIP_R,-1.157114710998199
EC_R,2.6221737015877427
PreS_R,0.2865803989249518
H_R,1.1899308094188448
ProS_R,-0.17456765542781946
PeEc_R,2.2628150140332335
STGa_R,-0.08932659571485806
PBelt_R,-0.308820130108604
A5_R,0.9140279371578309
PHA1_R,0.3467211552317455
PHA3_R,3.6000835767944652
STSda_R,0.8914941235944672
STSdp_R,1.3853065422223079
STSvp_R,2.28730682742126
TGd_R,0.025767551612078457
TE1a_R,0.8232287164417709
TE1p_R,1.2682472738025607
TE2a_R,0.8599352117312571
TF_R,2.533020465193771
TE2p_R,2.3586359720652412
PHT_R,2.0977397710811396
PH_R,5.156440263046186
TPOJ1_R,4.137231327163621
TPOJ2_R,4.685218648863587
TPOJ3_R,1.0885499292716623
DVT_R,-1.4777746094856352
PGp_R,-0.4653598261481869
IP2_R,-0.7825123370185597
IP1_R,-1.4934954405871659
IP0_R,0.008722812505540847
PFop_R,-0.4621113710035968
PF_R,0.10852047981523655
PFm_R,-0.8979240989238393
PGi_R,-1.4344816367659827
PGs_R,-0.930102885735653
V6A_R,-1.2312583787358697
VMV1_R,1.74283068423305
VMV3_R,5.819489373438632
PHA2_R,1.0811673293734891
V4t_R,4.877797258526939
FST_R,4.943125896021945
V3CD_R,1.3795345691428524
LO3_R,1.8852931004937556
VMV2_R,4.117050888393004
31pd_R,-0.908112824038513
31a_R,-1.0996816163416896
VVC_R,7.340446581727212
25_R,-1.4798851181352075
s32_R,-1.6389340215103225
pOFC_R,-1.0747926975822912
PoI1_R,0.8630858171466772
Ig_R,1.4687798050042074
FOP5_R,0.6029189815893399
p10p_R,-1.1647425824478372
p47r_R,-0.7893506306517675
TGv_R,0.6672571568877812
MBelt_R,-0.6436185242742684
LBelt_R,-0.46569180080863043
A4_R,0.09058686885229594
STSva_R,1.5273226037941294
TE1m_R,0.8333799960438893
PI_R,-0.31756155015490994
a32pr_R,-1.0852822659861836
p24_R,-1.6458125460415483
