region,reading
V1_L,1.5699694720035817
MST_L,3.4059770677145607
V6_L,0.6600706286398308
V2_L,1.1662555390413305
V3_L,1.756004239625218
V4_L,3.550936118054254
V8_L,6.285418082873253
4_L,-0.822353970815427
3b_L,-0.8274720658342555
FEF_L,1.2723302805476444
PEF_L,2.441467165959663
55b_L,1.3278101801667714
V3A_L,0.8039208806747509
RSC_L,-1.795321997910314
POS2_L,-0.39383970757533643
V7_L,3.747090418837938
IPS1_L,4.520109160743524
FFC_L,15.292184205074234
V3B_L,3.9971339965185724
LO1_L,3.6795654229436923
LO2_L,4.700077077713805
PIT_L,8.27471516816673
MT_L,3.226800958998812
A1_L,-1.618722489210642
PSL_L,1.9922181974504407
SFL_L,-0.8061312224618908
PCV_L,-2.1723431074831923
STV_L,1.239253694271649
7Pm_L,-0.6943524773156289
7m_L,-2.334997932766416
POS1_L,-1.1394414670059239
23d_L,-2.5727873017855907
v23ab_L,-2.6130072426134636
d23ab_L,-2.4271823875103937
31pv_L,-1.8872576408537785
5m_L,-1.1403171483136216
5mv_L,-1.918484764599587
23c_L,-2.1623622587833555
5L_L,-0.2671704430773814
24dd_L,-1.0436134345306234
24dv_L,1.2553027100934218
7AL_L,-0.3043781817990013
SCEF_L,2.6770199213381614
6ma_L,-1.035227200676781
7Am_L,0.10558639208908004
7Pl_L,0.8116216134008709
7PC_L,0.5968601754507211
LIPv_L,2.913084240490176
VIP_L,1.0022713017819223
MIP_L,3.8090915819013813
1_L,-0.8302597090546925
2_L,-1.0168791023824668
3a_L,-0.5145854675796796
6d_L,-0.825130674461461
6mp_L,-1.7104550356976282
6v_L,2.4532312942091057
p24pr_L,-1.578366065556113
33pr_L,-2.7721558723281805
a24pr_L,-2.4888238813047607
p32pr_L,2.008457508283179
a24_L,-3.6843276767299034
d32_L,-3.3434604365124456
8BM_L,-1.1162776378185515
p32_L,-3.2342935568524593
10r_L,-2.6444374555918957
47m_L,2.664421143581062
8Av_L,-0.43169599559602845
8Ad_L,-1.3545385276830413
9m_L,-3.167018953074574
8BL_L,-0.7881997191365604
9p_L,-2.0322565137703648
10d_L,-1.7354696209421179
8C_L,0.3187693853725597
44_L,6.621648612517656
45_L,4.644855359166406
47l_L,2.748715585521463
a47r_L,-0.09816381059611352
6r_L,6.200286027636317
IFJa_L,5.0990849628682335
IFJp_L,6.3166280265856605
IFSp_L,5.357674514863246
IFSa_L,4.575632560775475
p9-46v_L,0.8267663073934094
46_L,-1.335677801847874
a9-46v_L,-1.3166029852402639
9-46d_L,-2.37502451060835
9a_L,-1.4442465387639916
10v_L,-1.615062420630375
a10p_L,-1.804400112461607
10pp_L,-0.873514233266602
11l_L,-1.6080726385022603
13l_L,-1.0081211542964559
OFC_L,-1.4012771630748784
47s_L,0.031243309301047968
LIPd_L,5.696246835011474
6a_L,-0.30302523923900615
i6-8_L,-0.7335395579708801
s6-8_L,-0.8574040418033289
43_L,0.9999803875814809
OP4_L,0.3234672032664074
OP1_L,-1.3407830804643588
OP2-3_L,-0.35509552790726007
52_L,-0.3088845662591
RI_L,0.4412589402732091
PFcm_L,-0.4030731933373856
PoI2_L,-0.6879369230967329
TA2_L,1.5956455450106264
FOP4_L,2.356925855783566
MI_L,0.5897414709884791
Pir_L,-1.6775568271060117
AVI_L,2.152785298984937
AAIC_L,-0.6689565265081617
FOP1_L,2.067550524103053
FOP3_L,0.7592009968742555
FOP2_L,1.682242367640684
PFt_L,-0.04149533220131517
AIP_L,2.7835670598270656
EC_L,-1.003167457240687
PreS_L,-1.2675168003970714
H_L,0.28261782392475565
ProS_L,-1.149789480451648
PeEc_L,1.0320627170451415
STGa_L,2.0681549840729363
PBelt_L,0.18779249240605983
A5_L,2.0782148891098493
PHA1_L,-0.5922783810355008
PHA3_L,2.700639947383988
STSda_L,2.873592119658796
STSdp_L,3.845239388069946
STSvp_L,6.17749862027495
TGd_L,0.49695916224036474
TE1a_L,1.3458448547289041
TE1p_L,5.140820250747039
TE2a_L,0.9162729355536917
TF_L,4.078188994582209
TE2p_L,7.113548419574498
PHT_L,4.575199722644508
PH_L,9.45298153453018
TPOJ1_L,5.66738748114423
TPOJ2_L,2.124283387834282
TPOJ3_L,1.985664233020538
DVT_L,1.1823493720539893
PGp_L,2.2446313972105023
IP2_L,4.843666674358589
IP1_L,5.735800366512432
IP0_L,5.274062487106748
PFop_L,-0.04739110009706498
PF_L,1.4631336543221047
PFm_L,1.54962725778114
PGi_L,1.111583810971026
PGs_L,0.6182087080960657
V6A_L,1.1090588725527566
VMV1_L,-0.04282935270711434
VMV3_L,3.103166129182365
PHA2_L,0.4672316314416141
V4t_L,3.7879186324848453
FST_L,4.437909096453594
V3CD_L,4.241582892123642
LO3_L,2.0163486894325184
VMV2_L,0.015498322066439722
31pd_L,-1.5426720921544756
31a_L,-2.463710786981908
VVC_L,6.490297887400017
25_L,-3.2647575498788695
s32_L,-2.2570086930590496
pOFC_L,-2.1015861537877876
PoI1_L,-0.5335970801445956
Ig_L,-0.8586643983380581
FOP5_L,3.204377021282045
p10p_L,-1.5986244981070898
p47r_L,0.8396909508223717
TGv_L,0.5263230390334119
MBelt_L,-0.6665579420271055
LBelt_L,-0.26773792646591005
A4_L,0.6140823909313907
STSva_L,2.5823050858022
TE1m_L,1.5877721468619947
PI_L,1.277559395872419
a32pr_L,-2.336689949611198
p24_L,-3.995878338822767
V1_R,1.8840773457797526
MST_R,1.164219805695612
V6_R,1.002659872213111
V2_R,1.2660278066913053
V3_R,1.7188038526492697
V4_R,3.57808169369738
V8_R,3.3813871781275235
4_R,-1.0467753698408944
3b_R,-0.8484250689921781
FEF_R,-0.8393203072160723
PEF_R,-0.7175299702456787
55b_R,-0.7650136879578869
V3A_R,0.6719721453642007
RSC_R,-2.216275351513569
POS2_R,-0.5029627351640994
V7_R,2.4594262341845026
IPS1_R,2.8755989848873478
FFC_R,4.612851636801947
V3B_R,4.560611800365863
LO1_R,3.18071840929872
LO2_R,3.76684847644093
PIT_R,6.128080897230754
MT_R,0.328614768828359
A1_R,-2.0669023423376123
PSL_R,-1.3607361254982397
SFL_R,-2.051629615008011
PCV_R,-1.9675637519964566
STV_R,-1.5901299195228078
7Pm_R,-0.5828183792744058
7m_R,-2.9980812912017605
POS1_R,-1.8894760133169177
23d_R,-2.2407054667589987
v23ab_R,-2.9595416464758624
d23ab_R,-2.63643592477233
31pv_R,-1.822530042705513
5m_R,-1.4753049051276725
5mv_R,-1.3523788232758334
23c_R,-1.5167366811541558
5L_R,-0.6208034263278289
24dd_R,-2.0026020182891817
24dv_R,-1.6964388652214601
7AL_R,0.17787920695658196
SCEF_R,-1.1097483305821028
6ma_R,-1.658171697160171
7Am_R,-0.6299911683369988
7Pl_R,0.7646386104282403
7PC_R,-0.04954385913409869
LIPv_R,1.3976594811550143
VIP_R,0.3139866657102565
MIP_R,2.4717147734739213
1_R,-0.8322874901116631
2_R,-0.8991083748554208
3a_R,-1.2524605870097654
6d_R,-0.6000233529843442
6mp_R,-1.4684261233578482
6v_R,0.12927016956175286
p24pr_R,-2.3691413749538763
33pr_R,-3.504783127191191
a24pr_R,-3.8814729193762854
p32pr_R,-1.5128030980913485
a24_R,-4.366183886077027
d32_R,-3.704921910026978
8BM_R,-2.601388756741507
p32_R,-4.450404250907474
10r_R,-4.451532797311649
47m_R,-0.904877350886437
