region,navigation
V1_L,1.2618749746498419
MST_L,-0.7711852794671689
V6_L,2.383248614487942
V2_L,1.5188704283086094
V3_L,1.0009954992767551
V4_L,1.5472615135629233
V8_L,0.7363210982354431
4_L,-1.2443473146415496
3b_L,-1.3762571719500134
FEF_L,-0.37825977153400747
PEF_L,-1.3048714604907103
55b_L,-0.5981803298747629
V3A_L,1.2980121421975188
RSC_L,2.59575737964543
POS2_L,4.564858108532737
V7_L,2.89246600626142
IPS1_L,3.7393128962023536
FFC_L,0.0019040942579984506
V3B_L,3.3260606168272835
LO1_L,2.193635427020658
LO2_L,0.5340912690950697
PIT_L,0.4085597298688495
MT_L,-0.5028064253010217
A1_L,-2.27089819294892
PSL_L,-1.0859344351422215
SFL_L,-1.1470421284045795
PCV_L,1.974254235645393
STV_L,-1.4432789208576164
7Pm_L,3.5776768705747393
7m_L,2.4216402424756756
POS1_L,4.371179014484036
23d_L,-1.4520005922963475
v23ab_L,2.3748632417845426
d23ab_L,0.6730788615180713
31pv_L,0.6118362061531429
5m_L,-0.13237714829635416
5mv_L,-0.005822120749553146
23c_L,0.06591219652809598
5L_L,0.12127128055635121
24dd_L,-1.3270401944328372
24dv_L,-2.2790424182088285
7AL_L,1.0400791282785768
SCEF_L,-2.6995063098639607
6ma_L,-1.124067208597044
7Am_L,2.5792067696919543
7Pl_L,2.715131524420082
7PC_L,0.16312779709026307
LIPv_L,1.7928358132358415
VIP_L,1.3808789282433362
MIP_L,2.195535833618934
1_L,-0.7052507340877108
2_L,-0.879271911559676
3a_L,-1.1401912856750183
6d_L,-0.9611577309460008
6mp_L,-1.0263408495046389
6v_L,-1.3362066967179762
p24pr_L,-2.3969850140402573
33pr_L,-3.1763700356603017
a24pr_L,-3.406844510541118
p32pr_L,-2.8385639639950417
a24_L,-1.7577243063829064
d32_L,-2.4670724333794607
8BM_L,-2.2370800559921036
p32_L,-1.6356081087156928
10r_L,-1.5873823177783475
47m_L,-1.599440949748839
8Av_L,-0.2850987052736568
8Ad_L,0.23043710649171123
9m_L,-1.5675427468544911
8BL_L,-0.08630267588567699
9p_L,-1.7428763961590867
10d_L,-0.40883097115241296
8C_L,-1.459706943404214
44_L,-3.351413643379028
45_L,-2.595816073821716
47l_L,-1.9552602197221187
a47r_L,-0.8432284030612415
6r_L,-3.0514355874831995
IFJa_L,-2.441337501920947
IFJp_L,-3.196042706404736
IFSp_L,-1.4906361488681736
IFSa_L,-2.510235422165661
p9-46v_L,-1.0681823722079506
46_L,-0.989213082627475
a9-46v_L,-1.1885237822022328
9-46d_L,-0.88799680012846
9a_L,-1.2115494427929487
10v_L,-0.8660171686489488
a10p_L,-1.4685286107813886
10pp_L,-0.49723735827221704
11l_L,-0.7648782611162643
13l_L,-1.5290174370816805
OFC_L,-1.0733592353190646
47s_L,-1.6996587165987025
LIPd_L,1.6022848847857454
6a_L,0.00045175947410218214
i6-8_L,-0.06049118018510783
s6-8_L,0.4737430171559432
43_L,-1.4564029738310948
OP4_L,-1.0239102870463739
OP1_L,-1.9902357823372603
OP2-3_L,-0.6814289374008092
52_L,-0.23093443377839334
RI_L,-0.5601540829837277
PFcm_L,-1.474675905248372
PoI2_L,-1.8517343707172855
TA2_L,-2.3934208454071157
FOP4_L,-3.001049789725704
MI_L,-3.115453042722653
Pir_L,-0.3573821588888527
AVI_L,-2.400347801824959
AAIC_L,-2.0847723680245487
FOP1_L,-2.4715535384652467
FOP3_L,-1.1314188730030488
FOP2_L,-0.6443785151532133
PFt_L,-1.275581907782259
AIP_L,1.0748877751067554
EC_L,6.705766021185073
PreS_L,12.028364628326615
H_L,13.12887764029974
ProS_L,5.027397061651932
PeEc_L,4.1210134086768635
STGa_L,-1.3928751820332834
PBelt_L,-2.1915814784607464
A5_L,-1.7427418300165576
PHA1_L,11.830051513411
PHA3_L,8.448304080323625
STSda_L,-1.3019521468739352
STSdp_L,-2.5640796566222512
STSvp_L,-2.3244293459497323
TGd_L,0.3433808833353564
TE1a_L,-0.03690461250111051
TE1p_L,-1.2838986001972308
TE2a_L,0.36607734357512955
TF_L,2.6985156376589554
TE2p_L,0.3388114798618461
PHT_L,-1.7654128216052989
PH_L,-0.6684133009888117
TPOJ1_L,-1.8499915248957886
TPOJ2_L,-1.1943548509755746
TPOJ3_L,0.32897441180911513
DVT_L,3.494230950157229
PGp_L,1.907194140420705
IP2_L,1.1271764236621142
IP1_L,2.591032461094597
IP0_L,4.281433429026453
PFop_L,-1.4416215047699363
PF_L,-0.5140421357014273
PFm_L,0.40400804456063477
PGi_L,-0.1359283498933418
PGs_L,1.1064810566891827
V6A_L,2.001106389102321
VMV1_L,6.5494792331630425
VMV3_L,3.8388701808139727
PHA2_L,15.056165382330457
V4t_L,0.22076665264308
FST_L,-0.9780413344403032
V3CD_L,3.214546695171158
LO3_L,0.49773234438092206
VMV2_L,8.207686204804954
31pd_L,2.003103350138293
31a_L,0.6327662713149238
VVC_L,4.758541404541936
25_L,-1.5987620064803612
s32_L,-2.158880381081033
pOFC_L,-0.2602777251889188
PoI1_L,-1.010970599264451
Ig_L,-0.7686865600687535
FOP5_L,-2.8107015261494874
p10p_L,-0.8291020510394952
p47r_L,-2.2463761287510406
TGv_L,0.5304497831178718
MBelt_L,-2.006338597868953
LBelt_L,-2.1106141391051474
A4_L,-1.2822371978234481
STSva_L,-0.25474338220713894
TE1m_L,-0.3761062466464868
PI_L,-0.3881515768635305
a32pr_L,-3.0688414593020066
p24_L,-2.5328664353157304
V1_R,2.11780472193112
MST_R,0.1482128748658763
V6_R,2.6060089701212696
V2_R,2.3608915715952214
V3_R,1.712329240553193
V4_R,1.6500335442392289
V8_R,0.6791816638272445
4_R,-1.0685000367873974
3b_R,-0.9529211611008337
FEF_R,-1.226467634277525
PEF_R,-1.6921480028428184
55b_R,-1.182901125035884
V3A_R,1.7728741847741007
RSC_R,0.7504458947795597
POS2_R,4.141589110812137
V7_R,2.798573897478297
IPS1_R,2.449667936076741
FFC_R,1.5534222157270876
V3B_R,4.4775394819454934
LO1_R,2.0990652841882826
LO2_R,0.9036791254484026
PIT_R,1.0728585692430246
MT_R,0.1637028057588902
A1_R,-2.067863387446004
PSL_R,-0.7917855086267984
SFL_R,-1.435008478210097
PCV_R,2.5116095665437284
STV_R,-1.1329656131204682
7Pm_R,4.8373624915927484
7m_R,2.3012661861571475
POS1_R,3.5457312758218316
23d_R,-0.9640320128653387
v23ab_R,1.2568468561420623
d23ab_R,1.2829348342871247
31pv_R,1.6021122274212016
5m_R,-0.06574191933352096
5mv_R,0.6046106060122306
23c_R,0.3759619356749287
5L_R,0.30033356596124394
24dd_R,-0.9901672298611813
24dv_R,-1.5951353369529928
7AL_R,1.5066531167309956
SCEF_R,-2.285965659598458
6ma_R,-0.9801989378352219
7Am_R,2.770993738856947
7Pl_R,2.476633758424429
7PC_R,0.557852347743479
LIPv_R,2.1097484137948475
VIP_R,2.182541660575071
MIP_R,1.9260170438730333
1_R,-0.4903830804392979
2_R,-0.376913986940146
3a_R,-0.8692447815745031
6d_R,-0.7855933758575756
6mp_R,-0.7352964368537516
6v_R,-0.8542820450809647
p24pr_R,-2.129009670509127
33pr_R,-2.935204321855166
a24pr_R,-3.6502669199833226
p32pr_R,-2.632635271645806
a24_R,-1.4682331737024716
d32_R,-2.315890141301552
8BM_R,-2.111001704768406
p32_R,-1.7023208772033696
10r_R,-1.3269774699652523
47m_R,-1.0411488059817244
8Av_R,-0.8071093783915912
8Ad_R,-0.8442058608682295
9m_R,-1.5660830856646304
8BL_R,-1.164739210508095
9p_R,-1.3205318534711674
10d_R,0.1078232433306891
8C_R,-1.2773109697572291
44_R,-2.128740367058783
45_R,-2.7745588561101235
47l_R,-1.2761544209018212
a47r_R,-1.1609355790270974
6r_R,-2.2239980111488102
IFJa_R,-2.3214576346038345
IFJp_R,-2.239544443653655
IFSp_R,-1.3769365884490814
IFSa_R,-2.2170033286196054
p9-46v_R,-0.6130856731924232
46_R,-0.6080186214242399
a9-46v_R,-1.4939667695084948
9-46d_R,-1.1776920077135364
9a_R,-0.7230600039765106
10v_R,-1.0296716686693734
a10p_R,-0.2873922017072376
10pp_R,-0.09870212458478711
11l_R,-0.6903902522208147
13l_R,-1.1177981226684954
OFC_R,-0.8808114873445017
47s_R,-0.8995062855405015
LIPd_R,1.6489868116256958
6a_R,0.16517064023630104
i6-8_R,-0.5693668550169775
s6-8_R,-0.3681850316037626
43_R,-1.9020605160145896
OP4_R,-1.7701962615923819
OP1_R,-1.3234957812257042
OP2-3_R,-0.8340050945746481
52_R,-1.049373020700847
RI_R,-1.4432318096072647
PFcm_R,-1.7316521049702958
PoI2_R,-1.9644940505780422
TA2_R,-2.0627485363186673
FOP4_R,-3.1346728720045354
MI_R,-3.2131227447613693
Pir_R,-0.5335624724232534
AVI_R,-1.5928753860493443
AAIC_R,-2.196154565084278
FOP1_R,-2.4256501607070566
FOP3_R,-1.7281994009343165
FOP2_R,-1.7052869100433565
PFt_R,-0.9210154280109502
AIP_R,0.8498413561973072
EC_R,8.601935439610346
PreS_R,11.796845234008819
H_R,13.525117868206836
ProS_R,5.746363908689407
PeEc_R,5.1980781295058565
STGa_R,-1.1741242933526632
PBelt_R,-2.7939814723371206
A5_R,-1.9571010382751688
PHA1_R,13.214128124942107
PHA3_R,12.284079320168049
STSda_R,-0.3611340834410119
STSdp_R,-1.8338036555685326
STSvp_R,-1.4961718793398393
TGd_R,0.34029944857206024
TE1a_R,1.0891341900103
TE1p_R,-0.05144917145331526
TE2a_R,0.9196768920065531
TF_R,3.5511222092396717
TE2p_R,1.0167295535920287
PHT_R,0.27459806590314473
PH_R,0.8513599549840687
TPOJ1_R,-1.7954168896361193
TPOJ2_R,-1.2179976245850515
TPOJ3_R,-1.2318132390942211
DVT_R,3.9803152434252427
PGp_R,1.9303367718336686
IP2_R,1.4978772942189027
IP1_R,1.3618130218874063
IP0_R,4.591099453759064
PFop_R,-1.3518556471138403
PF_R,-0.49795226235688567
PFm_R,0.2625409513196102
PGi_R,-0.23029630030599937
PGs_R,1.320207557839932
V6A_R,2.306498986191827
VMV1_R,6.678096401621288
VMV3_R,2.428977594043427
PHA2_R,16.434882697486838
V4t_R,-0.5388275976646708
FST_R,-0.7077475298444924
V3CD_R,3.2888757728913736
LO3_R,1.087473157328999
VMV2_R,6.604385055699903
31pd_R,2.4809227083504894
31a_R,1.0045335549115098
VVC_R,7.098883404094868
