region,balance
V1_L,3.0596174267223915
MST_L,5.262558425486144
V6_L,0.8312280724136439
V2_L,1.5569310496450801
V3_L,1.1247071832316968
V4_L,2.18511400575788
V8_L,2.680711322602168
4_L,0.84535756872821
3b_L,1.0061880306856816
FEF_L,1.1488856909622545
PEF_L,-1.055187306272471
55b_L,-0.5556705888358772
V3A_L,1.2553960672526012
RSC_L,0.48010774547302976
POS2_L,0.5301344928535122
V7_L,3.1120327529569005
IPS1_L,2.276045340486352
FFC_L,1.837678151402222
V3B_L,4.5020976291610255
LO1_L,3.29496585793307
LO2_L,5.961044814670577
PIT_L,5.571893002057381
MT_L,7.138128454135446
A1_L,-0.4855916121523845
PSL_L,-1.2097868911542167
SFL_L,0.18412933995013636
PCV_L,-0.33347874949074147
STV_L,-1.4927800651516416
7Pm_L,-0.18912073567028356
7m_L,1.0583286084030217
POS1_L,1.2790370223227128
23d_L,-0.26924442477298327
v23ab_L,5.194405574994803
d23ab_L,1.0090443526499404
31pv_L,0.07558809530543335
5m_L,0.1641363307855314
5mv_L,-0.6919361732491535
23c_L,-0.2801991504165162
5L_L,0.527850042148084
24dd_L,2.3347446707239183
24dv_L,0.9127823931057627
7AL_L,0.053804630657383126
SCEF_L,0.7939260954627846
6ma_L,-0.05699476837086451
7Am_L,0.36315960689886595
7Pl_L,0.35392473278104575
7PC_L,0.7339366399871226
LIPv_L,2.044126203600389
VIP_L,1.277306388295859
MIP_L,0.6744697771183793
1_L,0.3574659678020795
2_L,0.6284102637767023
3a_L,0.3143440515305867
6d_L,0.518923247271995
6mp_L,0.37162868731802423
6v_L,-0.6519817186889201
p24pr_L,0.08876939523072166
33pr_L,-1.1846961829743707
a24pr_L,-1.5229070627914347
p32pr_L,-0.9458068093837174
a24_L,1.3110132321729964
d32_L,-0.37919528766993027
8BM_L,-1.6138191691610129
p32_L,-0.18929478779408251
10r_L,1.5220399097183184
47m_L,-2.1517542114538886
8Av_L,-0.4163190506698372
8Ad_L,0.243688600742597
9m_L,-0.351020482606516
8BL_L,0.5854360518416917
9p_L,-1.4786918880755886
10d_L,0.6676541791919293
8C_L,-1.9171221707379666
44_L,-3.028693148169086
45_L,-2.8211799884937956
47l_L,-3.3295281882258454
a47r_L,-1.8187947343812128
6r_L,-1.9419671060647963
IFJa_L,-1.9808469962693132
IFJp_L,-1.222515072402706
IFSp_L,-2.155372823573379
IFSa_L,-2.2090419863500577
p9-46v_L,-1.3995459911267598
46_L,-1.1339885401698973
a9-46v_L,-1.2015540316930633
9-46d_L,-1.4224993634468355
9a_L,-1.1657543479375716
10v_L,-0.0008993400947464734
a10p_L,-1.6013591955745434
10pp_L,-0.5424857981265916
11l_L,-1.4023657146494
13l_L,-1.8326157424687
OFC_L,-1.1007904399795707
47s_L,-2.3973832439275293
LIPd_L,0.11502783822801319
6a_L,2.052823332039149
i6-8_L,0.865481949498041
s6-8_L,0.9861203299439202
43_L,-0.7282324900120376
OP4_L,-0.74113839219582
OP1_L,-1.11675042269532
OP2-3_L,-0.8471011291712307
52_L,-0.477130304288146
RI_L,-0.35309806679660427
PFcm_L,-0.7840203793228449
PoI2_L,-0.24572218355947956
TA2_L,-2.219636655628731
FOP4_L,-1.8935573499269147
MI_L,-0.7299833597587758
Pir_L,-2.6029548636071067
AVI_L,-1.1806980503796294
AAIC_L,-2.4657060965332027
FOP1_L,-0.8303808935108659
FOP3_L,-0.6133547707471065
FOP2_L,-0.9086757351741734
PFt_L,-0.6530490268669737
AIP_L,0.6967254494374745
EC_L,-2.0288659015554567
PreS_L,-1.6008668421955154
H_L,-2.1933242109892666
ProS_L,-1.1647842321332424
PeEc_L,-1.9094706073016987
STGa_L,-2.5003429685078347
PBelt_L,-0.6367897199521095
A5_L,-2.0240027791190873
PHA1_L,-0.6884599193144036
PHA3_L,-1.2309298169779865
STSda_L,-2.3785646697792333
STSdp_L,-2.1317621310754946
STSvp_L,-3.296479812044428
TGd_L,-2.2706440390082796
TE1a_L,-0.941165964303841
TE1p_L,-1.7058266809730145
TE2a_L,-0.05090907182692888
TF_L,-1.8451863800551431
TE2p_L,-0.9301235240838099
PHT_L,-0.494090343149573
PH_L,3.963574077912811
TPOJ1_L,-1.9700519094398994
TPOJ2_L,-0.7447425947897708
TPOJ3_L,1.2896132216394167
DVT_L,0.5875187027253489
PGp_L,2.502047107429373
IP2_L,-0.5734166752930179
IP1_L,0.4309094906482951
IP0_L,3.632651414800896
PFop_L,-0.7599334109865857
PF_L,-0.756774610109835
PFm_L,-0.7997232836685816
PGi_L,-0.5713190100878889
PGs_L,1.4165703266192808
V6A_L,1.1394870999834399
VMV1_L,-0.3584116985550203
VMV3_L,1.2627153710910486
PHA2_L,-2.0652591335290578
V4t_L,7.966637645639053
FST_L,8.022522394181877
V3CD_L,3.4246262823959426
LO3_L,3.6644721763232013
VMV2_L,-1.2960242846575918
31pd_L,-0.6561880387064406
31a_L,-0.24686494327435934
VVC_L,1.5736054139468625
25_L,-0.7173862418463611
s32_L,0.9719099325743213
pOFC_L,-0.4473240845388334
PoI1_L,-0.5569148889233103
Ig_L,-0.9331964814734018
FOP5_L,-1.6860776218711324
p10p_L,-1.0186974023839857
p47r_L,-1.8126745484477458
TGv_L,-1.5162734670527387
MBelt_L,-0.545093373838091
LBelt_L,-0.5459818601485547
A4_L,-1.3466017471061635
STSva_L,-1.9346411133085661
TE1m_L,-0.27192996186871404
PI_L,-2.481260933385522
a32pr_L,-1.640427162338966
p24_L,-1.0904873099617787
V1_R,2.6294405845820243
MST_R,6.622847921121704
