region,categorization
V1_L,-0.18564003240658863
MST_L,-0.7885683714919477
V6_L,-0.19429103575390155
V2_L,0.10453482545369874
V3_L,0.7399748226716726
V4_L,2.3713455339661658
V8_L,5.399473497880567
4_L,-0.6046205200043393
3b_L,-0.9095150923840799
FEF_L,0.4805006670108129
PEF_L,-0.4837129767286494
55b_L,-0.07694260152658956
V3A_L,-0.10123845163640655
RSC_L,-1.146442700043264
POS2_L,-0.44147343157065827
V7_L,0.28848607324648473
IPS1_L,2.1940074101237257
FFC_L,6.453296566469861
V3B_L,-0.5054742983885772
LO1_L,1.6741758795578556
LO2_L,1.936491555625871
PIT_L,3.392013762311798
MT_L,-1.5643028811969104
A1_L,4.658382470566843
PSL_L,0.6685468803597227
SFL_L,-0.9224349159734522
PCV_L,-1.3218675891241554
STV_L,0.27813176383278254
7Pm_L,0.40868666429109707
7m_L,-0.8601517447598335
POS1_L,-0.07439271914616417
23d_L,-1.6090858198865443
v23ab_L,-0.7890931288695491
d23ab_L,-0.992419379583741
31pv_L,0.13189397533853708
5m_L,-1.6954631431335654
5mv_L,-1.639961448064636
23c_L,-1.5735790238788991
5L_L,-0.31822676714935916
24dd_L,-1.0331658688203242
24dv_L,-0.8238296265846821
7AL_L,-0.06276969377608115
SCEF_L,-1.0446860831951807
6ma_L,-0.7874292899747097
7Am_L,0.42270445834055714
7Pl_L,0.8757305019732472
7PC_L,0.4566501496702578
LIPv_L,1.4934566353547447
VIP_L,0.5652128743319875
MIP_L,1.4782755023579148
1_L,-0.692425418012758
2_L,-0.6253035006464779
3a_L,-0.9927712613435483
6d_L,-0.5967134638906948
6mp_L,-1.452786995599814
6v_L,0.1496359244159859
p24pr_L,-1.7740684363876575
33pr_L,-2.053966780965187
a24pr_L,-1.949343946064554
p32pr_L,-1.1919731394697202
a24_L,-2.6286750009471525
d32_L,-2.306925379160843
8BM_L,-1.5448510831282485
p32_L,-2.1375468704002905
10r_L,-2.626655467508731
47m_L,-2.325769945695585
8Av_L,-0.1647536823746379
8Ad_L,-1.089873890395606
9m_L,-2.2540677065933856
8BL_L,-0.7598679342301929
9p_L,-0.9825902291968684
10d_L,-1.3355546968470144
8C_L,-0.9709951124155438
44_L,-0.02915578497263804
45_L,-1.1534523660701221
47l_L,-1.5183663972764243
a47r_L,-0.9161971688635302
6r_L,-0.27430631010069195
IFJa_L,0.00735951119400159
IFJp_L,-0.1729706342589099
IFSp_L,0.2822526287350145
IFSa_L,-0.525388954300062
p9-46v_L,-0.4412495297285656
46_L,-1.0623427218894035
a9-46v_L,-1.0550852413809075
9-46d_L,-1.7739139148425478
9a_L,-1.1192128492084552
10v_L,-1.3083808556471537
a10p_L,-1.57042101529972
10pp_L,-0.5504065886020204
11l_L,-0.8941193876932267
13l_L,-2.107231834953296
OFC_L,-1.2928053132803312
47s_L,-1.7774841760484663
LIPd_L,2.455817458138003
6a_L,0.03740682634091955
i6-8_L,-0.39120664273330635
s6-8_L,0.01706946522678694
43_L,-0.10034901967340902
OP4_L,0.07251693787539565
OP1_L,0.9961646421748315
OP2-3_L,-0.3640194281356809
52_L,1.9694522929348262
RI_L,1.9615532242929647
PFcm_L,1.6870284214409001
PoI2_L,-0.9599735526131931
TA2_L,-0.5253372379095276
FOP4_L,-1.057336093957287
MI_L,-0.6254555989657871
Pir_L,-2.1612194017823416
AVI_L,-0.9670393521690064
AAIC_L,-1.7878100079617871
FOP1_L,-0.6653640626383878
FOP3_L,-0.3402095442840012
