region,knowledge
V1_L,-0.5350157487860262
MST_L,2.338853701844615
V6_L,0.3657865139918949
V2_L,-0.06703194487385535
V3_L,0.4193878468296437
V4_L,1.607390024467498
V8_L,5.366236266278294
4_L,-0.9980823494744904
3b_L,-0.8735582773046034
FEF_L,1.527385401684486
PEF_L,0.8083704417118479
55b_L,0.41798186810342897
V3A_L,-0.11687960111849546
RSC_L,-1.4743365018983816
POS2_L,0.7895305449435652
V7_L,1.6470203919121693
IPS1_L,4.304714949027391
FFC_L,8.264640624487585
V3B_L,1.8940202154967223
LO1_L,1.8193496975663728
LO2_L,3.833873646874261
PIT_L,7.266330936401274
MT_L,2.4483338392730776
A1_L,-1.0367611835625319
PSL_L,1.0821122817751405
SFL_L,-0.8380145922690417
PCV_L,-1.7034715097069755
STV_L,2.0090706691052014
7Pm_L,-0.043529872434096256
7m_L,-1.181365822394801
POS1_L,0.4764010938757848
23d_L,-0.7523585451257943
v23ab_L,-0.7923344858076287
d23ab_L,-1.556512343762949
31pv_L,-0.8397244264367296
5m_L,-1.70777721942515
5mv_L,-2.011200076559506
23c_L,-1.536836274169267
5L_L,-0.8389464393298405
24dd_L,-1.861235369137993
24dv_L,-1.1206728206832834
7AL_L,-0.660372979109805
SCEF_L,0.38226349543959476
6ma_L,-0.6833310721124597
7Am_L,-0.10849109578956924
7Pl_L,1.2407201824597163
7PC_L,1.3939890764435101
LIPv_L,3.515602235947925
VIP_L,0.8047094534084036
MIP_L,2.6220514111946627
1_L,-0.6622651387142576
2_L,0.002095119534459209
3a_L,-0.8673465593217262
6d_L,-0.800607503080676
6mp_L,-1.5671174975044755
6v_L,1.000798811100151
p24pr_L,-1.43914228494949
33pr_L,-1.915130609994445
a24pr_L,-1.9685122763440979
p32pr_L,0.594578955669886
a24_L,-2.321816315894436
d32_L,-1.2479082375733541
8BM_L,0.08549259165799507
p32_L,-1.8622992846600548
10r_L,-1.6254441260768748
47m_L,0.9498042373206924
8Av_L,0.020334142487579046
8Ad_L,-0.6198418397140455
9m_L,-1.310888702568422
8BL_L,-0.1331865699898541
9p_L,-0.9987762832183389
10d_L,-0.916716847074603
8C_L,-0.0657044430814568
44_L,2.78533708884176
45_L,1.9464946048549847
47l_L,0.6914400866324354
a47r_L,-0.08497261486369763
6r_L,2.3887383724257596
IFJa_L,2.8105221018894766
IFJp_L,2.175207842644708
IFSp_L,2.4547178528176143
IFSa_L,2.5181003035668366
p9-46v_L,0.08399979797054763
46_L,-0.889741963303427
a9-46v_L,-1.009681905383341
9-46d_L,-1.3130905821397683
9a_L,-1.3084136041200394
10v_L,-0.9368672960102852
a10p_L,-1.37881421617954
10pp_L,-0.5705827830828252
11l_L,-1.2704023250838563
13l_L,-1.3119199650644726
OFC_L,-0.9996425520502911
47s_L,-0.5946069472355774
LIPd_L,5.0300359139166915
6a_L,1.07337661432889
i6-8_L,0.36468695980669896
s6-8_L,-0.2469024312229791
43_L,0.2167602096363077
OP4_L,-0.08814952316196256
OP1_L,-1.110529567476802
OP2-3_L,-0.7762583475282004
52_L,-0.24399754317664818
RI_L,-0.007072827037875468
PFcm_L,-0.8501885110636952
PoI2_L,-1.1071992946887552
TA2_L,0.41506850916439103
FOP4_L,0.16155146871507733
MI_L,-0.8915744171656611
Pir_L,-1.5302343682082045
AVI_L,0.28957523665966944
AAIC_L,-1.0223117312934062
FOP1_L,0.8806036378788764
FOP3_L,0.12094192537345609
FOP2_L,0.7353819967063612
PFt_L,1.3659926645758678
AIP_L,4.3646365985508595
EC_L,-0.4134230522049025
PreS_L,-0.30592564447264453
H_L,0.14592599875673457
ProS_L,0.07524947738821013
PeEc_L,1.5516256697786353
STGa_L,1.6579622136652763
PBelt_L,-0.1564254740968416
A5_L,1.217047417318864
PHA1_L,1.2555843669695106
PHA3_L,3.280431206400609
STSda_L,2.5990740317987604
STSdp_L,2.2130733364353246
STSvp_L,3.9838854318648993
TGd_L,0.8051350530856891
TE1a_L,1.490800262990025
TE1p_L,3.0330748619591095
TE2a_L,0.840625452505912
TF_L,3.3177105388312373
TE2p_L,3.1181795770391876
PHT_L,2.7185872349636955
PH_L,6.071702688204012
TPOJ1_L,3.7132873642548105
TPOJ2_L,2.02884633187338
TPOJ3_L,1.4331943485296852
DVT_L,2.0600089512557886
PGp_L,0.987228332519127
IP2_L,4.670362617192486
IP1_L,3.835850482202078
IP0_L,2.7314559489737564
PFop_L,-0.49991828562007257
PF_L,1.1396706246437875
PFm_L,1.2545460755054645
PGi_L,1.1507559793332056
PGs_L,0.2501188178281362
V6A_L,1.573874954344732
VMV1_L,0.2779142515249627
VMV3_L,1.8231092059580118
PHA2_L,1.2115865410686704
V4t_L,2.7437577495182084
FST_L,3.444412802839466
V3CD_L,2.198851337432508
LO3_L,1.6443176275511515
VMV2_L,0.017359630377347144
31pd_L,-0.5453350026198357
31a_L,-1.6910456670797542
VVC_L,5.707653499534627
25_L,-2.305005854979493
s32_L,-1.760032100223976
pOFC_L,-1.6506513836454662
PoI1_L,-1.009055913600285
Ig_L,-1.3081389822422733
FOP5_L,0.9623628613539916
p10p_L,-1.4517052475191672
p47r_L,0.2490091811194829
TGv_L,1.4303149517108713
MBelt_L,-0.015733323761904314
LBelt_L,-0.3779413481400801
A4_L,0.08894199755263042
STSva_L,2.7710992121136275
TE1m_L,0.7491579954977862
PI_L,1.1626871712865738
a32pr_L,-1.2702171528301898
p24_L,-2.7352012023298804
V1_R,0.06203556635391937
MST_R,1.3212964174112003
V6_R,0.9972707163581818
V2_R,-0.10045818294527417
V3_R,0.5551109573692444
V4_R,2.148166734748271
V8_R,2.335176283908779
4_R,-1.0963846314522467
3b_R,-0.7976371346916791
FEF_R,-0.6894437990984966
PEF_R,-1.2122703153983627
55b_R,-1.092216980945751
V3A_R,-0.4332791129329655
RSC_R,-0.5248505176459491
POS2_R,-0.06929033502515468
V7_R,3.17333527450315
IPS1_R,2.7862482624546288
FFC_R,3.85154400224811
V3B_R,3.312897578011952
LO1_R,1.288967066247337
LO2_R,2.1546334170509316
PIT_R,4.718922493539447
MT_R,0.2972278149515918
A1_R,-1.2617921610314926
PSL_R,-0.8335018789855598
SFL_R,-1.108548428952839
PCV_R,-0.8528614993680945
STV_R,-1.2504656734822919
7Pm_R,0.5032372061822282
7m_R,-1.11426076241617
POS1_R,-0.7442076227025818
23d_R,-1.090118514544845
v23ab_R,-1.2491145586171633
d23ab_R,-1.2370701226701366
31pv_R,-0.6791775255749269
5m_R,-1.1474505198589564
5mv_R,-0.8754036512211213
23c_R,-1.2702232898245198
5L_R,0.0585164638222171
24dd_R,-2.0788641492507396
24dv_R,-0.36118173549759675
7AL_R,1.4441324487838538
SCEF_R,-1.430371934431003
6ma_R,-1.1207963471998141
7Am_R,0.8732509628854292
7Pl_R,0.011362996681028772
7PC_R,0.8111345124202395
LIPv_R,2.6331612900520205
VIP_R,2.121492333092166
MIP_R,2.375192811873502
1_R,-0.576252762032686
2_R,-0.5431564288954842
3a_R,-1.1032026383777807
6d_R,-0.3929143147753553
6mp_R,-1.3442515100294028
6v_R,-0.8786244183918263
p24pr_R,-0.9086110160168038
33pr_R,-2.217988274299507
a24pr_R,-2.191613076447292
p32pr_R,-0.7856561992713136
a24_R,-2.87520100143241
d32_R,-2.0297289710731055
8BM_R,-1.0016991057223075
p32_R,-2.169683632544062
10r_R,-2.413919307893148
