region,addiction
V1_L,-0.5356264775478005
MST_L,-2.2442391535126824
V6_L,-0.3420088963143638
V2_L,-0.4502210200895016
V3_L,-0.7188886416122121
V4_L,-1.1150588972673654
V8_L,-1.4071837651363752
4_L,-1.5203314797107768
3b_L,-1.4460701905863202
FEF_L,-1.651472906509352
PEF_L,-2.4753700061887445
55b_L,-1.712182571914858
V3A_L,-0.3725642860117798
RSC_L,2.281116070831458
POS2_L,-0.5750976262876616
V7_L,-1.424262756399143
IPS1_L,-1.113003328443515
FFC_L,-2.625059116800369
V3B_L,-1.1587541413234628
LO1_L,-0.8789376099069925
LO2_L,-1.4682284020702314
PIT_L,-1.5797758286741503
MT_L,-2.5091130677477933
A1_L,-1.1303858954815915
PSL_L,-1.6862425120322684
SFL_L,-0.6735974196371983
PCV_L,-0.7923831959833632
STV_L,-2.1185179770464977
7Pm_L,-1.9679214278929213
7m_L,-1.8867525051388765
POS1_L,0.703750882162168
23d_L,1.9688249181977964
v23ab_L,1.457916788812315
d23ab_L,1.8315155031675763
31pv_L,0.3693456631705757
5m_L,-0.7298308851159508
5mv_L,0.13350182284446496
23c_L,1.381894031066966
5L_L,-0.4341587014264248
24dd_L,-0.2699834725300461
24dv_L,0.1371272093555535
7AL_L,-1.5603146064460616
SCEF_L,-2.0517849043803396
6ma_L,-0.5066144053324648
7Am_L,-0.200681213884851
7Pl_L,-1.1000547410240678
7PC_L,-2.214451673504799
LIPv_L,-2.8674176790395696
VIP_L,-1.1231173718659493
MIP_L,-2.722249077083383
1_L,-1.300138372955776
2_L,-2.146078966048601
3a_L,-1.1157102872861184
6d_L,-1.0387199658135295
6mp_L,-1.8163463689412203
6v_L,-1.715374997798406
p24pr_L,1.797605793776317
33pr_L,4.366567373348118
a24pr_L,4.329867358205218
p32pr_L,0.800879094058388
a24_L,3.8465408014006126
d32_L,1.270607743287414
8BM_L,-1.943478241955811
p32_L,2.9764308267912694
10r_L,2.0123458513764945
47m_L,-1.025015269840209
8Av_L,-0.6072587679835331
8Ad_L,0.5158338678741982
9m_L,0.1136844719561112
8BL_L,-0.828741460141667
9p_L,-1.4959241513567971
10d_L,0.6649028184495217
8C_L,-2.085327826284373
44_L,-2.940036210247977
45_L,-1.9976276785603337
47l_L,-1.8629004509943887
a47r_L,-0.3075229858995879
6r_L,-2.8454485618860783
IFJa_L,-2.271616512969912
IFJp_L,-2.6945639860867248
IFSp_L,-1.920978157965498
IFSa_L,-1.9738464310878223
p9-46v_L,-1.5316591960601047
46_L,-1.1562301651344706
a9-46v_L,-0.8426313639272461
9-46d_L,-0.17626972135226895
9a_L,-0.540137311674545
10v_L,0.8448911621864198
a10p_L,0.23801042420122193
10pp_L,0.6104220976325155
11l_L,1.3793980888120159
13l_L,0.36914399893924554
OFC_L,0.9980719299503715
47s_L,0.030439425739028
LIPd_L,-2.4877653830409145
6a_L,-1.3287446545568478
i6-8_L,-1.5237219967712197
s6-8_L,0.4246839104999913
43_L,-0.4692380777881641
OP4_L,0.1233476283897395
OP1_L,-0.7669855399043181
OP2-3_L,1.4140582168167921
52_L,0.9541504941997476
RI_L,-0.2937877780788233
PFcm_L,-2.876421194147055
PoI2_L,3.1475520347967083
TA2_L,-0.27343668806303495
FOP4_L,0.14686786067693727
MI_L,2.465198478039066
Pir_L,0.6392809772837194
AVI_L,0.465018708199426
AAIC_L,1.0360130126264906
FOP1_L,0.44467743283312766
FOP3_L,2.421358253818227
FOP2_L,0.8328043545989522
PFt_L,-2.102289920009424
AIP_L,-2.3997912213439356
EC_L,0.21020066549166536
PreS_L,0.02861824704534413
H_L,-0.58055682730817
ProS_L,0.1732403197940047
PeEc_L,0.5212004180608676
STGa_L,-2.0717275785474825
PBelt_L,-2.4380516253619993
A5_L,-2.20377825713253
PHA1_L,-0.5552313217959407
PHA3_L,-1.173664861455072
STSda_L,-1.1619465206424169
STSdp_L,-3.165651461107222
STSvp_L,-3.6284160427029617
TGd_L,-1.0611351006704681
TE1a_L,-0.8397997044489057
TE1p_L,-1.6772596567915858
TE2a_L,-0.012139760534381315
TF_L,-0.11423002355767818
TE2p_L,-0.706999013637138
PHT_L,-2.007463067709908
PH_L,-2.2850052149936815
TPOJ1_L,-2.7618737315302364
TPOJ2_L,-2.913785928784263
TPOJ3_L,-2.33576267703081
DVT_L,-0.18236397419325587
PGp_L,-0.8981318298389221
IP2_L,-3.2268584053539864
IP1_L,-2.7067265957928544
IP0_L,-1.3770079080802002
PFop_L,-1.9000931452753205
PF_L,-1.6785763773346385
PFm_L,-1.8707836915714782
PGi_L,-1.991695003140082
PGs_L,-1.4286250139773649
V6A_L,-0.5956636482474738
VMV1_L,-1.1513825981419978
VMV3_L,-1.246593384821152
PHA2_L,-1.3618629298047966
V4t_L,-1.866441804347029
FST_L,-2.4272225945862753
V3CD_L,-0.6346774546544511
LO3_L,-1.5467553298354872
VMV2_L,-1.2700576806871555
31pd_L,-0.4658866715953891
31a_L,1.340044265571129
VVC_L,-1.9366773354424673
25_L,2.6536321596085966
s32_L,2.728528606788287
pOFC_L,3.519019066607315
PoI1_L,2.070240194604586
Ig_L,1.6849254310888317
FOP5_L,0.1865561901870841
p10p_L,-0.1827798355996583
