region,addiction
FOP4_R,1.0574288530935134
MI_R,2.2502654907733612
Pir_R,1.7753624477373953
AVI_R,1.169700541721038
AAIC_R,2.596193116502249
FOP1_R,1.8285031683207646
FOP3_R,1.576430651587231
FOP2_R,1.522702565448377
PFt_R,-1.038363756039076
AIP_R,-2.0287012934239073
EC_R,-0.21232850456503316
PreS_R,-0.9542037376321068
H_R,-0.9794688714416703
ProS_R,0.727231519601229
PeEc_R,-0.29795496847788483
STGa_R,-0.49777528150615125
PBelt_R,-2.1290708433416303
A5_R,-2.164328250655132
PHA1_R,-0.9198314204668099
PHA3_R,-0.8741439776818257
STSda_R,-0.37185736269247843
STSdp_R,-1.7323819289735507
STSvp_R,-2.0660749049264377
TGd_R,0.0027358454654372246
TE1a_R,-0.8041912980966364
TE1p_R,-0.13579167793284533
TE2a_R,0.41427398478558286
TF_R,0.1076448445321546
TE2p_R,0.2810749244418023
PHT_R,-0.8884590942944234
PH_R,-2.3993219074804264
TPOJ1_R,-2.0688273675001203
TPOJ2_R,-2.8458006910775615
TPOJ3_R,-2.879211026485748
DVT_R,-0.02207718763769972
PGp_R,-1.6494208447966296
IP2_R,-2.4595124160477324
IP1_R,-1.1985994185516151
IP0_R,-0.8586385779108651
PFop_R,-1.4616679086154754
PF_R,-1.0105874821321945
PFm_R,-1.494429105113398
PGi_R,-2.786430530320908
PGs_R,-1.396502496955163
V6A_R,-1.0354379926190602
VMV1_R,0.39386581293779876
VMV3_R,-1.4216600691694468
PHA2_R,-0.7041234561158936
V4t_R,-2.2995143908112072
FST_R,-2.474915723415287
V3CD_R,-0.5594289411917169
LO3_R,-1.0118480753546937
VMV2_R,-0.7098405112352886
31pd_R,1.865601841400458
31a_R,2.290491533306979
VVC_R,-1.5326410413659044
25_R,4.338395893045315
s32_R,3.2144855625467015
pOFC_R,3.6879587147315944
PoI1_R,2.348598185991054
Ig_R,1.4620377355197673
FOP5_R,-0.45627499346637335
p10p_R,0.6133105476272658
p47r_R,0.22686954167756773
TGv_R,-0.1617166300859973
MBelt_R,-0.5694661301045469
LBelt_R,-1.9772352843350693
A4_R,-1.600348441565021
STSva_R,-0.658333844484641
TE1m_R,-0.3041245642688465
PI_R,2.0185670397011415
a32pr_R,2.8289711427095314
p24_R,4.5683786605603505
