region,association
V1_L,-1.3377241653677843
MST_L,-2.911322922542167
V6_L,-0.20935496940037776
V2_L,-0.9787730927591967
V3_L,-1.196325096671797
V4_L,-1.213663306037897
V8_L,-1.400306882970846
4_L,-1.2707520075254726
3b_L,-1.2986400372100222
FEF_L,-0.5671363618585267
PEF_L,-1.4664656924021766
55b_L,-0.9691353487649715
V3A_L,-0.8445085838981902
RSC_L,1.1431673625607415
POS2_L,-0.3243040333108195
V7_L,-0.9157807406773224
IPS1_L,0.1775616904349508
FFC_L,-1.1418121155719414
V3B_L,-1.363288317273498
LO1_L,-0.9090102284963077
LO2_L,-1.9007356077066095
PIT_L,-1.834133128967793
MT_L,-3.2747041546886377
A1_L,-0.8867407598108464
PSL_L,-1.124839626569286
SFL_L,-0.7402327956121141
PCV_L,-1.5557211086133618
STV_L,-1.8374428727274394
7Pm_L,-1.139156558833708
7m_L,-2.6328000591400422
POS1_L,0.8948800271115435
23d_L,-0.5229040195931922
v23ab_L,-0.4842544459311313
d23ab_L,-0.3248649471840754
31pv_L,-0.6548599684704232
5m_L,-0.8777792104529248
5mv_L,-0.064604936564798
23c_L,0.0850665612659921
5L_L,-0.2289470925815916
24dd_L,-1.0607814709416057
24dv_L,-0.9328236564609961
7AL_L,-0.8049614226839577
SCEF_L,-1.946034174027189
6ma_L,-0.8104460393389035
7Am_L,0.047731999526320464
7Pl_L,-0.06238745743145824
7PC_L,-1.0902968368513677
LIPv_L,-0.9845119794121171
VIP_L,-0.22876420966027272
MIP_L,-1.1202565313897406
1_L,-1.134809495466137
2_L,-1.5134604534219245
3a_L,-0.9199654134923615
6d_L,-0.7718873133852137
6mp_L,-1.726435267340437
6v_L,-0.9562164959176964
p24pr_L,-0.9904685082447611
33pr_L,-0.04655853393884257
a24pr_L,-0.7795295788430056
p32pr_L,-0.9850966077315856
a24_L,0.8418123184710009
d32_L,-0.1195686875778592
8BM_L,-1.2927126505473454
p32_L,1.2496320098634088
10r_L,0.25219293127452014
47m_L,0.07701197954436964
8Av_L,-0.14006980531143312
8Ad_L,0.6181580520604603
9m_L,-1.2009637935070112
8BL_L,-0.6331620730298859
9p_L,-1.6094777250532883
10d_L,-0.08520167127084441
8C_L,-1.0895623193132185
