region,response selection
7m_R,-1.505637801728067
POS1_R,-1.1717538333077127
23d_R,-0.3753192332495276
v23ab_R,-1.6193472855054285
d23ab_R,-0.8269608234549181
31pv_R,-1.0007291472434077
5m_R,1.620715191281531
5mv_R,0.029200267802264132
23c_R,-0.87570137912867
5L_R,0.0604397347351897
24dd_R,6.3755313756211365
24dv_R,7.711895593642164
7AL_R,0.36641826347803347
SCEF_R,8.487941231105665
6ma_R,1.134994961534477
7Am_R,0.9264630722307816
7Pl_R,1.7104720456936997
7PC_R,0.639591767166332
LIPv_R,3.2778871422671245
VIP_R,1.5189743523394954
MIP_R,3.007455906726982
1_R,0.047023115378151764
2_R,0.00731687424816725
3a_R,1.5853618801425045
6d_R,0.6781875820196338
6mp_R,3.878354214850159
6v_R,1.7690090663578846
p24pr_R,3.1739728169177153
33pr_R,0.47772185408286083
a24pr_R,3.491094431474862
p32pr_R,5.900628609365098
a24_R,-2.1124741487637437
d32_R,-0.12422668345476325
8BM_R,2.870454412530758
p32_R,-2.3090950676184394
10r_R,-2.112444540133625
47m_R,-0.8051496972484178
8Av_R,0.23039624523522317
8Ad_R,-0.44213048223612295
9m_R,-0.8062878673933723
8BL_R,-0.13184784256182316
9p_R,-0.10341691621620729
10d_R,-0.691443239369475
8C_R,0.9755485159775464
44_R,0.26161558729407186
45_R,-0.2101419510833923
47l_R,0.03364686988194098
a47r_R,-0.014887799363168027
6r_R,2.1216891655397063
IFJa_R,1.2946377787147902
IFJp_R,0.800459269606892
IFSp_R,1.472911976015337
IFSa_R,0.0994627026968746
p9-46v_R,1.5858728652312304
46_R,0.992289195807825
a9-46v_R,1.3594363300531105
9-46d_R,0.894740822507216
9a_R,0.3638786501521782
10v_R,-1.1365925191467785
a10p_R,-0.15985861597988948
10pp_R,-0.2154930115285058
11l_R,-0.5051814070777938
13l_R,-1.3992945964155266
OFC_R,-1.121352634833667
47s_R,-0.6947938111017414
LIPd_R,5.7306521994589605
6a_R,3.032529931332198
i6-8_R,1.382459206364754
s6-8_R,-0.1958754737461875
43_R,0.17026333793325293
OP4_R,-0.28156798693849827
OP1_R,-1.0706012038932817
OP2-3_R,-1.7245269179976142
52_R,-2.9496160389465214
RI_R,-1.211049259244793
PFcm_R,-0.062319871605767095
PoI2_R,-2.2230050525214264
TA2_R,-1.1943263719183053
FOP4_R,1.4645893416507054
MI_R,1.1530974395535403
Pir_R,-2.2034872153776077
AVI_R,1.9606835764994666
AAIC_R,0.46016946820697907
FOP1_R,0.521454628668957
FOP3_R,0.17150199118602705
FOP2_R,-0.3552577409932866
PFt_R,-0.657115432667528
AIP_R,2.6993224783756595
EC_R,-2.000147281669737
PreS_R,-2.0685967730232586
H_R,-2.4283205371970036
ProS_R,-1.733439932360052
PeEc_R,-1.8980524254978224
STGa_R,-1.436576483342384
PBelt_R,-1.2866171883985473
A5_R,-1.35905355186998
PHA1_R,-1.3385498536654319
PHA3_R,-1.5546190749622433
STSda_R,-2.293081743791213
STSdp_R,-2.3543330613865443
STSvp_R,-1.5160123722444305
TGd_R,-1.3137267127811194
TE1a_R,-1.7077217887441196
TE1p_R,-1.0789439097387195
TE2a_R,-1.1688247311712323
TF_R,-1.540795621361101
TE2p_R,-1.222900247600266
PHT_R,-0.878035840847343
PH_R,-0.9460383757388751
TPOJ1_R,-0.7759917255797129
TPOJ2_R,-1.7839512002967945
TPOJ3_R,-1.3784174138431204
DVT_R,0.9575400208433013
PGp_R,-0.12298036298791738
IP2_R,3.956932050465992
IP1_R,2.535705164318002
IP0_R,1.0999618696864126
PFop_R,0.32816028851008716
PF_R,0.20004967025714362
PFm_R,0.9391006874199209
PGi_R,-0.7167388904342397
PGs_R,0.08212246024640199
V6A_R,1.273772177019793
VMV1_R,-1.5498139617919389
VMV3_R,-1.259102842954745
PHA2_R,-1.637314014726719
V4t_R,-1.6341919013855033
FST_R,-1.72612363937844
V3CD_R,-0.2246983161816182
LO3_R,-0.9873075507311012
VMV2_R,-1.5414830212162673
31pd_R,-0.8741054115573655
31a_R,-0.8029954098040561
VVC_R,-0.8352278157763506
25_R,-1.9949315628866107
s32_R,-1.4752111732734143
pOFC_R,-1.7046498084448463
PoI1_R,-3.115298780270286
Ig_R,-2.389122716375662
FOP5_R,-0.01643885235017159
p10p_R,-0.07405815797207063
p47r_R,0.9663842918768084
TGv_R,-1.2773790004067294
MBelt_R,-2.7774547480405642
LBelt_R,-2.288801989880423
A4_R,-0.7092204949505573
STSva_R,-1.9196187550715387
TE1m_R,-1.3792350345341853
PI_R,-2.960064192466067
a32pr_R,2.227574513169998
p24_R,-1.2318170318590016
