region,response selection
V1_L,-1.0033361609334688
MST_L,-2.011021942273245
V6_L,0.2637783615898342
V2_L,-1.3021288378505667
V3_L,-0.8882835113630562
V4_L,-0.7477989374201569
V8_L,-0.5153419772858171
4_L,2.56377530116404
3b_L,1.5841269124331514
FEF_L,3.969029913175328
PEF_L,2.632470377832554
55b_L,1.4624939792098839
V3A_L,-0.63700518798063
RSC_L,-1.2152357542719772
POS2_L,0.6293318578390051
V7_L,0.5398333796751535
IPS1_L,2.9459577778730863
FFC_L,-1.3613569744381666
V3B_L,0.24949616365974053
LO1_L,-0.7100877080152885
LO2_L,-0.8921751924717635
PIT_L,-0.7832012559522169
MT_L,-1.8421101148439991
A1_L,-2.414008032011525
PSL_L,-0.3733070816773725
SFL_L,3.998449074355058
PCV_L,-0.8379885486479091
STV_L,-1.1956007238090798
7Pm_L,1.2765021022882521
7m_L,-1.4573198881909644
POS1_L,-0.9590730361692063
23d_L,0.3531940462403889
v23ab_L,-1.6074758750883298
d23ab_L,-0.6999662627395884
31pv_L,-0.8732297890173213
5m_L,2.1535705170530246
5mv_L,-0.5996065107528462
23c_L,-0.19950864325881432
5L_L,0.6445216502032725
24dd_L,10.472086058885804
24dv_L,9.920530157134218
7AL_L,0.4090033106940302
SCEF_L,12.409039766237603
6ma_L,2.7412318449122948
7Am_L,1.3768356030120381
7Pl_L,2.800060954731248
7PC_L,1.6838358697023919
LIPv_L,3.246546560369406
VIP_L,1.333211283485263
MIP_L,3.18990855941963
1_L,0.5211659563135382
2_L,1.4344474481395246
3a_L,2.2204101276553554
6d_L,1.1489296871129273
6mp_L,5.200070219379949
6v_L,1.8438282213642683
p24pr_L,5.353328931420792
33pr_L,0.24078784908527856
a24pr_L,0.9913404795405185
p32pr_L,5.844339070076366
a24_L,-1.8014947236691357
d32_L,-0.2857958295021272
8BM_L,2.6135199538403966
p32_L,-1.729775851339701
10r_L,-1.8880645177789277
47m_L,-0.28650082743658944
8Av_L,0.6435184413065583
8Ad_L,0.001719376006511333
9m_L,-0.6259938818952969
8BL_L,0.2307774851815574
9p_L,-0.13065660180784913
10d_L,-0.8525367523806231
8C_L,1.7541399722844704
44_L,0.3975698333119544
45_L,-0.4586933970134278
47l_L,-0.18604398415856918
a47r_L,-0.33354322625352595
6r_L,1.4712096729129494
IFJa_L,0.8569687930190919
IFJp_L,2.0330513146603315
IFSp_L,1.2763108633357814
IFSa_L,-0.004156900958771429
p9-46v_L,1.3771916889859839
46_L,0.7236274461058195
a9-46v_L,0.42772505859466203
9-46d_L,0.085203810084759
9a_L,-0.2448959565270778
10v_L,-1.0149471375991654
a10p_L,-0.697755025960928
10pp_L,-0.510018752574815
11l_L,-1.4133134195249044
13l_L,-1.8502717466447396
OFC_L,-1.2983826922455044
47s_L,-1.4440320105631648
LIPd_L,4.863063058273424
6a_L,4.099777689935854
i6-8_L,3.048699218502042
s6-8_L,1.0508171319562185
43_L,0.9075251136230935
OP4_L,-0.6542054435984539
OP1_L,-1.2531981342743646
OP2-3_L,-1.4180383628291977
52_L,-2.4260947444615177
RI_L,-1.1507690794027357
PFcm_L,-0.2443799662558251
PoI2_L,-2.0309519694384646
TA2_L,-1.7121476619569385
FOP4_L,0.22205203874691132
MI_L,0.33059390787848825
Pir_L,-2.7563248210088713
AVI_L,1.059210077140378
AAIC_L,-0.6092941673016355
FOP1_L,0.910509140018984
FOP3_L,-0.7649285241616886
FOP2_L,-0.09697742503640047
PFt_L,0.8892750602256829
AIP_L,3.002640303195049
EC_L,-2.293111135616644
PreS_L,-2.419422713455093
H_L,-2.7169303481230016
ProS_L,-1.6184238847814616
PeEc_L,-1.9332134845091176
STGa_L,-1.6612859342040205
PBelt_L,-2.218180932834843
A5_L,-1.867937075265283
PHA1_L,-2.085252220052422
PHA3_L,-1.293221458734314
STSda_L,-2.5587027687649675
STSdp_L,-2.6354097788828525
STSvp_L,-2.856890450399742
TGd_L,-1.4982020309707509
TE1a_L,-1.540057624452094
TE1p_L,-1.3588646666138322
TE2a_L,-1.2958060451517057
TF_L,-1.6067274992990022
TE2p_L,-1.6406933093244145
PHT_L,-1.3670345487940434
PH_L,-1.5507756831540402
TPOJ1_L,-1.8755688652176992
TPOJ2_L,-1.7462527342702385
TPOJ3_L,-0.9675244636887647
DVT_L,1.4140203370460778
PGp_L,-0.13618516186361793
IP2_L,4.62544463525675
IP1_L,2.47725375254107
IP0_L,1.4789792364141776
PFop_L,0.034969473650022474
PF_L,0.675884391163866
PFm_L,0.9544883446333231
PGi_L,-0.6392765770851083
PGs_L,-0.06604292173554414
V6A_L,0.8916371511557882
VMV1_L,-1.748437464762558
VMV3_L,-0.9682574241146423
PHA2_L,-1.896729008671137
V4t_L,-1.3635505273694597
FST_L,-2.295461490895334
V3CD_L,-0.6767100009895133
LO3_L,-0.8935578594588597
VMV2_L,-2.1012383088300117
31pd_L,-1.8538625602639416
31a_L,-0.16985506372909542
VVC_L,-0.8300873298639095
25_L,-1.7496726141710572
s32_L,-1.2409925495796854
pOFC_L,-1.9146090703379344
PoI1_L,-2.3885126350277437
Ig_L,-2.0579044365859276
FOP5_L,0.6890450343801066
p10p_L,-0.6583319982138213
p47r_L,0.9371048248032476
TGv_L,-1.317420209185251
MBelt_L,-2.380917688376414
LBelt_L,-2.4386338484166914
A4_L,-1.556273716235139
STSva_L,-2.9535164214882443
TE1m_L,-1.4607673593280495
PI_L,-2.685005501209312
a32pr_L,0.9952936465060358
p24_L,-1.8509435877312932
V1_R,-1.2434290694199028
MST_R,-1.9750509262594855
