region,loss
V1_L,-0.5533559157161413
MST_L,-2.4446975456034123
V6_L,-0.7212754252883046
V2_L,-0.4801202358552562
V3_L,-0.7396394619072744
V4_L,-0.8789900174088467
V8_L,-1.4741584105962893
4_L,-0.4088505454512461
3b_L,-0.32877458157656836
FEF_L,-1.0734842408663439
PEF_L,-2.1997199820272044
55b_L,-1.15964886044127
V3A_L,-0.21978474166917908
RSC_L,0.15072938102819564
POS2_L,-1.5083170510001975
V7_L,-1.4255204555758214
IPS1_L,-1.1229586981243687
FFC_L,-1.9078324822255797
V3B_L,-1.4609869373230182
LO1_L,-0.7931700243941933
LO2_L,-0.9008121190651629
PIT_L,-0.9832860541511612
MT_L,-2.466770354833999
A1_L,1.5146482166331316
PSL_L,-0.8294114675832269
SFL_L,-0.8976356849324408
PCV_L,-1.2540413942967057
STV_L,-1.2798734696662268
7Pm_L,-1.7342803403170504
7m_L,-2.783981978706428
POS1_L,-0.8306103821715562
23d_L,0.10273296768128294
v23ab_L,-1.035479114223852
d23ab_L,-0.5250439040185156
31pv_L,-1.0909303726017943
5m_L,-0.29381064936371637
5mv_L,-0.02265414996873402
23c_L,0.05886476871909312
5L_L,-0.08842793684564415
24dd_L,-0.478155407506891
24dv_L,-1.401956076440962
7AL_L,-0.8464849759767419
SCEF_L,-2.4618041339435712
6ma_L,-0.24923326717445762
7Am_L,-0.11507266558318642
7Pl_L,-0.9853184064232487
7PC_L,-1.3100581832232834
LIPv_L,-1.5731940490288003
VIP_L,-0.4911805787227579
MIP_L,-2.0009971996795484
1_L,-0.6871605604648967
2_L,-0.8847354607049965
3a_L,-0.25525713565366215
6d_L,-0.058118300076626606
6mp_L,-1.2722898285187532
6v_L,-1.2778811956007954
p24pr_L,-0.7628273735165894
33pr_L,0.7226803616440544
a24pr_L,-0.16329655693684464
p32pr_L,-2.1517088244822458
a24_L,2.0162635269627334
d32_L,-0.08841326764665083
8BM_L,-2.921870458831656
p32_L,1.7286010109724
10r_L,1.471810423091816
47m_L,-1.772388778431456
8Av_L,-0.7181638056974976
8Ad_L,-0.1669630141193968
9m_L,-0.8351309864508496
8BL_L,-1.002826638333952
9p_L,-1.8226790576654384
10d_L,0.3655661417844135
8C_L,-2.1806286963651726
44_L,-3.216514032007398
45_L,-2.217797202782435
47l_L,-2.499630771917217
a47r_L,-0.5181584450891582
6r_L,-2.8004387399019364
IFJa_L,-2.6551254094820846
IFJp_L,-2.50611530280037
IFSp_L,-2.404985100145945
IFSa_L,-2.0827257919175537
p9-46v_L,-1.6447306513332618
46_L,-1.2796098294721283
a9-46v_L,-1.1970755999854157
9-46d_L,-0.7888811463426935
9a_L,-0.7868766905834514
10v_L,0.7954433555325465
a10p_L,0.021528301235036143
10pp_L,0.5184479967339617
11l_L,1.045495887718391
13l_L,0.5719575623303429
