region,insight
7Pm_R,0.8746562370709232
7m_R,4.960072732633409
POS1_R,2.700912678511472
23d_R,0.7309455239947223
v23ab_R,4.542462021879493
d23ab_R,2.862608692537152
31pv_R,2.4392045064874734
5m_R,-0.8192847209361683
5mv_R,-0.1797571658163364
23c_R,0.7471538116599922
5L_R,0.10656910305142211
24dd_R,-0.8692797932965172
24dv_R,-0.9100410424763616
7AL_R,0.211441322376444
SCEF_R,-0.4215644737698947
6ma_R,-1.2241428324052317
7Am_R,0.341684158624068
7Pl_R,-0.6916583791821329
7PC_R,-0.5038864540063211
LIPv_R,-0.848659947818535
VIP_R,-0.028776594037862153
MIP_R,0.14243792290751317
1_R,-0.840960820366769
2_R,-0.7962497502406259
3a_R,-0.988292885781526
6d_R,-1.147109473190478
6mp_R,-0.9805269256262078
6v_R,-0.35476162744912565
p24pr_R,-0.8452826352908758
33pr_R,-1.02950227669394
a24pr_R,-1.2178873836268032
p32pr_R,-1.582000661810284
a24_R,-0.35500559549418054
d32_R,0.02730795482894011
8BM_R,-0.7820587612174189
p32_R,0.36338434283213245
10r_R,-0.6015791043874936
47m_R,-0.5707967344276758
8Av_R,-1.1617653798858687
8Ad_R,0.8241148791083035
9m_R,0.5414282561177359
8BL_R,-0.8219479981395255
9p_R,-0.08917824765133306
10d_R,0.7803450904918875
8C_R,-1.7735938998788165
44_R,0.8521528648880587
45_R,0.8959341389116162
47l_R,0.4644165790549796
a47r_R,-1.0503262766090378
6r_R,0.445380122377716
IFJa_R,-1.6380169460002827
IFJp_R,-2.4124271380287547
IFSp_R,-1.0640109856627922
IFSa_R,-0.38891810911650904
p9-46v_R,-0.911044457191181
46_R,-0.6427097942023826
a9-46v_R,-0.860056818517576
9-46d_R,-0.16072127450382404
9a_R,-0.08911974623248291
10v_R,-0.27166166004245346
a10p_R,-0.8960702794611054
10pp_R,-0.0010452828421514755
11l_R,-1.202344553216069
13l_R,-1.9283536548909654
OFC_R,-0.28772249592449656
47s_R,-0.06418894676918029
LIPd_R,-1.6759446959200852
6a_R,-1.3651581517973117
i6-8_R,-0.38748983961536704
s6-8_R,-0.7869688382010125
43_R,0.9311054939011211
OP4_R,0.31781507606662285
OP1_R,2.4798992362166246
OP2-3_R,2.9795090331975405
52_R,3.5196562400984592
RI_R,0.6218056390006321
PFcm_R,-0.1354481166183336
PoI2_R,5.4806274729618005
TA2_R,2.710789132271685
FOP4_R,3.552996077873111
MI_R,6.340498141753486
Pir_R,0.8311123182295579
AVI_R,1.8333615511863761
AAIC_R,2.904473248049243
FOP1_R,4.4942758303397286
FOP3_R,3.0418484874380303
FOP2_R,1.9513459181835415
PFt_R,-0.656690324312451
AIP_R,-0.8016236849137424
EC_R,-0.7463442190904268
PreS_R,-0.8965921607404586
H_R,-0.5494011893820542
ProS_R,-0.1268720964155577
PeEc_R,-0.15398339759825364
STGa_R,0.4131096408715492
PBelt_R,0.9061972385321857
A5_R,0.4769226828564812
PHA1_R,0.15906156708777328
PHA3_R,-0.45298636840845347
STSda_R,1.6313437859401416
STSdp_R,0.8521760932116588
STSvp_R,0.6821596734066764
TGd_R,0.017465769690167776
TE1a_R,2.219423741176691
TE1p_R,0.48541884996677465
TE2a_R,1.4867366841542335
TF_R,0.6243435630833378
TE2p_R,0.45970339577389935
PHT_R,0.9774404284127464
PH_R,-1.127720003874335
TPOJ1_R,0.27064439023281056
TPOJ2_R,-0.033116881181912826
TPOJ3_R,0.40988373906406433
DVT_R,0.6627479150475838
PGp_R,2.3108265390155336
IP2_R,-0.6722528830904592
IP1_R,0.01742590430382529
IP0_R,1.0732358690158468
PFop_R,-0.004598121075391739
PF_R,-0.260845420965045
PFm_R,-0.6738746466450928
PGi_R,0.6047663654474147
PGs_R,1.2051551679763377
V6A_R,0.32433250730542024
VMV1_R,0.11221952722066894
VMV3_R,-1.877405048689783
PHA2_R,-0.1204534206434751
V4t_R,-2.1077259008947014
FST_R,-0.9676241580190084
V3CD_R,0.7577971249203116
LO3_R,1.0005318352912997
VMV2_R,-1.1844422052589283
31pd_R,2.0488666406360494
31a_R,1.9431274015434081
VVC_R,-0.7680241614541498
25_R,-1.7980048375376403
s32_R,0.2601705970492659
pOFC_R,-1.2209614441084777
PoI1_R,4.541746672719266
Ig_R,4.545879885014377
FOP5_R,1.3001089927361054
p10p_R,-0.9338133556046674
p47r_R,-0.906909446241782
TGv_R,0.09384331592490629
MBelt_R,2.9913396786936386
LBelt_R,1.3546418110635334
A4_R,0.4318800590993484
STSva_R,2.1026189557665202
TE1m_R,1.1414502889112426
PI_R,2.5818861261303723
a32pr_R,-1.2202164582077524
p24_R,-0.09864476475925386
