region,insight
V1_L,-0.29207345807677787
MST_L,-0.10283202712900136
V6_L,1.3714207346058473
V2_L,0.08091440633997597
V3_L,-0.3198313550235921
V4_L,-1.013291644027204
V8_L,-0.3561800912474541
4_L,-1.7533040896399565
3b_L,-1.6300678985705606
FEF_L,-0.38114459926511557
PEF_L,-1.2923239968422868
55b_L,-0.3240151276713682
V3A_L,-0.0927182646296797
RSC_L,1.9889307718461653
POS2_L,3.4190132999527423
V7_L,0.5520669411530298
IPS1_L,0.9387388950571898
FFC_L,-0.3100004542570575
V3B_L,-0.19312295830804582
LO1_L,-0.12193731716000569
LO2_L,-1.0197608006420125
PIT_L,-0.9816527379264879
MT_L,-0.1626092705889741
A1_L,1.6653497194724154
PSL_L,0.20720337687544663
SFL_L,0.5457215566683331
PCV_L,1.232007946532022
STV_L,0.3842884077333569
7Pm_L,1.2064244396214212
7m_L,4.145327800021789
POS1_L,3.2120845236755224
23d_L,-0.19711572119924883
v23ab_L,7.995429149316814
d23ab_L,2.7485334808395896
31pv_L,1.3586528192997476
5m_L,-0.925579620278302
5mv_L,-1.2501193840818106
23c_L,-0.8884919394400546
5L_L,0.1338444162495906
24dd_L,-1.5781994382458986
24dv_L,-1.145972255667153
7AL_L,-0.281353886663364
SCEF_L,-1.1342357052706145
6ma_L,-1.0361598480373517
7Am_L,1.3856435000429828
7Pl_L,0.5899267137727905
7PC_L,-1.0595437469050626
LIPv_L,-1.2839004828479579
VIP_L,-0.2499100868168959
MIP_L,-0.523918265050095
1_L,-1.128169726482773
2_L,-2.1753004507152345
3a_L,-1.3530247958919344
6d_L,-1.3303938467883385
6mp_L,-1.7855489390096646
6v_L,-0.3942424246819352
p24pr_L,-1.3261752295619629
33pr_L,-0.5391617975625482
a24pr_L,0.1359832696668989
p32pr_L,-0.8189263913695723
a24_L,0.39162707682856224
d32_L,0.04815236363364626
8BM_L,-0.7906855985528088
p32_L,-0.8664518840185912
10r_L,-0.037338983613287344
47m_L,-0.0711563253312945
8Av_L,-0.07873547231417587
8Ad_L,1.4645585875053149
9m_L,-0.012077382442939816
8BL_L,1.8044072901917658
9p_L,-1.0486731448755278
10d_L,0.5668785143832428
8C_L,-1.3401305286218617
44_L,1.0934540054479442
45_L,0.5961065031548417
47l_L,0.2365885717801352
a47r_L,-0.8855130008247367
6r_L,0.4113983711790478
IFJa_L,-0.5548976186989779
IFJp_L,-1.2575092898037172
IFSp_L,0.24807866321000224
IFSa_L,-0.43632210711723746
p9-46v_L,-1.0423413496116003
46_L,-0.7639171147857922
a9-46v_L,-1.0020499878280629
9-46d_L,-0.7685578959763683
9a_L,-0.9067972030488645
10v_L,-0.1955645315203132
a10p_L,-1.2145279260584616
10pp_L,-0.38000424311738856
11l_L,-0.8056066221263568
13l_L,-1.1447983622700841
OFC_L,-0.9234833429980885
47s_L,-0.3477498348726474
LIPd_L,-0.94006486489597
6a_L,-0.7401802044793717
i6-8_L,-0.5594121065094403
s6-8_L,1.5596482728994618
43_L,1.6643003263212408
OP4_L,0.5429048909628461
OP1_L,0.09305520769613992
OP2-3_L,2.077303461823377
52_L,3.6939829952536805
RI_L,1.1036103583989123
PFcm_L,-0.6010819035170158
PoI2_L,5.784229468865523
TA2_L,2.902824717227274
FOP4_L,3.359574220274564
MI_L,6.556812913880203
Pir_L,0.6042569324510129
AVI_L,1.980338729439026
AAIC_L,3.0862386281262735
FOP1_L,4.197734363246627
FOP3_L,4.791624552664057
FOP2_L,3.0622172066326447
PFt_L,-1.7306887741769108
AIP_L,-1.472508497137707
EC_L,-0.001425245147757327
PreS_L,0.059751291736422296
H_L,-0.5410229472659182
ProS_L,-0.13711956138284317
PeEc_L,0.5573241685657379
STGa_L,-0.038557347817046075
PBelt_L,1.6499559616236399
A5_L,1.0233680483567
PHA1_L,0.7294215346847336
PHA3_L,-0.4013135659713543
STSda_L,1.6078532907071659
STSdp_L,1.5011914297127005
STSvp_L,0.982632916175398
TGd_L,-0.13090999230605135
TE1a_L,1.0134773195439184
TE1p_L,-0.2969228110072105
TE2a_L,1.0783002052028239
TF_L,0.19560219323704758
TE2p_L,-0.2292134334340067
PHT_L,-0.29044291900341723
PH_L,-0.8741626369461671
TPOJ1_L,1.4087857821023757
TPOJ2_L,0.08912914136977057
TPOJ3_L,1.3181826819926825
DVT_L,1.121163013198004
PGp_L,0.45509248440957073
IP2_L,-1.0401272167298194
IP1_L,0.5843631500001644
IP0_L,0.6464706221898807
PFop_L,-0.9334494166109372
PF_L,-0.27084928187417256
PFm_L,-0.2795104818079185
PGi_L,0.9873532973645305
PGs_L,1.1264714021522837
V6A_L,0.40771929041122995
VMV1_L,-0.34072494042116247
VMV3_L,-0.533456738532557
PHA2_L,-0.8539379480574549
V4t_L,-1.0759783447969278
FST_L,-1.3904416301969098
V3CD_L,-0.8638598527894065
LO3_L,0.25431113298509095
VMV2_L,-0.8581551339880025
31pd_L,1.7998039119618174
31a_L,0.0384271788314554
VVC_L,0.1258613668909072
25_L,-1.5089235567838897
s32_L,-0.3498730432264547
pOFC_L,-1.0190798092234066
PoI1_L,4.096819556761076
Ig_L,3.296342435376336
FOP5_L,1.8940740548711563
p10p_L,-0.8919816402238698
p47r_L,-0.7419904596662703
TGv_L,0.1931375186353803
MBelt_L,4.2357159636720665
LBelt_L,1.9592363434010618
A4_L,0.5724462575779526
STSva_L,2.2151751634515082
TE1m_L,1.252156729644351
PI_L,2.7739275875624663
a32pr_L,-0.5095276048176596
p24_L,0.23996123088275492
V1_R,-0.24866849383258785
MST_R,-0.2055009794427843
