region,coordination
V1_L,-1.218910099408914
MST_L,-1.804514810612598
V6_L,-0.3988693185754761
V2_L,-1.1095783503819736
V3_L,-0.7730780215146885
V4_L,-1.0886746836757188
V8_L,-0.7442345593776408
4_L,9.504938714135518
3b_L,9.387596880755485
FEF_L,6.623930312117129
PEF_L,2.093715366096574
55b_L,2.3053707562483536
V3A_L,-0.06325702844169301
RSC_L,-1.9130777999072186
POS2_L,-1.4211050570855717
V7_L,0.33779609140778155
IPS1_L,1.713267340835825
FFC_L,-1.1827156716758644
V3B_L,-1.1883485253972739
LO1_L,-1.0409585904181253
LO2_L,0.7947698788820966
PIT_L,-0.016164489178976928
MT_L,-1.6897372577932583
A1_L,0.3790219879070265
PSL_L,0.5308003357664102
SFL_L,-0.044986112600457005
PCV_L,-1.1657608240078943
STV_L,-0.8080009735067784
7Pm_L,0.2120743240929031
7m_L,-2.8264332154199248
POS1_L,-3.1062929448452556
23d_L,1.3585310620412097
v23ab_L,-2.7517270074074474
d23ab_L,-2.019164397312008
31pv_L,-2.2223049818379876
5m_L,4.09933660876139
5mv_L,3.1520338820266742
23c_L,1.2935484591684403
5L_L,2.746172044210719
24dd_L,10.079000328458784
24dv_L,6.101292586465672
7AL_L,2.8689465163308303
SCEF_L,3.8246214680853425
6ma_L,1.0918499174200806
7Am_L,1.1791323402237448
7Pl_L,2.4402001823295896
7PC_L,5.659243783869982
LIPv_L,4.472800235141805
VIP_L,3.9205750348102337
MIP_L,3.212129529519761
1_L,4.542320000495462
2_L,7.991682984010637
3a_L,6.818470399564126
6d_L,7.775030051921755
6mp_L,5.397380131507339
6v_L,2.9082886559576866
p24pr_L,3.510683110072488
33pr_L,-1.7607355458159275
a24pr_L,-2.3259893941202177
p32pr_L,-0.975518295712217
a24_L,-3.056395082053999
d32_L,-2.975317861704249
8BM_L,-1.8831948955374322
p32_L,-2.542765944404113
10r_L,-3.1453220529460877
47m_L,-2.476223194831059
8Av_L,-0.36338411377664853
8Ad_L,-1.2418591841865303
9m_L,-2.7466042096177072
8BL_L,-0.7898947892748035
9p_L,-1.7249433907805534
10d_L,-1.2521797953830789
8C_L,-0.6778315909617273
44_L,-1.1491647076929217
45_L,-2.210160459624802
47l_L,-2.6199142745101778
a47r_L,-1.215094191159848
6r_L,0.7568369810346953
IFJa_L,-1.9128656386679672
IFJp_L,-0.7444765218453755
IFSp_L,-1.6705408043831989
IFSa_L,-1.884812476964071
p9-46v_L,-0.9837455603532996
46_L,-0.5143432602455097
a9-46v_L,-1.4029869923669362
9-46d_L,-1.2493868312019394
9a_L,-0.8518632102154537
10v_L,-1.7438007689969923
a10p_L,-1.4242080113850168
10pp_L,-0.7642002235547669
11l_L,-1.5868862216511141
13l_L,-1.9375664124138776
OFC_L,-1.589762601523313
47s_L,-2.5498967774307846
LIPd_L,0.7683018612280013
6a_L,7.081821643588864
i6-8_L,2.442723998860118
s6-8_L,-0.42420167159403727
43_L,2.0450138525726675
OP4_L,1.6575073356185888
OP1_L,2.251948470860936
OP2-3_L,0.002563278899331539
52_L,-1.0904185448897532
RI_L,2.3465130621499175
PFcm_L,3.2859485834128477
PoI2_L,-0.39210248552990806
TA2_L,-0.8988126497132594
FOP4_L,-1.6027368211694604
MI_L,-1.777446940397296
Pir_L,-2.564227845982771
AVI_L,-2.6906208430352065
AAIC_L,-3.3420374592756295
FOP1_L,1.784257832652624
FOP3_L,-0.2627936415961443
FOP2_L,0.6323198643907472
PFt_L,5.863257964570449
AIP_L,6.818064948190364
EC_L,-2.212199132006527
PreS_L,-2.4634712946099193
H_L,-2.3278515821667414
ProS_L,-2.356964993763824
PeEc_L,-1.6133797524353763
STGa_L,-1.908785645820768
PBelt_L,0.5410220053089377
A5_L,-1.4095452996826079
PHA1_L,-2.020836745066837
PHA3_L,-1.9771427767782737
STSda_L,-2.1659060132457424
STSdp_L,-1.8071326554505383
STSvp_L,-2.469578126277445
TGd_L,-1.3744642775568603
TE1a_L,-1.3832041836179398
TE1p_L,-1.916741537201619
TE2a_L,-1.0744086184623824
TF_L,-1.3089053341992443
TE2p_L,-1.524633745849121
PHT_L,-0.7144101558734982
PH_L,-0.05258206670351234
TPOJ1_L,-1.1508022752315075
TPOJ2_L,-1.6138831033484493
TPOJ3_L,-1.8699307411658572
DVT_L,-0.5304178886230348
PGp_L,-0.8093149346137258
IP2_L,2.3785021506762147
IP1_L,-0.19245854995612868
IP0_L,0.18668931548503828
PFop_L,2.2368439079481592
PF_L,1.523895291995435
PFm_L,0.24698842774503127
PGi_L,-1.5854013190265495
PGs_L,-0.9146001593844924
V6A_L,0.5819370188132377
VMV1_L,-1.6893172032120898
VMV3_L,-0.4909278496595727
PHA2_L,-2.6504236860602406
V4t_L,1.0810787419637335
FST_L,0.541897074086243
V3CD_L,-1.3008021290226575
LO3_L,-1.4385044087400185
VMV2_L,-1.609570157160546
31pd_L,-2.6567509975534755
31a_L,0.47780464071123047
VVC_L,-1.4350459091209158
25_L,-2.97716189855504
s32_L,-2.384200494676178
pOFC_L,-2.3680195705035607
PoI1_L,-1.0376438463647166
Ig_L,-0.10774237740601696
FOP5_L,-2.365372037817272
p10p_L,-1.0012574694480774
p47r_L,-2.1026692055330503
TGv_L,-1.0588108269479604
MBelt_L,-0.8078021959680914
LBelt_L,-0.5313957335545386
A4_L,-0.11912772617992404
STSva_L,-2.6264793296921978
TE1m_L,-1.7825943058224882
PI_L,-2.181359649553079
a32pr_L,-2.8569758390314455
p24_L,-3.3904769758388555
V1_R,-1.118948007442948
MST_R,-0.7408050210135786
