region,induction
V1_L,-0.028692388614593233
MST_L,-0.5222891334140068
V6_L,0.855995622690997
V2_L,0.21806579924764416
V3_L,0.027032194016416215
V4_L,-0.8484456669506539
V8_L,-0.9132756479381445
4_L,-0.8103924557147109
3b_L,-0.5062711064689492
FEF_L,-1.3175408538221853
PEF_L,-2.0182877372710464
55b_L,-1.0594630230923838
V3A_L,0.47573453182268005
RSC_L,3.182879716946908
POS2_L,3.1318392244020226
V7_L,-1.057210203402463
IPS1_L,-1.3558841077059072
FFC_L,-2.0044833462507854
V3B_L,-0.9327528813503017
LO1_L,-0.09884489687869488
LO2_L,-1.3625636202072091
PIT_L,-2.016288756448574
MT_L,-0.49870069654662824
A1_L,0.32434820242470264
PSL_L,-0.8189560387328988
SFL_L,1.3340212713869686
PCV_L,1.7625004116843352
STV_L,-0.5943893426443101
7Pm_L,1.4897709787536921
7m_L,6.114184456255541
POS1_L,4.195940788465292
23d_L,1.6308867495510655
v23ab_L,11.327923897210033
d23ab_L,5.782366851496702
31pv_L,5.339879309097899
5m_L,0.47125498459586
5mv_L,0.23074351979368876
23c_L,0.6193127539479127
5L_L,0.1572068892795459
24dd_L,0.6745853604056751
24dv_L,-0.10443038075716972
7AL_L,-0.4152010131313084
SCEF_L,-0.5063352219097328
6ma_L,-0.5940514304952444
7Am_L,0.5158942279854134
7Pl_L,-0.8153516483173607
7PC_L,-0.781511672546849
LIPv_L,-1.6363261365116888
VIP_L,-0.7824208055887264
MIP_L,-2.031389887228464
1_L,0.030155751758659397
2_L,0.2816888734011447
3a_L,-0.35329045230524564
6d_L,-0.7854946024821949
6mp_L,-0.6946893714332333
6v_L,-1.4368820757757976
p24pr_L,0.6977964647432594
33pr_L,0.35889572177012
a24pr_L,-0.15552582765608636
p32pr_L,-0.7346844435663934
a24_L,3.214058016901219
d32_L,1.8090230783932715
8BM_L,1.3018883916806414
p32_L,2.549274770382106
10r_L,3.948937002859853
47m_L,0.2785226962608213
8Av_L,-0.001035232339580489
8Ad_L,2.022266506981127
9m_L,3.3701035875102154
8BL_L,2.1695274520743837
9p_L,0.38259627034735744
10d_L,2.680665889566993
8C_L,-0.7742939754845052
44_L,-2.0392792794916863
45_L,-1.675644789702506
47l_L,-0.882890357023012
a47r_L,-0.39679968666981413
6r_L,-2.1992917432111816
IFJa_L,-2.3011923921514996
IFJp_L,-2.618189763179963
IFSp_L,-1.530739550408675
IFSa_L,-1.6819979421701536
p9-46v_L,-0.8565512194631973
46_L,-0.20793651824089474
a9-46v_L,-0.42663481450484575
9-46d_L,0.1554658302680224
9a_L,0.6723150858943917
10v_L,2.1948227324468417
a10p_L,-0.5110063225565042
10pp_L,0.4703369426432369
11l_L,-0.14247548086350803
13l_L,0.14045264086603387
OFC_L,0.756006757959783
47s_L,-0.8153553006155477
LIPd_L,-1.9408748915787282
6a_L,-0.8010325298991818
i6-8_L,-0.8086731138320136
s6-8_L,1.6698965052888357
43_L,-0.6605095582855469
OP4_L,0.49816527186494647
OP1_L,0.6054109262359431
OP2-3_L,0.17612252360018427
52_L,0.4410975628157072
RI_L,-0.4245950463148708
PFcm_L,0.0020746565283376755
PoI2_L,0.25060459629911414
TA2_L,-0.8342606432200934
FOP4_L,0.24302493021223392
MI_L,0.5777163440567116
Pir_L,-0.8752274735654381
AVI_L,-1.207365527209968
AAIC_L,-0.7066199206166284
FOP1_L,-0.9192787091292003
FOP3_L,0.9124968742726604
FOP2_L,-0.658230770089603
PFt_L,-0.03195267377189738
AIP_L,-1.265358115908133
EC_L,0.7371073889301253
PreS_L,1.6707200370437063
H_L,0.9359280988631591
ProS_L,0.5334966810481676
PeEc_L,-0.2590240681744662
STGa_L,-0.7801965757986491
PBelt_L,-0.050198093325052866
A5_L,-0.6800338131252528
PHA1_L,1.7626129419852532
PHA3_L,-0.37734357020960546
STSda_L,-0.4046130495594283
STSdp_L,-1.752515557548798
STSvp_L,-1.4863800296489122
TGd_L,0.40390424070952546
TE1a_L,0.8619102892948697
TE1p_L,-1.119007425822629
TE2a_L,1.3375233219747664
TF_L,-0.6214828513267586
TE2p_L,-1.1080591714081864
PHT_L,-1.3544311358743844
PH_L,-1.5863717742329329
TPOJ1_L,-1.7232008492884276
TPOJ2_L,0.2935646650045191
TPOJ3_L,3.038359546715006
DVT_L,0.3980921929702172
PGp_L,0.680514034217159
IP2_L,-1.525356448596626
IP1_L,-1.5499742094798694
IP0_L,-0.9835226590726415
PFop_L,0.0950290904843483
PF_L,0.06206606748335623
PFm_L,-0.05353764639544543
PGi_L,3.753235880824622
PGs_L,2.3412047408938657
V6A_L,-0.5722835186583485
VMV1_L,-0.4054519490902226
VMV3_L,-1.2669641007904713
PHA2_L,0.5089393795927326
V4t_L,-1.2316035893182857
FST_L,-1.3087824153931524
V3CD_L,-0.38219502989490955
LO3_L,0.06232836214486445
VMV2_L,-1.4423490087989828
31pd_L,6.143783589957447
31a_L,3.200650644714142
VVC_L,-0.43457888413603174
25_L,3.269958667933558
s32_L,4.2779679688755525
pOFC_L,0.21072108956529478
PoI1_L,0.3828215442396698
Ig_L,0.34430702246074263
FOP5_L,-1.2735637373272048
p10p_L,0.42218774547037485
p47r_L,-1.2839620493656476
TGv_L,-0.06968200032569015
MBelt_L,0.5868861205400598
LBelt_L,-0.02071904146895532
A4_L,0.01288704502742272
STSva_L,0.9955620692403915
TE1m_L,1.150895320397028
PI_L,-0.10637293188206369
a32pr_L,-0.2992683010137975
p24_L,1.3459395248844885
V1_R,0.10500529089238705
MST_R,-0.8931634824451793
