region,detection
V1_L,4.532459905500013
MST_L,3.182378212951792
V6_L,0.9346503946135801
V2_L,2.374484916511092
V3_L,2.437735631701267
V4_L,4.502450375469691
V8_L,6.093233304636387
4_L,-1.319847070823408
3b_L,-1.30132411256769
FEF_L,0.300863852375178
PEF_L,-0.8869785981051237
55b_L,-0.15710720668275954
V3A_L,1.274914309433532
RSC_L,-0.6483697463320336
POS2_L,-0.5942614197643538
V7_L,2.951194967555776
IPS1_L,2.913821510945153
FFC_L,6.363342158216042
V3B_L,5.040370064395505
LO1_L,4.172170246684913
LO2_L,6.000026360595599
PIT_L,7.26310139818522
MT_L,3.731239367071055
A1_L,5.670136725483608
PSL_L,-0.21791727348976225
SFL_L,-1.5042317562517282
PCV_L,-0.8075971659087492
STV_L,-0.24707949837958182
7Pm_L,0.13561050350122825
7m_L,-1.6424858383922456
POS1_L,-0.6802754079046327
23d_L,-1.632105772070822
v23ab_L,-1.5417311113392826
d23ab_L,-1.937038454496945
31pv_L,-1.684102233134873
5m_L,-2.3260131101469534
5mv_L,-1.596641745684379
23c_L,-0.8573873666437801
5L_L,-0.9836370071251407
24dd_L,-0.9837591449596694
24dv_L,-1.0561261387444616
7AL_L,-0.8527965636458973
SCEF_L,-1.6836901283978039
6ma_L,-0.745662551250461
7Am_L,-0.22935392751552328
7Pl_L,0.5522811074940155
7PC_L,-0.3006888690802799
LIPv_L,0.7640358528728
VIP_L,0.9158137388347192
MIP_L,0.7619215226417066
1_L,-0.8497200178443906
2_L,-0.8788537286870153
3a_L,-1.8177634821461939
6d_L,-0.880501995073201
6mp_L,-1.8833363981960147
6v_L,-0.7350248588499607
p24pr_L,-1.1951720480603953
33pr_L,-1.365536885425556
a24pr_L,-2.265656805513994
p32pr_L,-1.7485022756973356
a24_L,-2.545254844814487
d32_L,-2.526372266914071
8BM_L,-2.6627441802476386
p32_L,-2.493998388974724
10r_L,-2.0964512756768574
47m_L,-1.845711651670584
8Av_L,-1.026235462537491
8Ad_L,-1.6590332351705417
9m_L,-2.585401389297968
8BL_L,-1.764071838108191
9p_L,-1.97224604301284
10d_L,-1.5015827234246162
8C_L,-2.484343883798607
44_L,-2.0061408810503805
45_L,-1.7680145402578882
47l_L,-2.559792674615488
a47r_L,-1.3930239757173648
6r_L,-1.7621881093456293
IFJa_L,-1.187751464043065
IFJp_L,-0.6146146108704831
IFSp_L,-1.8726141620455161
IFSa_L,-1.45088164047849
p9-46v_L,-1.785868302922286
46_L,-2.0967747804972365
a9-46v_L,-1.665225742388199
9-46d_L,-1.8655755345468343
9a_L,-1.3589957841182603
10v_L,-0.9251690193551602
a10p_L,-1.8261106101939495
10pp_L,-0.4568303141490731
11l_L,-1.2408128817772475
13l_L,-1.4708473711208327
OFC_L,-1.260318457465933
47s_L,-1.916529235218166
LIPd_L,0.38457298161451203
6a_L,-0.2190331377592172
i6-8_L,-1.1794283429705723
s6-8_L,-0.21315645595087582
43_L,-1.0595212013304753
OP4_L,-0.7551018668926174
OP1_L,-0.3458447931906038
OP2-3_L,-0.5601566912875573
52_L,3.442800368701852
RI_L,1.5097208993169102
PFcm_L,0.6108715462741766
PoI2_L,-0.8211353827163645
TA2_L,-1.2895457497432767
FOP4_L,-1.6698371536916108
MI_L,-1.7853753336047902
Pir_L,-1.835158737284883
AVI_L,-1.314063773272536
AAIC_L,-2.99376752648057
FOP1_L,-1.4180586950431335
FOP3_L,-1.6102765785010416
FOP2_L,-1.1279470790376964
PFt_L,-1.8030617613790674
AIP_L,0.07203416516535
EC_L,0.13526306287166356
PreS_L,0.4334925636377716
H_L,0.600437949439157
ProS_L,-0.4793807771024128
PeEc_L,-0.3941143681495829
STGa_L,-1.5225512618707735
PBelt_L,8.481121909971796
A5_L,2.9580601212413895
PHA1_L,0.5001293667489218
PHA3_L,0.9567116892321055
STSda_L,0.43784023473086103
STSdp_L,7.11380397281202
STSvp_L,1.4257082084674788
TGd_L,-1.3205598087382433
TE1a_L,-1.1163393606125576
TE1p_L,0.24663186608980078
TE2a_L,-0.6259429787504603
TF_L,-0.3152512704302623
TE2p_L,0.9069933390056168
PHT_L,0.4990789456047207
PH_L,5.093225374811099
TPOJ1_L,2.7514891318098855
TPOJ2_L,-1.0132647133159385
TPOJ3_L,-0.8419555316422705
DVT_L,0.9748651594256311
PGp_L,1.808833958885159
IP2_L,-0.7274567302232025
IP1_L,0.6895718929478971
IP0_L,3.6830720126672336
PFop_L,-1.5259509311867445
PF_L,-1.08685329705987
PFm_L,-1.2701515654583744
PGi_L,-2.1911778167474636
PGs_L,-0.7540202318633822
V6A_L,1.3243794513192406
VMV1_L,0.9015547661568363
VMV3_L,3.760252467047022
PHA2_L,0.8888314514667915
V4t_L,5.657087733607615
FST_L,5.335157885588131
