region,detection
V3CD_L,4.944215628743014
LO3_L,1.9774926765486305
VMV2_L,0.6363145240409462
31pd_L,-1.628635966812676
31a_L,-2.174359380514747
VVC_L,4.327184476139554
25_L,-2.3255312994561317
s32_L,-1.946516895156731
pOFC_L,-1.5670953420836609
PoI1_L,0.6560172482186236
Ig_L,-0.5271684545994386
FOP5_L,-0.7865659020694243
p10p_L,-1.5541173100734436
p47r_L,-1.872098298481877
TGv_L,-0.9419926789633158
MBelt_L,3.950470547425438
LBelt_L,8.757100304745576
A4_L,2.780067171832674
STSva_L,-1.3205884655427238
TE1m_L,-0.0506766105418697
PI_L,-1.404347839562838
a32pr_L,-2.544211491470598
p24_L,-3.053258990310553
V1_R,4.3670539963695285
MST_R,5.422660122887438
V6_R,2.9476605579524753
V2_R,3.0864774666382586
V3_R,3.4881108092944233
V4_R,6.2571920837344415
V8_R,6.46490383869093
4_R,-1.0317591260050336
3b_R,-0.7777554528553503
FEF_R,1.3515402829202519
PEF_R,0.5801033340379902
55b_R,0.5048644688981476
V3A_R,2.500633308157951
RSC_R,-1.1225262334115738
POS2_R,0.7812296875782567
V7_R,3.9146029938237983
IPS1_R,2.1892797984022323
FFC_R,5.9964648338626185
V3B_R,5.044833803959996
LO1_R,6.2722792606406
LO2_R,6.784759906564443
PIT_R,6.628022130181398
MT_R,3.006470509480442
A1_R,6.558438879191503
PSL_R,-0.5557805143489728
SFL_R,-0.6348969798928219
PCV_R,0.22502497927208445
STV_R,0.252721995457956
7Pm_R,2.686059864875437
7m_R,-1.6969916803715543
POS1_R,-0.5612874919102534
23d_R,-1.7934006772501816
v23ab_R,-1.1479152723430426
d23ab_R,-1.7837080348463488
31pv_R,-1.5380548095634232
5m_R,-1.5715346080461707
5mv_R,-0.8573867784238703
23c_R,-0.9481764417313986
5L_R,-0.5457392793387768
24dd_R,-1.0872653859482706
24dv_R,-0.9792531474691774
7AL_R,0.16456872895140257
SCEF_R,-0.9487185034825797
6ma_R,-0.6375423977570029
7Am_R,0.9465082386365584
7Pl_R,1.2210561962709043
7PC_R,0.4630409845293099
LIPv_R,1.5624647613533489
VIP_R,1.3692651213800708
MIP_R,1.978057916192485
1_R,-0.6462457105146603
2_R,-0.695019197453392
3a_R,-1.9422008247550546
6d_R,-0.2354707907112389
6mp_R,-1.6168875961155258
6v_R,0.5283348892134905
p24pr_R,-0.7898008393938132
33pr_R,-1.6805481279492847
a24pr_R,-1.9148277585839533
p32pr_R,-1.3406947724156155
a24_R,-2.1569287812991633
d32_R,-2.663784104593983
8BM_R,-2.14331780267666
p32_R,-3.1277374008385332
10r_R,-3.0271793187269727
47m_R,-1.6993143191408504
8Av_R,-1.4347893295875627
8Ad_R,-1.972769075386816
9m_R,-1.9299698884147845
8BL_R,-1.677786746975382
9p_R,-1.1848920898401327
10d_R,-0.47742524810457165
8C_R,-1.698123695172108
44_R,-1.159136577292614
45_R,-1.7186169773264819
47l_R,-1.4543490141668893
a47r_R,-1.5770094921565034
6r_R,-0.29453653993046064
IFJa_R,-0.3257591352003095
IFJp_R,-0.5549484395688975
IFSp_R,-1.3189663448546118
IFSa_R,-1.4393351118607807
p9-46v_R,-1.0442594105404943
46_R,-1.5034564794286087
a9-46v_R,-1.1429146600326412
9-46d_R,-1.31388521719508
9a_R,-0.9698348882582555
10v_R,-1.4150947959370364
a10p_R,-1.2417460746167612
10pp_R,-0.6397969327817804
11l_R,-1.7055169576058495
13l_R,-2.2762164727956176
OFC_R,-1.128760889227216
47s_R,-2.203178955648226
LIPd_R,0.601463851531459
6a_R,0.15771003890602892
i6-8_R,-0.34342731156846357
s6-8_R,-1.1013134584188164
43_R,-0.5586770102072529
OP4_R,0.5558880799980861
OP1_R,1.115936113316077
OP2-3_R,-0.7773770840902574
52_R,3.8028700166396034
RI_R,0.20628057044717596
PFcm_R,-0.4206214197803855
PoI2_R,-0.722326787328264
TA2_R,0.8978955487866978
FOP4_R,-0.34585416134130637
MI_R,-1.0431166709299442
Pir_R,-1.9543343791465762
AVI_R,-0.43412851391880264
AAIC_R,-2.4686044958383917
FOP1_R,0.07905231830976979
FOP3_R,-0.6610474663434918
FOP2_R,-0.012411953070000899
PFt_R,-1.0367145132946511
AIP_R,0.07895282330971103
EC_R,1.0608169881289695
PreS_R,0.31864319395287
H_R,1.1265325896233027
ProS_R,-0.5316698310586166
PeEc_R,0.4423997641611272
STGa_R,-1.8043584723430197
PBelt_R,5.944940128775191
A5_R,4.294527104163343
PHA1_R,0.629907347220237
PHA3_R,2.0416581721604254
STSda_R,1.2481016857537668
STSdp_R,5.763250587689716
STSvp_R,3.185138767401702
TGd_R,-1.1223139126140842
TE1a_R,-0.9525725708388167
TE1p_R,0.7653776054868587
TE2a_R,-0.36109225461974137
TF_R,0.8098289343155793
TE2p_R,1.6515534432213965
PHT_R,1.0689706978578308
PH_R,5.793585442108022
TPOJ1_R,2.9981534148278395
TPOJ2_R,0.7232879674868509
TPOJ3_R,-1.6507234056056759
DVT_R,1.4971550079778444
PGp_R,-0.3588821631145161
IP2_R,-0.35033312719943144
IP1_R,-0.49830921408481976
IP0_R,3.390565788785564
PFop_R,-1.2601147868197033
PF_R,-0.2350946828080507
PFm_R,-0.6938575161021828
PGi_R,-1.9280960674362215
PGs_R,-1.0066184582571356
V6A_R,0.9977621074843316
VMV1_R,1.935595119977986
VMV3_R,4.838943774293364
PHA2_R,1.6005980671291924
V4t_R,7.325732198838349
FST_R,5.045504127768338
V3CD_R,4.916606540570995
LO3_R,1.475301145603095
VMV2_R,2.6806048599978083
31pd_R,-0.5231214019741818
31a_R,-1.2598929901049545
VVC_R,4.143123375211956
25_R,-2.141126370010297
s32_R,-1.9101639618300157
pOFC_R,-2.367096188890817
PoI1_R,0.34698230536077007
Ig_R,-0.3229458333164727
FOP5_R,-0.44052543220545914
p10p_R,-1.6241299254487187
p47r_R,-2.08388658508325
TGv_R,-0.32059626106718037
MBelt_R,6.086875015284502
LBelt_R,8.745586421002995
A4_R,2.8179561067660512
STSva_R,0.6745473168553585
TE1m_R,0.23315990056404126
PI_R,-0.7624758237802628
a32pr_R,-2.4621824068639357
p24_R,-2.62989934464314
