region,fa
V1_L,0.1372144291274893
MST_L,0.1367052257445863
V6_L,0.1331066220534079
V2_L,0.1396637061169723
V3_L,0.1404114962680028
V4_L,0.1414612656188349
V8_L,0.1526542926942763
4_L,0.1548201488069476
3b_L,0.1262533907990402
FEF_L,0.1436172009885404
PEF_L,0.135245049991934
55b_L,0.1467696989171429
V3A_L,0.1378478380777714
RSC_L,0.1806592612170374
POS2_L,0.1460790222746232
V7_L,0.1348516566227749
IPS1_L,0.1280060271634651
FFC_L,0.1466705573248218
V3B_L,0.1340872355264439
LO1_L,0.1421040371014895
LO2_L,0.1442287495600611
PIT_L,0.1454533131425665
MT_L,0.1359884468226918
A1_L,0.1393203393304265
PSL_L,0.1405814677772691
SFL_L,0.1538652441212769
PCV_L,0.1492130345335048
STV_L,0.1466628602534798
7Pm_L,0.1486209871066796
7m_L,0.1501337359116233
POS1_L,0.1625814040022397
23d_L,0.15153705900238
v23ab_L,0.160643684609887
d23ab_L,0.1602563240131067
31pv_L,0.1476223732857314
5m_L,0.152553812792394
5mv_L,0.1383830228185621
23c_L,0.1391932591994295
5L_L,0.1463863137100805
24dd_L,0.1536524923285325
24dv_L,0.1455341463802167
7AL_L,0.143055503243717
SCEF_L,0.1584053681715937
6ma_L,0.1469492272750203
7Am_L,0.1487212552288221
7Pl_L,0.1471090853054019
7PC_L,0.1410713996868514
LIPv_L,0.1400043596619487
VIP_L,0.1456984529201143
MIP_L,0.1381454976723151
1_L,0.1446667652368037
2_L,0.1388011343881572
3a_L,0.1214626601081106
6d_L,0.1451281338496534
6mp_L,0.1465659231381413
6v_L,0.1509373579391456
p24pr_L,0.1524278853472995
33pr_L,0.1739097366442942
a24pr_L,0.1443331572959054
p32pr_L,0.1468457255756105
a24_L,0.1544625596281917
d32_L,0.1563628571746874
8BM_L,0.1628173050695012
p32_L,0.1512602321366481
10r_L,0.1478730633565612
47m_L,0.1461016551020921
8Av_L,0.1438461728213487
8Ad_L,0.1367337797441259
9m_L,0.1604696895861669
8BL_L,0.149089777355861
9p_L,0.1391447550881184
10d_L,0.1440712977684937
8C_L,0.1437634351171842
44_L,0.1514161515042347
45_L,0.150323904792418
47l_L,0.1508944389865687
a47r_L,0.1465425346910928
6r_L,0.1464952429002863
IFJa_L,0.1407855498505965
IFJp_L,0.1373954632798485
IFSp_L,0.1392127409678234
IFSa_L,0.1384755333705143
p9-46v_L,0.1443977572009302
46_L,0.1422846109633627
a9-46v_L,0.1401007959106068
9-46d_L,0.1383904938564762
9a_L,0.1379984108379079
10v_L,0.1549442033193468
a10p_L,0.1334888063020154
10pp_L,0.1411021928540715
11l_L,0.1432871653747524
13l_L,0.1409235049631144
OFC_L,0.159372037259009
47s_L,0.160384011782014
LIPd_L,0.1327144977211516
6a_L,0.1338447111288984
i6-8_L,0.1421759494237068
s6-8_L,0.1425280562428511
43_L,0.1527846214442087
OP4_L,0.1538834131690791
OP1_L,0.1560405895070632
OP2-3_L,0.1538182252137567
52_L,0.1359159079965641
RI_L,0.1388072421350842
PFcm_L,0.1482307572454937
PoI2_L,0.164184414729063
TA2_L,0.155872086671163
FOP4_L,0.1549486839844028
MI_L,0.1554876838369968
Pir_L,0.1891824895557222
AVI_L,0.1548869073035024
AAIC_L,0.179771906822991
FOP1_L,0.1625128679448918
FOP3_L,0.1485078987012061
FOP2_L,0.1517885786408515
PFt_L,0.1351098023630143
AIP_L,0.136700447828666
EC_L,0.1701520685469581
PreS_L,0.1780877877884456
H_L,0.1467180093179139
ProS_L,0.1629104902130589
PeEc_L,0.1537220840633562
STGa_L,0.1604547936667999
PBelt_L,0.1327756210928062
A5_L,0.1474930447449992
PHA1_L,0.161861743764263
PHA3_L,0.151079885236801
STSda_L,0.1395935437410571
STSdp_L,0.1387224679758974
STSvp_L,0.1356768352828594
TGd_L,0.1597441118016886
TE1a_L,0.1469015923257552
TE1p_L,0.1455551689662554
TE2a_L,0.1510647462835684
TF_L,0.1543560563304353
TE2p_L,0.1527818070242521
PHT_L,0.1445225500157856
PH_L,0.1431658642504136
TPOJ1_L,0.1436552386689006
TPOJ2_L,0.1417740071485468
TPOJ3_L,0.1371980102729059
DVT_L,0.1481972046056578
PGp_L,0.1465417938030777
IP2_L,0.1364257327117455
IP1_L,0.13745249504648
IP0_L,0.1418146325731763
PFop_L,0.1430354632983239
PF_L,0.1445677198944931
PFm_L,0.1441455595131806
PGi_L,0.1423994152294621
PGs_L,0.1439569907812222
V6A_L,0.143762803858229
VMV1_L,0.1493992439812301
VMV3_L,0.1532312149689313
PHA2_L,0.1485369930557042
V4t_L,0.1417598119527596
FST_L,0.1410498075362357
V3CD_L,0.1409458932118992
LO3_L,0.1421058807307869
VMV2_L,0.1451530953625445
31pd_L,0.1461718520378761
31a_L,0.1541130389944257
VVC_L,0.1532188032030849
25_L,0.1701598760153968
s32_L,0.1497142593625283
pOFC_L,0.1666780416110051
PoI1_L,0.1560617117120242
Ig_L,0.1477734901350303
FOP5_L,0.1508638881478499
p10p_L,0.1353485438957133
p47r_L,0.1388282850854458
TGv_L,0.1585475961479493
MBelt_L,0.145112722829752
LBelt_L,0.1313170931062392
A4_L,0.1433695413131868
STSva_L,0.1323438697731946
TE1m_L,0.1457384381999558
PI_L,0.1450693309494861
a32pr_L,0.1498776632914136
p24_L,0.1530305649925967
V1_R,0.1331611137411983
MST_R,0.1377292393533559
V6_R,0.1282317183162645
V2_R,0.1369251716978865
V3_R,0.1372733141191139
V4_R,0.1388814345871969
V8_R,0.1438841124412289
4_R,0.1605393885353761
3b_R,0.1176027351027547
FEF_R,0.1450291663552561
PEF_R,0.1360834194678228
55b_R,0.1478014017755845
V3A_R,0.1420511881281453
RSC_R,0.1739948714695054
POS2_R,0.1424561746183569
V7_R,0.1442771881705454
IPS1_R,0.1383326874709034
FFC_R,0.1476643422695027
V3B_R,0.1321309652736396
LO1_R,0.1371920041651194
LO2_R,0.1429335856218664
PIT_R,0.1444784442234067
MT_R,0.1381963250551049
A1_R,0.1375479531200614
PSL_R,0.1453561641998143
SFL_R,0.1523634118269746
PCV_R,0.1422518577694165
STV_R,0.1456076581129944
7Pm_R,0.1401897276629338
7m_R,0.1425934140613471
POS1_R,0.1619026460683805
23d_R,0.1481287327121532
v23ab_R,0.1561535940036595
d23ab_R,0.1548634633611098
31pv_R,0.1422221150647671
5m_R,0.1468510652376093
5mv_R,0.1339732456384617
23c_R,0.1394181683566261
5L_R,0.1421217952490625
24dd_R,0.144678943769043
24dv_R,0.1384438482631949
7AL_R,0.1423854739426346
SCEF_R,0.1446607426146542
6ma_R,0.150461866598984
7Am_R,0.1428704215639704
7Pl_R,0.1444607720382506
7PC_R,0.1439685615630868
LIPv_R,0.1432976337579141
VIP_R,0.1448543791546414
MIP_R,0.1418329797557059
1_R,0.1442249533630943
2_R,0.1434159870907332
3a_R,0.1294960927105246
6d_R,0.146146767046627
6mp_R,0.1441897507493519
6v_R,0.1528153299030849
p24pr_R,0.1491221922307641
33pr_R,0.1690907854616697
a24pr_R,0.1469640590886017
p32pr_R,0.1353393230987606
a24_R,0.1479521572403857
d32_R,0.145875186171724
8BM_R,0.1477079881824168
p32_R,0.1434772839716023
10r_R,0.1370371014779525
47m_R,0.1441648311833928
8Av_R,0.1461413506014858
8Ad_R,0.1401432916884162
9m_R,0.1484009645344219
8BL_R,0.1482594080545342
9p_R,0.1412351817453131
10d_R,0.1396627247472438
8C_R,0.1478243537899066
44_R,0.1547802600777529
45_R,0.1495233742117417
47l_R,0.1532764243131808
