region,odi-limited
V1_L,0.3993760202749952
MST_L,0.3757092235789688
V6_L,0.3847779806569841
V2_L,0.3897580022458501
V3_L,0.381594957838947
V4_L,0.3711592506644499
V8_L,0.3596652910107852
4_L,0.3751958567304665
3b_L,0.412504726400666
FEF_L,0.3736363123717005
PEF_L,0.3714292134003875
55b_L,0.3580221094221145
V3A_L,0.3691564398441027
RSC_L,0.3554705370327886
POS2_L,0.3625316203806921
V7_L,0.362334363891204
IPS1_L,0.3715706439162565
FFC_L,0.3642318749869606
V3B_L,0.3658003033928467
LO1_L,0.3631851045071396
LO2_L,0.3641272638521614
PIT_L,0.3643844441563838
MT_L,0.3745952842277832
A1_L,0.4228309646967523
PSL_L,0.3476695784077692
SFL_L,0.3615670498562645
PCV_L,0.3597481411732977
STV_L,0.3427406749971757
7Pm_L,0.3528036487494164
7m_L,0.3587670855586976
POS1_L,0.3546247407938319
23d_L,0.3748584850509872
v23ab_L,0.3580185842473308
d23ab_L,0.3607103898456229
31pv_L,0.3699952189581417
5m_L,0.3986747031937603
5mv_L,0.3947797250338306
23c_L,0.3731378501563389
5L_L,0.3788078312277986
24dd_L,0.3759275215824781
24dv_L,0.3805469746348636
7AL_L,0.3619777812468021
SCEF_L,0.3640605755459057
6ma_L,0.3655644151628076
7Am_L,0.3567701882934634
7Pl_L,0.3521507921678269
7PC_L,0.366986920585247
LIPv_L,0.3650279499547008
VIP_L,0.3572717200351606
MIP_L,0.3621166528301058
1_L,0.3796777358670686
2_L,0.3777385579795627
3a_L,0.4138205302893732
6d_L,0.3823457329661236
6mp_L,0.382924736164696
6v_L,0.3360521726797433
p24pr_L,0.3614279943221544
33pr_L,0.3381232719321148
a24pr_L,0.3745639795996117
p32pr_L,0.374606690666335
a24_L,0.3438397166650027
d32_L,0.3329131340421626
8BM_L,0.3456261138957613
p32_L,0.3432061802475764
10r_L,0.3731689007948337
47m_L,0.3614223648026752
8Av_L,0.3594214189858807
8Ad_L,0.3633066703398256
9m_L,0.3213434245518038
8BL_L,0.3488905144565629
9p_L,0.3461351451198334
10d_L,0.3372337840858353
8C_L,0.3557029351079104
44_L,0.3305782748404706
45_L,0.3411894583369871
47l_L,0.3412676585959135
a47r_L,0.3345780813169553
6r_L,0.3414905138717062
IFJa_L,0.3747226592169572
IFJp_L,0.3714949354626239
IFSp_L,0.3741559678644888
IFSa_L,0.3587577291342556
p9-46v_L,0.3494145346372945
46_L,0.3457738695216771
a9-46v_L,0.3418990650212936
9-46d_L,0.3517706174786073
9a_L,0.3418420906318623
10v_L,0.4035657793249786
a10p_L,0.359006386719719
10pp_L,0.3776110001031926
11l_L,0.3712570558207881
13l_L,0.4120960984302069
OFC_L,0.4629663106049075
47s_L,0.3449670172881974
LIPd_L,0.3736604511702948
6a_L,0.3873216071142673
i6-8_L,0.37375500068721
s6-8_L,0.3622369670886579
43_L,0.3373967807131078
OP4_L,0.3348907427868196
OP1_L,0.3496221308951663
OP2-3_L,0.3637251068414616
52_L,0.3830770227723001
RI_L,0.3852828946672879
