region,odi-limited
IFSp_R,0.3773009487727454
IFSa_R,0.3583919198973345
p9-46v_R,0.3657713454062915
46_R,0.3633448553019107
a9-46v_R,0.3543707465935465
9-46d_R,0.3628212064688676
9a_R,0.3452595460567956
10v_R,0.3993910379582796
a10p_R,0.3636160072639238
10pp_R,0.3872146897978121
11l_R,0.3824534752121123
13l_R,0.4116429093395802
OFC_R,0.4577406885127473
47s_R,0.3463337685138613
LIPd_R,0.3775873623569937
6a_R,0.3911101287409052
i6-8_R,0.3805808101459955
s6-8_R,0.3754557702590712
43_R,0.3457536642240608
OP4_R,0.3364784647426301
OP1_R,0.3521586057020698
OP2-3_R,0.3694224596131713
52_R,0.3854378502244432
RI_R,0.3888988398398467
PFcm_R,0.3500172702434353
PoI2_R,0.3109020347324774
TA2_R,0.3561755090468279
FOP4_R,0.3545493645413697
MI_R,0.322079071715754
Pir_R,0.3098404011386977
AVI_R,0.3405873590925479
AAIC_R,0.3016834068719198
FOP1_R,0.3348824774700312
FOP3_R,0.3590208621782808
FOP2_R,0.3580863349031706
PFt_R,0.3627514232710156
AIP_R,0.3779506792225293
EC_R,0.3853064059059092
PreS_R,0.358556129624588
H_R,0.3892620405249255
ProS_R,0.3650933839218426
PeEc_R,0.3962573877861077
STGa_R,0.3285035557107216
PBelt_R,0.3852865169364745
A5_R,0.35684633332813
PHA1_R,0.3708095393519837
PHA3_R,0.387484547025811
STSda_R,0.3701661314216444
STSdp_R,0.3741886449065494
STSvp_R,0.344125232386302
TGd_R,0.354312761530119
TE1a_R,0.3428988800263112
TE1p_R,0.3518882188789901
TE2a_R,0.3752359071707542
TF_R,0.4000610354702227
TE2p_R,0.3797971682359449
PHT_R,0.3458658755637239
PH_R,0.3590638602293485
TPOJ1_R,0.3550842242891909
TPOJ2_R,0.3527166564110764
TPOJ3_R,0.3614223884970474
DVT_R,0.3607014991721052
PGp_R,0.3386625556373719
IP2_R,0.3670267860925212
IP1_R,0.3633196212000069
IP0_R,0.3530957495820545
PFop_R,0.3404620862808889
PF_R,0.341812779445669
PFm_R,0.3472243045015094
PGi_R,0.3488000228610879
PGs_R,0.3438659200535889
V6A_R,0.359198086823893
VMV1_R,0.4009332700526432
VMV3_R,0.3757592868824576
PHA2_R,0.4014717072872222
V4t_R,0.3619089082979456
FST_R,0.3586433377830228
V3CD_R,0.356415596701794
LO3_R,0.356785445117068
VMV2_R,0.3891880215293661
31pd_R,0.3675493874978711
31a_R,0.3586755222754205
VVC_R,0.386172376972984
25_R,0.3889837325917449
s32_R,0.3936195901052999
pOFC_R,0.379226063998078
PoI1_R,0.3293472741767381
Ig_R,0.3556048120934552
FOP5_R,0.3601230489993274
p10p_R,0.3614435632440094
p47r_R,0.3461031846976528
TGv_R,0.3835717404032485
MBelt_R,0.4038773081844483
LBelt_R,0.4116558305851387
A4_R,0.3512473303396088
STSva_R,0.3709288775143046
TE1m_R,0.3518771308496173
PI_R,0.3686102294800202
a32pr_R,0.3620084673214436
p24_R,0.3267193737415123
