region,rtpp-limited
V1_L,52.73180780423109
MST_L,52.62552753881764
V6_L,52.3759859839977
V2_L,53.04370349891493
V3_L,53.1844965424803
V4_L,53.06598912235425
V8_L,53.70034262748527
4_L,53.2224323315195
3b_L,51.465892231387386
FEF_L,52.41974191270464
PEF_L,51.63168858913314
55b_L,52.05876667099599
V3A_L,52.23067801478271
RSC_L,54.32686243849286
POS2_L,52.58524259630075
V7_L,51.74729528630626
IPS1_L,51.595872396632494
FFC_L,53.02106348355628
V3B_L,52.2467078011703
LO1_L,52.60853157697633
LO2_L,52.96282854670119
PIT_L,53.09268161284052
MT_L,52.58380632505841
A1_L,52.39030646381856
PSL_L,51.57270721455292
SFL_L,52.964842280559736
PCV_L,52.92441805699971
STV_L,51.882855642710105
7Pm_L,52.51600438867812
7m_L,52.99982555729997
POS1_L,53.54167017794588
23d_L,53.44204416411789
v23ab_L,53.44449080605518
d23ab_L,53.77459045221811
31pv_L,53.25507086850592
5m_L,53.94231561875875
5mv_L,53.32472571967059
23c_L,52.32504936356497
5L_L,53.03290912642912
24dd_L,53.92809296937707
24dv_L,53.41845510540333
7AL_L,52.15988529570919
SCEF_L,53.76090572327927
6ma_L,52.33263118318571
7Am_L,52.54938103082596
7Pl_L,52.14757096767422
7PC_L,52.075622634959885
LIPv_L,51.822150401400414
VIP_L,52.329449780856734
MIP_L,52.112044366901216
1_L,52.398843404447845
2_L,51.90458932034954
3a_L,51.236777471333966
6d_L,52.78050746710697
6mp_L,53.07601180806853
6v_L,51.52078291125176
p24pr_L,52.77259039255563
33pr_L,53.55948721130228
a24pr_L,52.75951072414388
p32pr_L,53.61523014868742
a24_L,52.15774694722269
d32_L,52.5756605668291
8BM_L,53.76634295683482
p32_L,52.21853163260821
10r_L,52.75037913676135
47m_L,51.39565164481007
8Av_L,51.82072692827428
8Ad_L,51.73368135196336
9m_L,52.18657068452948
8BL_L,51.89176776634847
9p_L,50.88043699399606
10d_L,50.71147774142679
8C_L,51.79990843983087
44_L,51.2257533751696
45_L,51.47156864021547
47l_L,50.940363034432174
a47r_L,50.52666964744196
6r_L,51.29785524538864
IFJa_L,52.18254279214944
IFJp_L,52.07957740117744
IFSp_L,51.737702140117165
IFSa_L,51.10216754891016
p9-46v_L,51.40955570756468
46_L,51.201769627108014
a9-46v_L,50.54150610026922
9-46d_L,51.08909290417159
9a_L,50.4788195482478
10v_L,52.70605839869344
a10p_L,50.38875303098188
10pp_L,51.02075343231376
11l_L,51.6149370864779
13l_L,53.02268054904731
OFC_L,54.355198623880064
47s_L,51.417432416791286
LIPd_L,51.66397853309347
6a_L,52.12963285290761
i6-8_L,52.47316263482867
s6-8_L,51.74059074390225
43_L,51.44734917891784
OP4_L,52.04155105119303
OP1_L,53.06882268650239
OP2-3_L,53.22414708711997
52_L,51.62502326483963
RI_L,52.55029184589575
PFcm_L,52.24186065408448
PoI2_L,50.40330610724522
TA2_L,51.76114782460907
FOP4_L,52.33831237744378
MI_L,50.51254187610634
Pir_L,50.18376942922373
AVI_L,51.18334144136995
AAIC_L,49.55364111686868
FOP1_L,52.17230114617862
FOP3_L,52.18968820690255
FOP2_L,53.195728041143134
PFt_L,51.580114036125
AIP_L,51.80457400096725
EC_L,53.01584916341276
PreS_L,51.73656642794799
H_L,52.21917089457419
ProS_L,53.19015727919949
PeEc_L,53.05838109947774
STGa_L,50.59695577104725
PBelt_L,52.173156918474085
A5_L,51.28470586357532
PHA1_L,52.87070584558681
PHA3_L,53.55347905288935
STSda_L,51.20417912417704
STSdp_L,52.13828107194969
STSvp_L,51.74043009580914
TGd_L,51.40588839597435
TE1a_L,51.33749374329644
TE1p_L,52.00248296781956
TE2a_L,52.31483774659629
TF_L,53.61289290368168
TE2p_L,53.25906668465738
PHT_L,52.00267232119984
PH_L,52.76072499967653
TPOJ1_L,52.3725897792175
TPOJ2_L,52.31655401457028
TPOJ3_L,51.85835637866948
DVT_L,52.98575074059962
PGp_L,51.667653524360965
IP2_L,52.12641465250392
IP1_L,52.38019037808562
IP0_L,52.82529309485896
PFop_L,51.352758410784254
PF_L,51.30730349867997
PFm_L,51.74052292590278
PGi_L,51.90741301357789
PGs_L,51.68524465653961
V6A_L,52.333745160449965
VMV1_L,53.72322023851682
VMV3_L,53.81453408734405
PHA2_L,53.25091749109939
V4t_L,52.71957617030929
FST_L,52.47725635614008
V3CD_L,52.20213471884586
LO3_L,52.30500140131934
VMV2_L,53.62526769709415
31pd_L,53.094267969886346
31a_L,53.17700119445827
VVC_L,53.75352204929922
25_L,54.22414756372071
s32_L,53.88409990541904
pOFC_L,53.25880571628076
PoI1_L,50.929206799782136
Ig_L,52.35993177515611
FOP5_L,52.70325339283328
p10p_L,50.07808894088852
p47r_L,50.41646681164077
TGv_L,52.84543869803276
MBelt_L,52.62227716801369
LBelt_L,52.39267118929132
A4_L,51.75424137639522
STSva_L,51.538093634758994
TE1m_L,51.60508317488048
PI_L,51.62934977507038
a32pr_L,53.08403412445734
p24_L,51.974338913732566
V1_R,52.44291664397253
MST_R,52.90635636973252
V6_R,51.6561316764646
V2_R,52.69873860821254
V3_R,52.96055784244943
V4_R,53.16942002939124
V8_R,53.27713048149237
4_R,53.72146371259798
3b_R,50.769551793317696
FEF_R,53.06028676638896
PEF_R,52.31136961971303
55b_R,53.01778514771554
V3A_R,52.727966453162765
RSC_R,53.16735409840132
POS2_R,52.70850550763476
V7_R,53.25252490145733
IPS1_R,53.10127477227271
FFC_R,53.77253226037629
V3B_R,52.43550204126084
LO1_R,52.61197557759141
LO2_R,53.08965119580117
PIT_R,53.32180232147351
MT_R,52.9003802067378
A1_R,52.59059069504368
PSL_R,51.873884324038926
SFL_R,52.529452139391765
PCV_R,51.92656749248311
STV_R,52.25132607522101
7Pm_R,51.68859561948928
7m_R,51.98226912392075
POS1_R,53.43097987692578
23d_R,52.14029301105767
v23ab_R,52.75926386898869
d23ab_R,52.91913070912825
31pv_R,52.6276076762754
5m_R,52.9469308677823
5mv_R,51.88174857605291
23c_R,52.2890074598882
5L_R,52.44659323699149
24dd_R,52.58302775937716
24dv_R,52.27301616826207
7AL_R,52.81436026665412
SCEF_R,52.15791907658968
