region,rtpp-limited
6ma_R,53.14348825379193
7Am_R,51.99304974673375
7Pl_R,52.45319231438398
7PC_R,53.07941074656704
LIPv_R,53.10925555982259
VIP_R,52.93516340560055
MIP_R,52.8967115989038
1_R,53.13597371714428
2_R,53.36231204310863
3a_R,52.14302224610337
6d_R,53.21302301118801
6mp_R,53.04565387367261
6v_R,52.26264466940847
p24pr_R,51.551797297154366
33pr_R,51.64097656932064
a24pr_R,51.50403444003168
p32pr_R,52.19929590353524
a24_R,51.3422282755381
d32_R,51.19415337919296
8BM_R,51.693114021625
p32_R,51.28716794263138
10r_R,51.733468418332
47m_R,52.089672868614045
8Av_R,52.85264760595806
8Ad_R,52.77625453410137
9m_R,50.59834658762393
8BL_R,52.11372502681177
9p_R,51.72552631395485
10d_R,50.37304062085105
8C_R,53.0354167680333
44_R,52.05288848915338
45_R,51.98365014331816
47l_R,51.76967850112723
a47r_R,51.203082089006905
6r_R,51.78248406453472
IFJa_R,52.67028118833829
IFJp_R,52.6673908657571
IFSp_R,52.26862413096058
IFSa_R,51.39382160073155
p9-46v_R,52.28715654522281
46_R,51.684561586076
a9-46v_R,51.17655230384316
9-46d_R,51.44347333988543
9a_R,51.094819012949486
10v_R,51.69753383023871
a10p_R,51.04660153281782
10pp_R,51.5228327851532
11l_R,52.58791906082304
13l_R,53.329765027090176
OFC_R,54.37752763065564
47s_R,52.15962552534935
LIPd_R,52.74703252194963
6a_R,53.2012727010666
i6-8_R,52.80337498333195
s6-8_R,53.1333860249139
43_R,52.56356374409299
OP4_R,52.35277975888531
OP1_R,52.81960730224128
OP2-3_R,53.18956384003073
52_R,51.74644345653817
RI_R,52.220691646269614
PFcm_R,52.66497785357898
PoI2_R,51.81693211681734
TA2_R,51.02079444085362
FOP4_R,51.99321024469469
MI_R,51.53086819517344
Pir_R,50.695168771142086
AVI_R,52.28287130134237
AAIC_R,50.86565697168465
FOP1_R,52.03344063706977
FOP3_R,52.45249621131102
FOP2_R,52.54045367011049
PFt_R,52.12867563515836
AIP_R,52.78922613559248
EC_R,52.80140427681344
PreS_R,51.18070364481953
H_R,52.63997387111733
ProS_R,52.526323376500734
PeEc_R,53.6119591016659
STGa_R,51.62874743454664
PBelt_R,52.00366618417471
A5_R,53.10781381036542
PHA1_R,53.18308907761035
PHA3_R,53.63603865073376
STSda_R,53.36400977005584
STSdp_R,53.07284335078177
STSvp_R,51.636784577606186
TGd_R,51.75976299424613
TE1a_R,51.98322912240996
TE1p_R,52.29931195515258
TE2a_R,52.46736302723296
TF_R,53.95847740338095
TE2p_R,53.22813428300693
PHT_R,52.2367551351468
PH_R,53.04789165027584
TPOJ1_R,52.55422810333976
TPOJ2_R,52.37833979553417
TPOJ3_R,52.50263426121965
DVT_R,51.81317589069047
PGp_R,52.27794617663198
IP2_R,51.99579745726598
IP1_R,52.08495127555994
IP0_R,51.42896745986931
PFop_R,52.36426984403487
PF_R,52.49560555056263
PFm_R,52.29338396057477
PGi_R,52.2987046958431
PGs_R,52.45821940864103
V6A_R,52.22338777222172
VMV1_R,53.65776612181516
VMV3_R,53.25686959697926
PHA2_R,54.15428543093066
V4t_R,52.91967107943167
FST_R,52.68818682975343
V3CD_R,52.41720362208512
LO3_R,52.37713469349098
VMV2_R,53.57919870350898
31pd_R,51.961542543397655
31a_R,52.3214702654184
VVC_R,53.8384691719573
25_R,53.64905441504592
s32_R,53.3462740125041
pOFC_R,52.94888525633935
PoI1_R,52.18185314918456
Ig_R,53.235743142349314
FOP5_R,52.38951976558761
p10p_R,51.274066131099296
p47r_R,51.251490945369326
TGv_R,52.8230875577355
MBelt_R,52.03217501962823
LBelt_R,52.34130885000345
A4_R,52.14335569339192
STSva_R,52.15642936964601
TE1m_R,52.18849136382678
PI_R,50.94946576028098
a32pr_R,51.78084081615207
p24_R,50.82546684683464
