region,kfa
V1_L,0.2525709681712659
MST_L,0.2578052735796484
V6_L,0.2562013031769178
V2_L,0.2537798560425305
V3_L,0.2581740272800406
V4_L,0.2611240074257972
V8_L,0.2658834054560644
4_L,0.2706079621774645
3b_L,0.2419127313848272
FEF_L,0.2634229000365993
PEF_L,0.2505061288170339
55b_L,0.2632218697034643
V3A_L,0.2589793498760114
RSC_L,0.2811726067030624
POS2_L,0.2601162317125633
V7_L,0.2593552693374508
IPS1_L,0.2573312445262257
FFC_L,0.2555819276677548
V3B_L,0.2686325074731851
LO1_L,0.2704073535125977
LO2_L,0.2647687288576179
PIT_L,0.2641364828567433
MT_L,0.2559757559797712
A1_L,0.2463073513502399
PSL_L,0.2612276993541335
SFL_L,0.2786462170920146
PCV_L,0.2666733817034711
STV_L,0.2642073114653541
7Pm_L,0.2712145406249018
7m_L,0.2632696888105962
POS1_L,0.2624585808786967
23d_L,0.2563052390351732
v23ab_L,0.2647977099105403
d23ab_L,0.2635375645028474
31pv_L,0.2623456459312652
5m_L,0.2663488619249446
5mv_L,0.2599909243030993
23c_L,0.25647270985457
5L_L,0.2719484367361071
24dd_L,0.2608310502720148
24dv_L,0.25505886965505
7AL_L,0.2730643893292931
SCEF_L,0.2712032656321339
6ma_L,0.2730211524646493
7Am_L,0.2729792109629975
7Pl_L,0.2689212434853503
7PC_L,0.2654762246840863
LIPv_L,0.2650209749374358
VIP_L,0.2704961905515373
MIP_L,0.2675117629085308
1_L,0.2613839865526812
2_L,0.2629708701996437
3a_L,0.2436142866097747
6d_L,0.2649609144360131
6mp_L,0.2695182933737583
6v_L,0.2673513450005322
p24pr_L,0.2585709663797664
33pr_L,0.2693363392052641
a24pr_L,0.2458095070866472
p32pr_L,0.2527701015752643
a24_L,0.2361110300098989
d32_L,0.2609771867314036
8BM_L,0.27436582102967
p32_L,0.2458551461330973
10r_L,0.2422566794460623
47m_L,0.2371133870030538
8Av_L,0.2648401771684671
8Ad_L,0.264554602276969
9m_L,0.2711888677474166
8BL_L,0.2743266910575357
9p_L,0.2665770468027552
10d_L,0.2518261597000152
8C_L,0.2584701941198356
44_L,0.2606519500228481
45_L,0.2586430451251639
47l_L,0.2580009537554697
a47r_L,0.2596869374041843
6r_L,0.2571917488394534
IFJa_L,0.2537202323791235
IFJp_L,0.2478838099916796
IFSp_L,0.2539200258671661
IFSa_L,0.2557144196577487
p9-46v_L,0.2608733156615374
46_L,0.2631570905374468
a9-46v_L,0.257210848753083
9-46d_L,0.2575886197551257
9a_L,0.2609834897358334
10v_L,0.2477437937078865
a10p_L,0.2413617589674481
10pp_L,0.241103480394453
11l_L,0.241352434949863
13l_L,0.2294740147763401
OFC_L,0.2623524858458612
47s_L,0.2505065581168205
LIPd_L,0.260987492175336
6a_L,0.2588100603696102
i6-8_L,0.2663406406971884
s6-8_L,0.2703414072827885
43_L,0.2585948363313804
OP4_L,0.2585281537731493
OP1_L,0.2535820233901937
OP2-3_L,0.251803637472022
52_L,0.2415175365633158
RI_L,0.2466204353024469
PFcm_L,0.2540114411177208
PoI2_L,0.2575586977597147
TA2_L,0.261926702538246
FOP4_L,0.2492890116320661
MI_L,0.2479779771362726
Pir_L,0.2761435103099917
AVI_L,0.2458945759343606
AAIC_L,0.2649356935550651
FOP1_L,0.2586768146064454
FOP3_L,0.243655759300946
FOP2_L,0.2479282008104758
PFt_L,0.2587121632130218
AIP_L,0.2609820389963553
EC_L,0.2630504224450333
PreS_L,0.2834667338326592
H_L,0.244276845722921
ProS_L,0.2635163446862051
PeEc_L,0.2426820783112012
STGa_L,0.2695317362162338
PBelt_L,0.2473564877710179
A5_L,0.2571224969278335
PHA1_L,0.2522110681311029
