region,rtap
V1_L,4139.284902113813
MST_L,4034.877969593151
V6_L,4050.159842586113
V2_L,4178.18493003999
V3_L,4181.060273504967
V4_L,4154.893945243832
V8_L,4331.130215425921
4_L,4342.200792919181
3b_L,3901.2498248851066
FEF_L,4158.066608020436
PEF_L,3957.025654060887
55b_L,4114.173540512577
V3A_L,4039.540284620392
RSC_L,4754.538525488435
POS2_L,4186.615513652594
V7_L,3928.447782003204
IPS1_L,3862.19551674423
FFC_L,4171.486919053996
V3B_L,4009.440934619443
LO1_L,4113.9889472125815
LO2_L,4119.666041148817
PIT_L,4149.512688584547
MT_L,4005.5012017807553
A1_L,4103.3151589527815
PSL_L,3924.284978122215
SFL_L,4269.712474590881
PCV_L,4227.9814635347975
STV_L,4007.439954699428
7Pm_L,4162.297946196039
7m_L,4243.240910181781
POS1_L,4432.5756676361325
23d_L,4343.10326345691
v23ab_L,4399.674993105337
d23ab_L,4459.855858037108
31pv_L,4276.0472035303565
5m_L,4480.068768082583
5mv_L,4235.161039361736
23c_L,4061.645819809026
5L_L,4272.682475131873
24dd_L,4436.65912686198
24dv_L,4290.359818056301
7AL_L,4120.063893488658
SCEF_L,4442.80097181833
6ma_L,4157.484485303089
7Am_L,4190.008763137882
7Pl_L,4118.651138794843
7PC_L,4074.8742926840687
LIPv_L,4050.5782449409994
VIP_L,4145.41850588208
MIP_L,4052.9119687835314
1_L,4163.676711632921
2_L,4067.484912184754
3a_L,3807.15486752476
6d_L,4174.086381719992
6mp_L,4232.295050533204
6v_L,4021.753547229662
p24pr_L,4224.055989800513
33pr_L,4537.930718982451
a24pr_L,4144.315025292717
p32pr_L,4319.998573577181
a24_L,4155.088326780647
d32_L,4224.496708670933
8BM_L,4448.064966109602
p32_L,4161.455965791971
10r_L,4246.447000288534
47m_L,4021.100079338492
8Av_L,4031.5995547565153
8Ad_L,3947.994210847805
9m_L,4166.7624827993895
8BL_L,4050.692751202115
9p_L,3835.9204602553714
10d_L,3820.806319915565
8C_L,4054.786974735206
44_L,4020.368663777161
45_L,4037.1343339388777
47l_L,3920.282183020077
a47r_L,3823.1099915288246
6r_L,3970.240404549799
IFJa_L,4101.535452491884
IFJp_L,4033.628991992156
IFSp_L,4003.3354725166528
IFSa_L,3868.430621283962
p9-46v_L,3971.839897748978
46_L,3892.970534220679
a9-46v_L,3794.39549564219
9-46d_L,3869.480336257312
9a_L,3759.423318451946
10v_L,4306.353305751299
a10p_L,3738.28241921737
10pp_L,3900.617634547181
11l_L,4023.631007395951
13l_L,4262.080876373939
OFC_L,4667.374806402814
47s_L,4098.604974201147
LIPd_L,3948.595923292277
6a_L,4014.9299404133553
i6-8_L,4132.648748439514
s6-8_L,4009.523426534217
43_L,4027.501108814396
OP4_L,4119.789015187347
OP1_L,4334.3089465622
OP2-3_L,4359.390630611813
