region,dki-rd-limited
V1_L,0.0008001797260813
MST_L,0.0007857744147854
V6_L,0.0008050685313226
V2_L,0.0007914396588918
V3_L,0.0007800160020912
V4_L,0.000775908063716
V8_L,0.0007573815475188
4_L,0.0007638641155802
3b_L,0.0008425359159355
FEF_L,0.0007803627539483
PEF_L,0.0008052231724139
55b_L,0.0007786603823593
V3A_L,0.0007979980348278
RSC_L,0.0007582607741484
POS2_L,0.0007887192590921
V7_L,0.0008101138426815
IPS1_L,0.0008123577500184
FFC_L,0.0007759327130416
V3B_L,0.000792422381212
LO1_L,0.0007747932653275
LO2_L,0.0007656379653421
PIT_L,0.0007654923291344
MT_L,0.0007848830294605
A1_L,0.000806118488786
PSL_L,0.000791999899862
SFL_L,0.0007628167491423
PCV_L,0.0007755171913344
STV_L,0.0007830840412505
7Pm_L,0.000774122110943
7m_L,0.0007789053832176
POS1_L,0.0007819186558013
23d_L,0.000791189818812
v23ab_L,0.0007799795670116
d23ab_L,0.000772075206918
31pv_L,0.0007795366308236
5m_L,0.0007588539545023
5mv_L,0.0007905635776224
23c_L,0.0007946940470733
5L_L,0.0007678751369944
24dd_L,0.0007719785219139
24dv_L,0.0007921579135551
7AL_L,0.0007794471356146
SCEF_L,0.0007604206381716
6ma_L,0.0007724182899418
7Am_L,0.000769682865224
7Pl_L,0.0007810671153264
7PC_L,0.0007874321549419
LIPv_L,0.0007989092877955
VIP_L,0.0007764282629166
MIP_L,0.0007922125828732
1_L,0.0007810544167876
2_L,0.000795051507332
3a_L,0.0008407845575674
6d_L,0.0007798030468873
6mp_L,0.0007722669725601
6v_L,0.0007893296409541
p24pr_L,0.0008031634405415
33pr_L,0.0007937723588235
a24pr_L,0.0008183159717614
p32pr_L,0.0007970705644445
a24_L,0.0008474375249981
d32_L,0.0007981225114754
8BM_L,0.0007633779339899
p32_L,0.000833888272603
10r_L,0.0008347650405206
47m_L,0.0008393736486156
8Av_L,0.0007862182345874
8Ad_L,0.000802470591137
9m_L,0.0007938069112579
8BL_L,0.0007832028102548
9p_L,0.000816408295675
10d_L,0.0008435024007777
8C_L,0.0007901828389946
44_L,0.000801515160743
45_L,0.0008089695778687
47l_L,0.0008233229569446
a47r_L,0.0008319876005184
6r_L,0.0008072934385319
IFJa_L,0.0007970906993718
IFJp_L,0.0008047418117355
IFSp_L,0.0008071133209919
IFSa_L,0.0008188582297416
p9-46v_L,0.0007994076327183
46_L,0.0008060485438693
a9-46v_L,0.0008258518991578
9-46d_L,0.0008189451725578
9a_L,0.0008332462575476
10v_L,0.0008238022047526
a10p_L,0.0008528493360272
10pp_L,0.0008506633034172
11l_L,0.0008363133075172
13l_L,0.0008197502140382
OFC_L,0.0007432333985031
47s_L,0.0008354601348035
LIPd_L,0.0008021932947106
6a_L,0.0007945401434076
i6-8_L,0.0007803719092342
s6-8_L,0.0007856016257873
43_L,0.0008065247742712
OP4_L,0.0007940950327906
OP1_L,0.0007837515419453
OP2-3_L,0.0007950546302937
52_L,0.0008420071843806
RI_L,0.0008100155361072
PFcm_L,0.0007908981036302
PoI2_L,0.0008340636330051
TA2_L,0.0008039266015808
FOP4_L,0.0008088175080167
MI_L,0.0008315320583569
Pir_L,0.0008196866715251
AVI_L,0.0008236871645517
AAIC_L,0.0008389221873381
FOP1_L,0.0008021147259121
FOP3_L,0.0008106156125868
FOP2_L,0.0008026733034806
PFt_L,0.0007953306654622
AIP_L,0.0007957899400609
EC_L,0.0008299592577091
PreS_L,0.0008038686893575
H_L,0.0008524574463906
ProS_L,0.0007985225499603
PeEc_L,0.0008211261070127
STGa_L,0.0008113875505759
PBelt_L,0.0008055984052473
A5_L,0.000799028285996
PHA1_L,0.0008222684403036
PHA3_L,0.000788194411644
STSda_L,0.0008125744047496
STSdp_L,0.000791499624787
STSvp_L,0.0007951424187223
TGd_L,0.0008249448795717
TE1a_L,0.0008081957814122
TE1p_L,0.0007776648527262
TE2a_L,0.0007873317166427
TF_L,0.0007850871590461
TE2p_L,0.0007661561739186
PHT_L,0.0007773002864196
PH_L,0.0007691558870443
TPOJ1_L,0.0007800465510306
TPOJ2_L,0.0007817687143032
TPOJ3_L,0.0007934368931074
DVT_L,0.0007832859266893
PGp_L,0.0007835900181093
IP2_L,0.0007891946849087
IP1_L,0.0007844197072906
IP0_L,0.000775144789463
PFop_L,0.0007950525901672
PF_L,0.0007879412989968
PFm_L,0.0007788909819685
PGi_L,0.0007848488622043
PGs_L,0.0007852741932128
V6A_L,0.0007870263031006
VMV1_L,0.0007924868150483
VMV3_L,0.0007629732232078
PHA2_L,0.0008043192857783
V4t_L,0.0007722135507832
FST_L,0.0007772116565608
V3CD_L,0.0007823398565185
LO3_L,0.0007808637640012
VMV2_L,0.0007861236917009
31pd_L,0.0007836157917314
31a_L,0.000770174862969
