region,qiv
V1_L,1.0633612145899038e-09
MST_L,1.1270027783671336e-09
V6_L,1.1352343757774761e-09
V2_L,1.0711888463474483e-09
V3_L,1.06279232282458e-09
V4_L,1.0705523673279926e-09
V8_L,1.0371753389115247e-09
4_L,1.0398450218191327e-09
3b_L,1.1323392468281592e-09
FEF_L,1.1276836236147404e-09
PEF_L,1.1917929972411883e-09
55b_L,1.1305018520690899e-09
V3A_L,1.0982553039326766e-09
RSC_L,9.75645164700372e-10
POS2_L,1.0888001129031567e-09
V7_L,1.132927903921044e-09
IPS1_L,1.1725387787644444e-09
FFC_L,1.083679021887953e-09
V3B_L,1.142133585077978e-09
LO1_L,1.0876617171732364e-09
LO2_L,1.0664766469492915e-09
PIT_L,1.0601133400374214e-09
MT_L,1.118152051901692e-09
A1_L,1.1052784672784372e-09
PSL_L,1.1757191079143835e-09
SFL_L,1.106945974095165e-09
PCV_L,1.1116063647156952e-09
STV_L,1.1383658502224967e-09
7Pm_L,1.1095881337725671e-09
7m_L,1.1109136832588183e-09
POS1_L,1.0400720333669759e-09
23d_L,1.1494044732470039e-09
v23ab_L,1.0738883684751706e-09
d23ab_L,1.0776613356056224e-09
31pv_L,1.1184454569098592e-09
5m_L,1.0049809018772414e-09
5mv_L,1.12579855172918e-09
23c_L,1.1860947767924355e-09
5L_L,1.07409870934337e-09
24dd_L,1.0625757024460967e-09
24dv_L,1.159285815715467e-09
7AL_L,1.099807306513529e-09
SCEF_L,1.081789924702849e-09
6ma_L,1.1100281390139748e-09
7Am_L,1.094368968969426e-09
7Pl_L,1.0883119585368616e-09
7PC_L,1.0991142294322263e-09
LIPv_L,1.095873069001098e-09
VIP_L,1.0815565896834972e-09
MIP_L,1.1178833811993755e-09
1_L,1.0731854689645704e-09
2_L,1.112223912421661e-09
3a_L,1.1924589566674419e-09
6d_L,1.100162226447051e-09
6mp_L,1.0917437999948042e-09
6v_L,1.1663367339331895e-09
p24pr_L,1.2176810016101292e-09
33pr_L,1.171636006986808e-09
a24pr_L,1.26951408299821e-09
p32pr_L,1.189747826782997e-09
a24_L,1.259628397371121e-09
d32_L,1.2286295193059695e-09
8BM_L,1.1257401446110839e-09
p32_L,1.2410017574259663e-09
