region,kfa-limited
STSva_L,0.3385417583820785
TE1m_L,0.3509229194100245
PI_L,0.3322033439317292
a32pr_L,0.3356863541204699
p24_L,0.331596200286665
V1_R,0.3313120747182097
MST_R,0.3410613803743567
V6_R,0.3317762049244555
V2_R,0.3322470779654593
V3_R,0.3369494249640546
V4_R,0.343365220541366
V8_R,0.3511556551068418
4_R,0.3624971869537046
3b_R,0.3119514436390728
FEF_R,0.3500064180661095
PEF_R,0.3407400384088368
55b_R,0.3569132248963202
V3A_R,0.3374115347126415
RSC_R,0.3670380973023422
POS2_R,0.3459416006166031
V7_R,0.3445465129719421
IPS1_R,0.3524034895640936
FFC_R,0.3465917831719113
V3B_R,0.3479988835960949
LO1_R,0.3429001261903973
LO2_R,0.3437083444600496
PIT_R,0.349755418586452
MT_R,0.3396424866363277
A1_R,0.3217398009132214
PSL_R,0.3565541488965609
SFL_R,0.3573246165966615
PCV_R,0.3472093566187597
STV_R,0.3552747573950541
7Pm_R,0.3462561818337808
7m_R,0.3402001510138489
POS1_R,0.3606709473607493
23d_R,0.3338290444626912
v23ab_R,0.3477088016990912
d23ab_R,0.3445176844688606
31pv_R,0.3490695437197194
5m_R,0.3496332237529457
5mv_R,0.3444912728843267
23c_R,0.344394098359823
5L_R,0.3503918463127237
24dd_R,0.3419233561911932
24dv_R,0.3351800301175519
7AL_R,0.3572989403552029
SCEF_R,0.3471042890697227
6ma_R,0.3581394879021845
7Am_R,0.3546640859754117
7Pl_R,0.355183758711954
7PC_R,0.3567555139946467
LIPv_R,0.3537440509100372
VIP_R,0.3581941716180937
MIP_R,0.3575591138804139
1_R,0.3540494713234164
2_R,0.3549941659476159
3a_R,0.3197346684377593
6d_R,0.3550149463761781
6mp_R,0.3525119627559612
6v_R,0.3633818924086
p24pr_R,0.3347053582257754
33pr_R,0.3581723409185406
a24pr_R,0.328081828139112
p32pr_R,0.3288864355896964
a24_R,0.3177062814598326
d32_R,0.3324048901949624
8BM_R,0.3451002391426801
p32_R,0.3151457143437468
10r_R,0.3084104830297634
47m_R,0.3193247281574591
8Av_R,0.3515106791736415
8Ad_R,0.3457823318137925
9m_R,0.3384641207174483
8BL_R,0.3541149437938631
9p_R,0.3467511878747119
10d_R,0.3301993093900783
8C_R,0.3519234910174472
44_R,0.3578360970430145
45_R,0.3581068990508732
47l_R,0.3606939342718571
a47r_R,0.3424109141616421
6r_R,0.3524664197167709
IFJa_R,0.3375781666620573
IFJp_R,0.3432429560679825
IFSp_R,0.3368384600950046
IFSa_R,0.340369305326699
p9-46v_R,0.3467861171805871
46_R,0.3408136357282721
a9-46v_R,0.3400945588813675
9-46d_R,0.3383321005086757
9a_R,0.339564302593052
10v_R,0.3185842388089144
a10p_R,0.3271506718210153
10pp_R,0.3355591328704687
11l_R,0.3304892524353962
13l_R,0.3063109069680516
OFC_R,0.3296360641060637
47s_R,0.3424553035200603
LIPd_R,0.3557494229309113
6a_R,0.348887085601876
i6-8_R,0.3467412320899292
s6-8_R,0.3554832106765238
43_R,0.3549412279456478
OP4_R,0.3522492929863967
OP1_R,0.3467800290076726
OP2-3_R,0.3389070771832391
52_R,0.3195843272308187
RI_R,0.3365359345816312
PFcm_R,0.35546867860406
PoI2_R,0.3648564838057518
TA2_R,0.3399394583453397
FOP4_R,0.3370701746392916
MI_R,0.3511512567737145
Pir_R,0.3755901909559866
AVI_R,0.3387319027750952
AAIC_R,0.3611155757183316
FOP1_R,0.351031906935195
FOP3_R,0.3359103343434857
FOP2_R,0.336685489435109
PFt_R,0.3516547392549586
AIP_R,0.3556048490146654
EC_R,0.3331516137850934
PreS_R,0.3495122407005389
H_R,0.3246683546753349
ProS_R,0.3541821437635217
PeEc_R,0.3370649234371382
STGa_R,0.3705252996877686
PBelt_R,0.331601478155457
A5_R,0.3576533312420161
PHA1_R,0.3490247043076407
PHA3_R,0.3387655826571381
STSda_R,0.3591767028820171
STSdp_R,0.3518839009698962
STSvp_R,0.3479926730786146
TGd_R,0.3549914003802014
TE1a_R,0.3667816803362305
TE1p_R,0.3531606748588481
TE2a_R,0.354479727873198
TF_R,0.3384355457538612
TE2p_R,0.3431753740048098
PHT_R,0.3491559237577543
PH_R,0.3534099427636821
TPOJ1_R,0.3539513717214915
TPOJ2_R,0.3480575460609645
TPOJ3_R,0.3531397056099311
DVT_R,0.3508048617347771
PGp_R,0.3531593614381536
IP2_R,0.3552540421957055
IP1_R,0.3554926826210645
IP0_R,0.3536039716299243
PFop_R,0.3564265370474983
PF_R,0.3618541026931876
PFm_R,0.3609846766186839
PGi_R,0.360729368707376
PGs_R,0.3622283863193622
V6A_R,0.3414989950849437
VMV1_R,0.3358636757859641
VMV3_R,0.3465010997932147
PHA2_R,0.3462185103392168
V4t_R,0.3418094790341622
FST_R,0.3485000179117814
V3CD_R,0.3453936859137894
LO3_R,0.3439184020933266
VMV2_R,0.3445901111148259
31pd_R,0.3476418338429698
31a_R,0.3498127826396784
VVC_R,0.342122227403434
25_R,0.3340103659612052
s32_R,0.3153867891839017
pOFC_R,0.3348679919400892
PoI1_R,0.363416463592314
Ig_R,0.3401124431150828
FOP5_R,0.3357738616594525
p10p_R,0.3293239451828502
p47r_R,0.3490280800675283
TGv_R,0.3556311697202898
MBelt_R,0.3168782026004443
LBelt_R,0.3246571746801348
A4_R,0.3541851895772607
STSva_R,0.3476214268827278
TE1m_R,0.3547978620690633
PI_R,0.3406338479909624
a32pr_R,0.3251799602070394
p24_R,0.3309001509131296
