region,kfa-limited
V1_L,0.3367615680272791
MST_L,0.3475254074931323
V6_L,0.3339711175829703
V2_L,0.3373974306767193
V3_L,0.3442119982150614
V4_L,0.349586416858879
V8_L,0.359894618629271
4_L,0.3567247654826195
3b_L,0.3192144218241336
FEF_L,0.3464462025403069
PEF_L,0.3403678749540647
55b_L,0.3543352764409093
V3A_L,0.3353685185765527
RSC_L,0.370307574553391
POS2_L,0.3467824392846014
V7_L,0.3367926832006528
IPS1_L,0.3412289950181312
FFC_L,0.3491225549521523
V3B_L,0.3493215462618084
LO1_L,0.3542225484837327
LO2_L,0.3520797882563891
PIT_L,0.3536714546878119
MT_L,0.3469736011037958
A1_L,0.3243980165170592
PSL_L,0.3517576013773411
SFL_L,0.3621916670060064
PCV_L,0.3523012404732405
STV_L,0.35260458040285
7Pm_L,0.3542713580871349
7m_L,0.3463250466709846
POS1_L,0.3611330939413641
23d_L,0.3358169556597782
v23ab_L,0.3525644058714799
d23ab_L,0.3476834964422046
31pv_L,0.3522153039950114
5m_L,0.3554665413961566
5mv_L,0.3498556146220211
23c_L,0.3454438365485081
5L_L,0.3577606786449407
24dd_L,0.3498262827517219
24dv_L,0.3423527524764475
7AL_L,0.3563430699043364
SCEF_L,0.3578055307978617
6ma_L,0.3620407203944101
7Am_L,0.3606731833433227
7Pl_L,0.3552188523890784
7PC_L,0.3534793831027664
LIPv_L,0.3497303003843702
VIP_L,0.3584795061103986
MIP_L,0.354579425913881
1_L,0.3519828237962687
2_L,0.3481016240814011
3a_L,0.3130165469400806
6d_L,0.3559632933843675
6mp_L,0.3554319625443559
6v_L,0.3635072103358773
p24pr_L,0.3389345648176854
33pr_L,0.3550790026389619
a24pr_L,0.3302629545031446
p32pr_L,0.337566163667061
a24_L,0.3270239001968165
d32_L,0.3447600592195851
8BM_L,0.360295310049067
p32_L,0.3288580980332
10r_L,0.3201456229608632
47m_L,0.3200227542496609
8Av_L,0.3537539182365551
8Ad_L,0.3487678163107661
9m_L,0.3570630727782443
8BL_L,0.3613904867590264
9p_L,0.3529223553749016
10d_L,0.3414773954560101
8C_L,0.3507658626687435
44_L,0.3555641701170035
45_L,0.3533664785221072
47l_L,0.3467663069828769
a47r_L,0.3505565492888413
6r_L,0.3482517297212061
IFJa_L,0.3403161805015244
IFJp_L,0.3394341564331788
IFSp_L,0.3385112470009852
IFSa_L,0.3417850689039033
p9-46v_L,0.3514997823309462
46_L,0.3497029242723307
