region,rtap-limited
V1_L,3935.3265727965977
MST_L,3842.029800363008
V6_L,3843.866894671296
V2_L,3970.580272114297
V3_L,3986.1243615202175
V4_L,3965.9061474823206
V8_L,4131.86340079524
4_L,4116.859553127119
3b_L,3708.681331216501
FEF_L,3951.8584687280377
PEF_L,3776.120124477955
55b_L,3923.030817601358
V3A_L,3858.443594753399
RSC_L,4467.111573471784
POS2_L,3991.649305207991
V7_L,3757.567312385032
IPS1_L,3685.1721126529474
FFC_L,3960.593463146535
V3B_L,3812.803352539873
LO1_L,3922.8251056259382
LO2_L,3945.11999180448
PIT_L,3972.633001060705
MT_L,3827.967509636997
A1_L,3840.021950412973
PSL_L,3746.6471492167047
SFL_L,4058.996442258801
PCV_L,4023.416345543668
STV_L,3831.026294592508
7Pm_L,3969.909781520073
7m_L,4033.801730145195
POS1_L,4193.218028646025
23d_L,4093.0035658988254
v23ab_L,4149.729244430791
d23ab_L,4203.736863780384
31pv_L,4027.648277965033
5m_L,4252.945988844043
5mv_L,4017.6991812428582
23c_L,3837.7920951901215
5L_L,4074.470637694652
24dd_L,4206.849735789389
24dv_L,4058.40449100552
7AL_L,3934.864042700902
SCEF_L,4225.9790039174895
6ma_L,3950.34638121526
7Am_L,3997.777915312728
7Pl_L,3932.462700424639
7PC_L,3895.773582627464
LIPv_L,3873.019169758732
VIP_L,3967.088882805205
MIP_L,3865.5655135762936
1_L,3966.972595348128
2_L,3873.8627704605465
3a_L,3607.662933212632
6d_L,3958.934408986026
6mp_L,4013.747508388098
6v_L,3836.758026599779
p24pr_L,3983.346726944581
33pr_L,4259.686072395382
a24pr_L,3895.2281457078143
p32pr_L,4081.3147634012776
a24_L,3870.990956973047
d32_L,4006.735546450585
8BM_L,4240.50751516116
p32_L,3898.418178746256
10r_L,3965.9392947511337
47m_L,3787.7535730729983
8Av_L,3845.227523396528
8Ad_L,3762.329018571593
9m_L,3968.828275425533
8BL_L,3864.376878391132
9p_L,3667.4357186770926
10d_L,3640.1669900618913
8C_L,3858.437367023023
44_L,3817.149289865838
45_L,3825.446742568931
47l_L,3700.02308214754
a47r_L,3615.5999408543007
6r_L,3774.1806889490576
IFJa_L,3879.6484104217407
IFJp_L,3823.305626460156
IFSp_L,3800.338071059909
IFSa_L,3671.88962145984
p9-46v_L,3782.072524394837
46_L,3714.3728516132087
a9-46v_L,3607.248061335175
9-46d_L,3683.280430454904
9a_L,3596.4231958915034
10v_L,4018.071818413956
a10p_L,3526.1300843635318
10pp_L,3656.6096727074487
11l_L,3759.77475130096
13l_L,3981.9987073427255
OFC_L,4414.358200843033
47s_L,3849.022124256349
LIPd_L,3758.769414674876
6a_L,3817.2723564114895
i6-8_L,3924.596370243931
s6-8_L,3814.4321192991256
43_L,3830.58969624942
OP4_L,3925.497185046546
OP1_L,4114.163119296051
OP2-3_L,4125.210674817353
52_L,3709.16319412672
RI_L,3875.305137269276
PFcm_L,3945.8742288726726
PoI2_L,3708.43379579436
TA2_L,3884.6441616808456
FOP4_L,3976.797997527935
MI_L,3652.944894945409
Pir_L,4049.8283279640855
AVI_L,3789.576342549122
AAIC_L,3754.74402557762
FOP1_L,4016.038102845901
FOP3_L,3881.47109333132
FOP2_L,4090.39189381992
PFt_L,3749.746357554065
AIP_L,3834.20718088849
EC_L,4197.038777514466
PreS_L,4074.7590442816986
H_L,3812.4399369947873
ProS_L,4144.899714044227
PeEc_L,4041.920162527368
STGa_L,3647.284414147667
PBelt_L,3823.533212174536
A5_L,3736.611747788256
PHA1_L,4067.982216473652
PHA3_L,4087.356613206287
STSda_L,3645.2428738534
STSdp_L,3796.197345066928
STSvp_L,3688.695405802396
TGd_L,3815.310078656949
TE1a_L,3662.74479533029
TE1p_L,3765.781672489249
TE2a_L,3872.770585236202
TF_L,4145.950790121906
TE2p_L,4056.437944176877
PHT_L,3773.76085731724
PH_L,3879.311870865108
TPOJ1_L,3874.660838665344
TPOJ2_L,3824.7594380339824
TPOJ3_L,3768.561357606353
DVT_L,4051.107076336508
PGp_L,3796.6662827538303
IP2_L,3831.7443959660873
IP1_L,3859.8205955946064
IP0_L,3950.381676383157
PFop_L,3739.285665191347
PF_L,3765.713273806572
PFm_L,3808.877265427084
PGi_L,3807.278347554678
PGs_L,3784.685866062496
V6A_L,3894.884363440357
VMV1_L,4111.369571602552
VMV3_L,4155.080320343731
PHA2_L,3992.64513706004
V4t_L,3882.6025341197646
FST_L,3838.514367455653
V3CD_L,3850.6735690601217
LO3_L,3866.979061469077
VMV2_L,4051.816384102598
31pd_L,4005.377483565707
31a_L,4064.2949041958536
VVC_L,4126.875052543331
25_L,4340.037663809774
s32_L,4113.687668039967
pOFC_L,4221.2894883595145
PoI1_L,3729.517079727746
Ig_L,3907.473456319928
FOP5_L,4039.308809528085
p10p_L,3517.618019412136
p47r_L,3567.892677888304
TGv_L,4021.7698410246408
MBelt_L,3960.3968646535136
LBelt_L,3802.6883223641935
A4_L,3801.961883797576
STSva_L,3618.913101715069
TE1m_L,3706.872754351784
PI_L,3814.865145662304
a32pr_L,4019.5769101263104
p24_L,3842.428932104949
V1_R,3850.580066535345
MST_R,3916.442299924165
V6_R,3684.589880843482
V2_R,3885.968983190122
V3_R,3932.1722944885896
V4_R,3966.797273778761
V8_R,3997.678188220081
4_R,4217.01242225624
3b_R,3519.9072654456622
FEF_R,4015.216483294531
PEF_R,3846.308619468701
55b_R,4034.468660419681
V3A_R,3967.162537666791
RSC_R,4279.474849215226
POS2_R,3973.279312012961
V7_R,4086.352351325893
IPS1_R,4009.050104038651
FFC_R,4098.547543039133
V3B_R,3841.93258053592
LO1_R,3878.34798853589
LO2_R,3956.8987829502616
PIT_R,4002.0691047413943
MT_R,3914.023656104493
A1_R,3841.1064229087824
PSL_R,3818.250919963501
SFL_R,4003.196948050601
PCV_R,3840.497652379897
STV_R,3883.2958896689006
7Pm_R,3790.492083637952
7m_R,3820.765459643144
POS1_R,4171.360852370962
23d_R,3887.972071141149
v23ab_R,3991.781652779528
d23ab_R,4021.8952863208833
31pv_R,3898.1439884296296
5m_R,4051.90949028834
5mv_R,3777.880574608018
23c_R,3862.296747508618
5L_R,3947.562189410253
24dd_R,3949.6912916449055
24dv_R,3869.585379970728
7AL_R,3997.314380618311
SCEF_R,3913.099971339992
6ma_R,4101.915033195373
7Am_R,3871.1709671296094
7Pl_R,3946.475078785332
7PC_R,4044.60763123648
LIPv_R,4071.121165703318
VIP_R,4029.143586304445
MIP_R,4001.111616731041
1_R,4080.463326078015
2_R,4102.511580131684
3a_R,3816.080728242599
6d_R,4015.613688907129
6mp_R,3991.190983142141
6v_R,3941.746996909873
p24pr_R,3804.651560453457
33pr_R,4039.14160528765
a24pr_R,3747.4271290730735
p32pr_R,3834.503609467148
a24_R,3731.996343992325
d32_R,3779.141339683892
8BM_R,3869.971049204893
p32_R,3744.351232578521
10r_R,3758.368480601213
47m_R,3864.159419664363
8Av_R,3995.756834640972
8Ad_R,3945.9767246826113
9m_R,3697.248748298828
8BL_R,3897.488514874658
9p_R,3785.7122753975855
10d_R,3560.9311120604325
8C_R,4032.45587677645
44_R,3921.33752114215
45_R,3834.8521989388646
47l_R,3788.504011240404
a47r_R,3671.244554835839
6r_R,3839.194354441438
IFJa_R,3954.002723803557
IFJp_R,3955.164821315082
IFSp_R,3858.544953604545
IFSa_R,3705.889136593538
p9-46v_R,3871.976331066901
46_R,3751.329606384972
a9-46v_R,3673.406674726421
9-46d_R,3710.502522862956
9a_R,3664.946882716412
10v_R,3793.9453060271408
a10p_R,3621.664254512292
10pp_R,3759.0622036703135
11l_R,3906.544036012164
13l_R,4090.576405015032
OFC_R,4437.236397897792
47s_R,3993.069140279064
LIPd_R,3947.0525762649377
6a_R,3986.732679425684
i6-8_R,3942.576930286649
s6-8_R,4061.6308228798944
43_R,3977.329198661028
OP4_R,3950.3616105734927
OP1_R,4045.5744250066296
OP2-3_R,4086.276346416431
52_R,3715.318775442832
RI_R,3827.222627161064
PFcm_R,3982.590805946899
PoI2_R,4005.145596443484
TA2_R,3667.2261654025688
FOP4_R,3876.4604032425054
MI_R,3863.347595637927
Pir_R,4045.344698559172
AVI_R,4001.0521399238905
AAIC_R,3930.804803168892
FOP1_R,3954.284713641551
FOP3_R,3910.244089485603
FOP2_R,3943.882912486416
PFt_R,3801.7407597071096
AIP_R,3947.04214046979
EC_R,4099.301299268376
PreS_R,3877.60950443454
H_R,3871.506227428216
ProS_R,4005.414571579944
PeEc_R,4128.681617895312
STGa_R,3746.386839776769
PBelt_R,3750.528435058079
A5_R,3991.2236841246695
PHA1_R,4105.041715406615
PHA3_R,4014.685887765967
STSda_R,3970.98572460553
STSdp_R,3927.474690335948
STSvp_R,3702.77448351707
TGd_R,3827.9200036515167
TE1a_R,3759.263045315141
TE1p_R,3818.179558786913
TE2a_R,3868.613345901749
TF_R,4171.823162365129
TE2p_R,4017.438307386569
PHT_R,3808.497737558433
PH_R,3933.161947712279
TPOJ1_R,3882.868515765577
TPOJ2_R,3864.5173234309086
TPOJ3_R,3886.2131235187935
DVT_R,3832.148741682222
PGp_R,3862.870696101455
IP2_R,3790.9467040241298
IP1_R,3811.695275385412
IP0_R,3689.422865546662
PFop_R,3915.196266446928
PF_R,3933.2198000621775
PFm_R,3897.183551257493
PGi_R,3862.5968330183096
PGs_R,3908.030365806175
V6A_R,3893.719353785596
VMV1_R,4092.004287971516
VMV3_R,3970.501229016266
PHA2_R,4086.958977174927
V4t_R,3921.605750967419
FST_R,3882.77048926771
V3CD_R,3859.0800692514463
LO3_R,3862.517356000243
VMV2_R,4026.243201766041
