region,isovf-limited
V1_L,0.111734441014767
MST_L,0.0810127541457837
V6_L,0.0968951774038409
V2_L,0.0954989990512518
V3_L,0.0860030849749784
V4_L,0.0827699275461109
V8_L,0.0654071543969631
4_L,0.0980744364433483
3b_L,0.142928849192041
FEF_L,0.0898563724588346
PEF_L,0.0949056240023379
55b_L,0.0925416284625916
V3A_L,0.1117886799542397
RSC_L,0.0761501883409024
POS2_L,0.0950879299107787
V7_L,0.1351298918908703
IPS1_L,0.1255026659971267
FFC_L,0.0763460009690194
V3B_L,0.0862882739778829
LO1_L,0.0727218073348619
LO2_L,0.0674028952586046
PIT_L,0.0708605722370108
MT_L,0.0852705524134128
A1_L,0.1230952310065235
PSL_L,0.0819396953013047
SFL_L,0.0705976875081396
PCV_L,0.069463524077594
STV_L,0.0774602480212354
7Pm_L,0.0740536600081982
7m_L,0.0667809927355727
POS1_L,0.0758162631041149
23d_L,0.063706140552627
v23ab_L,0.0643739727928767
d23ab_L,0.0570069200409572
31pv_L,0.0603696482217856
5m_L,0.0834950810072354
5mv_L,0.0726104187935649
23c_L,0.0799005108314485
5L_L,0.0791736561007343
24dd_L,0.0687874573463745
24dv_L,0.0627920218950851
7AL_L,0.0966657517623635
SCEF_L,0.0567897570382824
6ma_L,0.0929822746751433
7Am_L,0.0765357759397197
7Pl_L,0.0963480261390332
7PC_L,0.1109362561356389
LIPv_L,0.1311427085012885
VIP_L,0.0978643512655822
MIP_L,0.108328941953868
1_L,0.1115229250188177
2_L,0.1196839052907773
3a_L,0.1494862944559342
6d_L,0.095748952102006
6mp_L,0.0885505931057838
6v_L,0.0896779714721076
p24pr_L,0.0647425459803431
33pr_L,0.0534333192753377
a24pr_L,0.05878639788659
p32pr_L,0.0533287225243649
a24_L,0.0746922884778805
d32_L,0.0504925046655704
8BM_L,0.0429279547043119
p32_L,0.0713233005629133
10r_L,0.0880081064587458
47m_L,0.1390586228038272
8Av_L,0.0928277214227625
8Ad_L,0.0929304807336564
9m_L,0.0568987470079737
8BL_L,0.0844589851825886
9p_L,0.101892242421311
10d_L,0.1010869552033823
8C_L,0.0939502178122399
44_L,0.0961566969910635
45_L,0.105129889249714
47l_L,0.1114753700036238
a47r_L,0.1063336167463336
6r_L,0.0884664563841339
IFJa_L,0.0881654392855635
IFJp_L,0.0846804051743292
IFSp_L,0.0960418781878823
IFSa_L,0.0996843929368406
p9-46v_L,0.0930209889847882
46_L,0.0860756628022703
a9-46v_L,0.1015057424355415
9-46d_L,0.0891698382233702
9a_L,0.1080951761628931
10v_L,0.1249135100929053
a10p_L,0.1067649171633037
10pp_L,0.1373051068599233
11l_L,0.1224712977989134
13l_L,0.1563567306989624
OFC_L,0.1851972975296128
47s_L,0.1280817148339836
LIPd_L,0.1221210803013836
6a_L,0.1055594812297018
i6-8_L,0.0849964819165153
s6-8_L,0.1033578631438451
43_L,0.1008790618731472
OP4_L,0.0846031002032225
OP1_L,0.0764531855434984
OP2-3_L,0.089023245044262
52_L,0.1172900889903749
RI_L,0.1043210371050149
PFcm_L,0.0873700406461367
PoI2_L,0.1142203835432124
TA2_L,0.0789476374046334
FOP4_L,0.0786276712712692
MI_L,0.1024871475334387
Pir_L,0.131564933266908
AVI_L,0.1108960371077905
AAIC_L,0.123965491664671
FOP1_L,0.083119660615797
FOP3_L,0.0842550996294328
FOP2_L,0.0720155968332568
PFt_L,0.0874530765268152
AIP_L,0.1060576828290707
EC_L,0.1600723543431674
PreS_L,0.161256950660671
H_L,0.124750504308438
ProS_L,0.0918405097552027
PeEc_L,0.1305977465120011
STGa_L,0.0933283206644251
PBelt_L,0.0926002179484638
A5_L,0.1039664659009317
PHA1_L,0.1037012426674241
PHA3_L,0.0759860445667641
STSda_L,0.1063983365373838
STSdp_L,0.0797414239716115
STSvp_L,0.0670627624032245
TGd_L,0.1122146330396852
TE1a_L,0.0875162375364634
TE1p_L,0.0612540693820351
TE2a_L,0.0996610600963853
TF_L,0.1118731638636965
TE2p_L,0.0805203484334286
PHT_L,0.0603692857467614
PH_L,0.0531848740156105
TPOJ1_L,0.0733542334634272
TPOJ2_L,0.0681439988574009
TPOJ3_L,0.082002856593427
DVT_L,0.0747970904421976
PGp_L,0.076495967136387
IP2_L,0.0846063375713404
IP1_L,0.0838992102701556
IP0_L,0.0616410469869298
PFop_L,0.0863682480523407
PF_L,0.0898628709900289
PFm_L,0.0821329631495563
PGi_L,0.0752822763755159
PGs_L,0.0830213868623965
V6A_L,0.0945219028407715
VMV1_L,0.0948889529507358
