region,icvf-limited
OP2-3_R,0.2706968048281268
52_R,0.2656256111365359
RI_R,0.2653257761145335
PFcm_R,0.2511025742631482
PoI2_R,0.2495342703131567
TA2_R,0.25270753043415
FOP4_R,0.2523973613068746
MI_R,0.2414099444180325
Pir_R,0.2820248706898018
AVI_R,0.257007098767176
AAIC_R,0.2458687828310125
FOP1_R,0.2559261745277519
FOP3_R,0.2476367758968583
FOP2_R,0.2561279500681119
PFt_R,0.2410225634667558
AIP_R,0.2534598409521483
EC_R,0.3360144013763829
PreS_R,0.3402502381211238
H_R,0.2791178685418372
ProS_R,0.2809758952310652
PeEc_R,0.2986291367096741
STGa_R,0.2338236259477732
PBelt_R,0.2610175197523036
A5_R,0.2448183977789459
PHA1_R,0.2882804413655307
PHA3_R,0.2661326200767521
STSda_R,0.240516952920083
STSdp_R,0.2429586406031567
STSvp_R,0.2273108791935114
TGd_R,0.2664656830757135
TE1a_R,0.2376567182072969
TE1p_R,0.2338630071168497
TE2a_R,0.2618006724587076
TF_R,0.293749502868374
TE2p_R,0.2714630279298957
PHT_R,0.2271655375357248
PH_R,0.2407479472356425
TPOJ1_R,0.2386223647761671
TPOJ2_R,0.2366395435349894
TPOJ3_R,0.236612709410043
DVT_R,0.2561686897358792
PGp_R,0.2308177108510786
IP2_R,0.2478596664132559
IP1_R,0.2454598629414389
IP0_R,0.2400391651881369
PFop_R,0.2371941303248355
PF_R,0.2380779709571575
PFm_R,0.2396606911899819
PGi_R,0.2323374315238631
PGs_R,0.2363743005414057
V6A_R,0.2544761137557734
VMV1_R,0.2935668228504855
VMV3_R,0.2697471293043683
PHA2_R,0.2640431531577543
V4t_R,0.2476389472398705
FST_R,0.2364788212841444
V3CD_R,0.2407190879638144
LO3_R,0.2397804284828318
VMV2_R,0.26408818377385
31pd_R,0.2534133597467947
31a_R,0.2606028474050872
VVC_R,0.2859363963260051
25_R,0.3099340595767902
s32_R,0.296726266784249
pOFC_R,0.3227895793104853
PoI1_R,0.2528450768202629
Ig_R,0.2676320481047107
FOP5_R,0.2631666220151374
p10p_R,0.2261047320180633
p47r_R,0.2324231398310555
TGv_R,0.2967697888966575
MBelt_R,0.2947876323228549
LBelt_R,0.277968052026793
A4_R,0.2470820302491261
STSva_R,0.2368264337852741
TE1m_R,0.2361271385853586
PI_R,0.2478675715814679
a32pr_R,0.2471492905659749
p24_R,0.2323677876919583
