region,icvf-limited
V1_L,0.2856647657970936
MST_L,0.2530988577961733
V6_L,0.2574854736477054
V2_L,0.2786661072332947
V3_L,0.2712869639185734
V4_L,0.266877051221331
V8_L,0.2726863916343415
4_L,0.3077493175813794
3b_L,0.2732628474948577
FEF_L,0.2693482916794197
PEF_L,0.2489078718687892
55b_L,0.2625508871316984
V3A_L,0.2638875166700942
RSC_L,0.3221624568588721
POS2_L,0.2614231037813244
V7_L,0.2665603387468104
IPS1_L,0.2551571040696163
FFC_L,0.2622971050288765
V3B_L,0.2500556594620106
LO1_L,0.2517686628665886
LO2_L,0.2570661539138217
PIT_L,0.2633319173431133
MT_L,0.2541228373560496
A1_L,0.3150531561433445
PSL_L,0.236209326624435
SFL_L,0.2722393285868357
PCV_L,0.2543834954049619
STV_L,0.2400108190123587
7Pm_L,0.2491110923719746
7m_L,0.2544210242020854
POS1_L,0.2797605582482721
23d_L,0.2711516162828091
v23ab_L,0.2769291396284976
d23ab_L,0.2777870396968681
31pv_L,0.2598086088425551
5m_L,0.2984630460237202
5mv_L,0.2598738856749218
23c_L,0.2527757685959733
5L_L,0.269714894919319
24dd_L,0.2830500484852208
24dv_L,0.2634403235135059
7AL_L,0.262917142866798
SCEF_L,0.278099854195175
6ma_L,0.2759576300567772
7Am_L,0.2541071143775328
7Pl_L,0.2566123939981469
7PC_L,0.2656733069111823
LIPv_L,0.2741697668426773
VIP_L,0.2645247007679486
MIP_L,0.2587153650823232
1_L,0.2851382048317997
2_L,0.2730139654179218
3a_L,0.2780525764854388
6d_L,0.284773185253361
6mp_L,0.2884870958451335
6v_L,0.2472596037125041
p24pr_L,0.2561225087805403
33pr_L,0.270546082267378
a24pr_L,0.2444619443826697
p32pr_L,0.2581933486222223
a24_L,0.2403558850827942
d32_L,0.2400814971526484
8BM_L,0.2614608924369332
p32_L,0.2398560535591698
10r_L,0.2603762485128362
47m_L,0.2715203956151715
8Av_L,0.2559275843971836
8Ad_L,0.2495476513417017
9m_L,0.2355681607461456
8BL_L,0.2535758708754391
9p_L,0.2353638267506065
10d_L,0.2226720977413707
8C_L,0.255705588308954
44_L,0.2457210571952715
45_L,0.2518221701498986
47l_L,0.2480252143715676
a47r_L,0.2312659338309206
6r_L,0.2403417165896149
IFJa_L,0.2593868842806788
IFJp_L,0.2512472001606628
IFSp_L,0.2522575244654291
IFSa_L,0.2386885016246283
p9-46v_L,0.2444786710378409
46_L,0.233848449700483
a9-46v_L,0.2269299325868058
9-46d_L,0.2300046514899609
9a_L,0.2249295986509235
10v_L,0.2928300915962161
a10p_L,0.2215895622683595
10pp_L,0.2580296755089369
11l_L,0.2591809034062151
13l_L,0.3032298366820253
OFC_L,0.3507362245290912
47s_L,0.2722647076112716
LIPd_L,0.2614979195509049
6a_L,0.2682025920551236
i6-8_L,0.2656675036820973
s6-8_L,0.2637990485748486
43_L,0.249073164959718
OP4_L,0.249625113880543
OP1_L,0.2680556190516178
OP2-3_L,0.2793351834284104
52_L,0.2661426632850252
RI_L,0.2751197218453559
PFcm_L,0.2545686792316837
PoI2_L,0.2511215741540365
TA2_L,0.2556196161248021
FOP4_L,0.254542458853953
MI_L,0.2417021883715029
Pir_L,0.2836195098715358
AVI_L,0.2588163361919757
AAIC_L,0.2508095447513074
FOP1_L,0.2558112399889424
FOP3_L,0.2517775234949624
FOP2_L,0.2613796466442065
PFt_L,0.2375537834240763
AIP_L,0.2558091177414554
EC_L,0.3319414367591621
PreS_L,0.3406181686716494
H_L,0.2803739470719853
ProS_L,0.2858730791884312
