region,ak-limited
PHA2_R,0.6670282493149209
V4t_R,0.5832196218550239
FST_R,0.5692964862306406
V3CD_R,0.5683831024683983
LO3_R,0.567992484728848
VMV2_R,0.6546290904223407
31pd_R,0.6124032844039653
31a_R,0.6122467246848529
VVC_R,0.6681243343173031
25_R,0.7193655245174886
s32_R,0.7108090020450923
pOFC_R,0.7289534781119119
PoI1_R,0.6233622229310654
Ig_R,0.6401158044344517
FOP5_R,0.6493063979950205
p10p_R,0.587095611750088
p47r_R,0.5932313506377906
TGv_R,0.6949807884803408
MBelt_R,0.67635219678293
LBelt_R,0.6567991724690598
A4_R,0.5815797211587287
STSva_R,0.6051427276262172
TE1m_R,0.5804804864290185
PI_R,0.6275105372255303
a32pr_R,0.6098145229845708
p24_R,0.5948187826976921
