region,ak-limited
V1_L,0.6529006194962345
MST_L,0.6044004970440648
V6_L,0.6022804619480101
V2_L,0.6412295030336056
V3_L,0.6235296943859118
V4_L,0.6183842810815072
V8_L,0.6237071828229274
4_L,0.668762257245098
3b_L,0.6301279512014166
FEF_L,0.6188020534082272
PEF_L,0.5884685786915903
55b_L,0.5981088455753002
V3A_L,0.6067554462388957
RSC_L,0.7077813867097145
POS2_L,0.6031092286919655
V7_L,0.6155784205256613
IPS1_L,0.6054240884613775
FFC_L,0.6176718881770433
V3B_L,0.5964142105981423
LO1_L,0.5867370550687943
LO2_L,0.5964139217138442
PIT_L,0.6054817194262347
MT_L,0.606018213133137
A1_L,0.6984718411446648
PSL_L,0.5591562217608037
SFL_L,0.5992822149245564
PCV_L,0.5817415063680189
STV_L,0.5613744080119429
7Pm_L,0.5668648280838486
7m_L,0.5935806473268059
POS1_L,0.6517413142053528
23d_L,0.639620376634769
v23ab_L,0.6424357740021128
d23ab_L,0.6464512320419674
31pv_L,0.6233953434747521
5m_L,0.6395908866750194
5mv_L,0.6062123030689166
23c_L,0.605673439494345
5L_L,0.5785611540790895
24dd_L,0.6532403087473272
24dv_L,0.6312993410851033
7AL_L,0.5726022329071886
SCEF_L,0.6256686735641469
6ma_L,0.6040106087408399
7Am_L,0.5618875584628704
7Pl_L,0.5737692686095266
7PC_L,0.5848863236003073
LIPv_L,0.6064958080867899
VIP_L,0.5804211724522792
MIP_L,0.5959787735902426
1_L,0.6156656861540541
2_L,0.6148391459484779
3a_L,0.6491003954861835
6d_L,0.6298369528861789
6mp_L,0.6312709316047977
6v_L,0.5715330803070965
p24pr_L,0.6160601014679331
33pr_L,0.6426293242862358
a24pr_L,0.6038812847294024
p32pr_L,0.6185911059010918
a24_L,0.628284837344814
d32_L,0.5821633136997453
8BM_L,0.5919472563343402
p32_L,0.6184513540447175
10r_L,0.6564094014760318
47m_L,0.6596744519726638
8Av_L,0.5890733358771115
8Ad_L,0.5942005661955807
9m_L,0.560455432570471
8BL_L,0.5741127442195672
9p_L,0.5648601956031106
10d_L,0.5590739402891316
8C_L,0.6003509075017799
44_L,0.5912441312258404
45_L,0.6080466849442299
47l_L,0.6080282430659558
a47r_L,0.5885767182151143
6r_L,0.5789011747786329
IFJa_L,0.6156581699114008
IFJp_L,0.6036847487932511
IFSp_L,0.6022946615592927
IFSa_L,0.588586329008927
p9-46v_L,0.5849214623151995
46_L,0.5651788865927666
a9-46v_L,0.5730377738205952
9-46d_L,0.5698863598724371
9a_L,0.5559308962632864
10v_L,0.6880451012601232
a10p_L,0.5837157002072901
10pp_L,0.6394958325681869
11l_L,0.6491091969479189
13l_L,0.7063577652998381
OFC_L,0.7425838285867112
47s_L,0.6529818597019492
LIPd_L,0.6082704429393867
6a_L,0.6258396121393373
i6-8_L,0.6063014462930159
s6-8_L,0.5996066031971103
43_L,0.593970979530719
OP4_L,0.5876618000939676
OP1_L,0.6273051256860092
OP2-3_L,0.6565755844949106
52_L,0.644529186556634
RI_L,0.649154880097057
PFcm_L,0.6018691536808224
PoI2_L,0.6127889061383931
TA2_L,0.6060243639961505
FOP4_L,0.6205162194474066
MI_L,0.6041189416642527
Pir_L,0.6603696617044041
AVI_L,0.632360121028728
AAIC_L,0.6153531496955217
FOP1_L,0.6099495269868649
FOP3_L,0.6293045383363547
FOP2_L,0.6292559962870428
PFt_L,0.5584178426586881
AIP_L,0.5969687217206083
EC_L,0.7269702106002714
PreS_L,0.7277322910145512
H_L,0.6823586457194429
ProS_L,0.6686320890166939
PeEc_L,0.7065746504518738
STGa_L,0.5816245383155073
PBelt_L,0.6310707647450903
A5_L,0.5863875466928528
PHA1_L,0.6800422546026335
