region,odi
V1_L,0.4339259274548588
MST_L,0.4155784008073353
V6_L,0.4211034728300303
V2_L,0.4251487876383779
V3_L,0.4173429495738657
V4_L,0.4098924423584283
V8_L,0.3989500895282551
4_L,0.3983374739278787
3b_L,0.4456019007057498
FEF_L,0.3970161075993573
PEF_L,0.397222402131887
55b_L,0.3776387090245425
V3A_L,0.4022826235950791
RSC_L,0.3909264435254357
POS2_L,0.39596865301126
V7_L,0.4030855718622953
IPS1_L,0.408392798354437
FFC_L,0.4041902828441862
V3B_L,0.4047236115201702
LO1_L,0.3998482662978063
LO2_L,0.4024061989339882
PIT_L,0.4025243110824349
MT_L,0.4128383571175694
A1_L,0.4632609408848445
PSL_L,0.3824260120157233
SFL_L,0.3829120105520293
PCV_L,0.3931646127729707
STV_L,0.3770356262741519
7Pm_L,0.384509232402305
7m_L,0.3958651882820351
POS1_L,0.3925467474737578
23d_L,0.4133046497721908
v23ab_L,0.4019992969966476
d23ab_L,0.4034390725604779
31pv_L,0.4067921109930642
5m_L,0.4254566643153657
5mv_L,0.4279561229280265
23c_L,0.4056366907040283
5L_L,0.4046426139041559
24dd_L,0.4057482270738829
24dv_L,0.4121451153840632
7AL_L,0.3898089683820438
SCEF_L,0.3882045912357406
6ma_L,0.3866805228542841
7Am_L,0.3845856859458968
7Pl_L,0.3797572005161065
7PC_L,0.3983138613166521
LIPv_L,0.3994675570563565
VIP_L,0.3854285988774013
MIP_L,0.3954655969752702
1_L,0.4054600591747992
2_L,0.4064401602303476
3a_L,0.4462000355976879
6d_L,0.4057567751491848
6mp_L,0.40776268548827
6v_L,0.3605644170593173
p24pr_L,0.3956528614903854
33pr_L,0.3714099101117881
a24pr_L,0.4080687559498503
p32pr_L,0.4047191291594164
a24_L,0.3857232332698667
d32_L,0.3595797561801981
8BM_L,0.3663949968762607
p32_L,0.3810807315252973
10r_L,0.4157913235236981
47m_L,0.4042166070597157
8Av_L,0.3782673936756279
8Ad_L,0.3865994382020562
9m_L,0.347553603947729
8BL_L,0.3693867639098311
9p_L,0.3688501903818222
10d_L,0.3689652061807671
8C_L,0.3789869749008287
44_L,0.3615592181178458
45_L,0.3705810519379879
47l_L,0.3747354624079035
a47r_L,0.374376414147833
6r_L,0.3717177784264959
IFJa_L,0.404529533161065
IFJp_L,0.4018899189632327
IFSp_L,0.4049384136984548
IFSa_L,0.392753896774401
p9-46v_L,0.3756889892802572
46_L,0.372530223915403
a9-46v_L,0.3767720613361661
9-46d_L,0.3809836845032772
9a_L,0.3692630840588219
10v_L,0.4545972423771608
a10p_L,0.4016310122697206
10pp_L,0.4260622286488246
11l_L,0.4190573103645501
13l_L,0.4662361645661241
OFC_L,0.5166999998038385
47s_L,0.385635767054848
LIPd_L,0.4092017592062012
6a_L,0.4119353079638081
i6-8_L,0.3958357238850608
s6-8_L,0.3798160889583702
43_L,0.3674971643622881
OP4_L,0.3637367519860847
OP1_L,0.3842016072466406
OP2-3_L,0.3993467482815133
52_L,0.4271275207408188
RI_L,0.4260182399171057
PFcm_L,0.3811559723469708
PoI2_L,0.3559066712906
TA2_L,0.3868366735620946
FOP4_L,0.3760161263808383
MI_L,0.359566448799905
Pir_L,0.3338794928283306
AVI_L,0.3758846558228844
AAIC_L,0.3320651660155445
FOP1_L,0.3606756744162552
FOP3_L,0.3898710839654917
FOP2_L,0.3925492552287846
PFt_L,0.3908082016461273
AIP_L,0.4036130605299152
EC_L,0.4085715437265312
PreS_L,0.3781406548418066
H_L,0.4291753797424509
ProS_L,0.4002312645685751
PeEc_L,0.4341217791505055
STGa_L,0.351316889054841
PBelt_L,0.4447653113407923
A5_L,0.3758191282737752
PHA1_L,0.4015383023316902
PHA3_L,0.4232943411426103
STSda_L,0.3960397385917695
STSdp_L,0.4035413913396871
STSvp_L,0.4038419860173081
TGd_L,0.3872743012425782
TE1a_L,0.3859080848323691
TE1p_L,0.3865269399432142
TE2a_L,0.4164896377282118
TF_L,0.4333663274389293
TE2p_L,0.412371622272313
PHT_L,0.3826900994691601
PH_L,0.3956610949493954
TPOJ1_L,0.3913883519118896
TPOJ2_L,0.3948024435213298
TPOJ3_L,0.3972903769340906
DVT_L,0.3969513797316931
PGp_L,0.3718156089180265
IP2_L,0.4032934741004161
IP1_L,0.3990621350633078
IP0_L,0.3893156350386779
PFop_L,0.3674236465360844
PF_L,0.3655881877641947
PFm_L,0.3776042599403285
PGi_L,0.3831680208029394
PGs_L,0.3763936154381767
V6A_L,0.3905449002926955
VMV1_L,0.4336187796881034
VMV3_L,0.4160946835924481
PHA2_L,0.4177572099252167
V4t_L,0.4011722032646073
FST_L,0.3978578721207851
V3CD_L,0.3880522056231537
LO3_L,0.3967875680712019
VMV2_L,0.426885238628015
31pd_L,0.4063886704549244
31a_L,0.3906084227826174
VVC_L,0.4171728701551301
25_L,0.4549952220160097
s32_L,0.4481348028712825
pOFC_L,0.443308362394205
PoI1_L,0.3756884047502387
Ig_L,0.4021081218901208
FOP5_L,0.3907966659705759
p10p_L,0.386276225232737
p47r_L,0.3811035509326405
TGv_L,0.4258946592047068
MBelt_L,0.4413569392259421
LBelt_L,0.4600470878810299
A4_L,0.3971901203602699
STSva_L,0.4196202390241302
TE1m_L,0.3914467936226674
PI_L,0.4069855708514461
a32pr_L,0.3808597514310932
p24_L,0.3686116832839719
V1_R,0.438276927953346
MST_R,0.4140134817936684
V6_R,0.4171838454989655
V2_R,0.4284581335704537
V3_R,0.4177329488761556
V4_R,0.4114487879756367
V8_R,0.4070949583000168
4_R,0.3994694603407062
3b_R,0.4507754802537997
FEF_R,0.4035275523003881
PEF_R,0.4063245981852686
55b_R,0.3915025449385407
V3A_R,0.4018331785729567
RSC_R,0.3899500065310599
POS2_R,0.40397341497039
V7_R,0.4005295264396274
IPS1_R,0.4078554499060485
FFC_R,0.4163377249904957
V3B_R,0.4054401367814783
LO1_R,0.3996052406071302
LO2_R,0.3952570285825593
PIT_R,0.3985947685183609
MT_R,0.4085394334837862
A1_R,0.4607144079254877
PSL_R,0.3662330185463404
SFL_R,0.3786391691718798
PCV_R,0.3941255792128704
STV_R,0.3805335251913067
7Pm_R,0.3896152922896254
7m_R,0.3968248360491659
POS1_R,0.3931101685126036
23d_R,0.4022615185885693
v23ab_R,0.4044820169649316
d23ab_R,0.3983341764455933
31pv_R,0.4095362676836238
5m_R,0.4177194316178907
5mv_R,0.4120448829946229
23c_R,0.4093651691129215
5L_R,0.4025085030981634
24dd_R,0.4017096851551229
24dv_R,0.4113011452196385
7AL_R,0.4003648962768903
SCEF_R,0.3870965078251567
6ma_R,0.396060798269484
7Am_R,0.3860134111254992
7Pl_R,0.3875466027646794
7PC_R,0.4072659931986594
LIPv_R,0.4112603322005602
VIP_R,0.3969636135180766
MIP_R,0.3990206656378351
1_R,0.4219348208643309
2_R,0.421100129290048
3a_R,0.4470114768011345
6d_R,0.412647506265066
6mp_R,0.4117278522386089
6v_R,0.3673750565789133
