region,F1
V1_L,0.49305980156968754
MST_L,-0.11717045921370772
V6_L,0.342832024598295
V2_L,-0.16133959874551113
V3_L,-0.5125701168278198
V4_L,-0.4972239242135018
V8_L,-1.513067384280673
4_L,-1.050747034576785
3b_L,2.0979940004841913
FEF_L,-0.4056913422566637
PEF_L,0.600346223772681
55b_L,-0.0342136949513429
V3A_L,0.7785049387038551
RSC_L,-3.0491569817561173
POS2_L,0.06390213369353591
V7_L,1.646365768631827
IPS1_L,1.582208897970257
FFC_L,-0.5312319390728624
V3B_L,0.13920122399965085
LO1_L,-0.337765449682678
LO2_L,-0.6418838615028555
PIT_L,-0.6436321781134126
MT_L,-0.009261461177294535
A1_L,0.5591280162683181
PSL_L,0.6908821556276228
SFL_L,-1.2539578958450845
PCV_L,-0.9627276875024235
STV_L,0.4046034298207486
7Pm_L,-0.46539543150873147
7m_L,-0.9789724786224262
POS1_L,-1.5244161827330114
23d_L,-1.7647442214638207
v23ab_L,-1.5830222977967598
d23ab_L,-2.1888172102552157
31pv_L,-1.5431570404281563
5m_L,-1.8211303886847388
5mv_L,-1.2657404771689855
23c_L,-0.30006632462029326
5L_L,-0.9622926314143107
24dd_L,-2.09245105488889
24dv_L,-1.7352796028019954
7AL_L,0.26556205590183113
SCEF_L,-2.4266662651424564
6ma_L,-0.2945499064079499
7Am_L,-0.5695680075172672
7Pl_L,0.27781404173185503
7PC_L,0.61979161708507
LIPv_L,1.2001313273767336
VIP_L,0.04615263403247468
MIP_L,0.6081423756433563
1_L,0.12008712841596098
2_L,0.7392258264925577
3a_L,2.4398179810312044
6d_L,-0.5616321890702534
6mp_L,-1.0883550969781077
6v_L,0.32889475117761957
p24pr_L,-1.2577916819898656
33pr_L,-2.9805695295892276
a24pr_L,-1.104900983953729
p32pr_L,-2.024988515092318
a24_L,-0.12990427489301706
d32_L,-1.388124925588908
8BM_L,-2.758071730754615
p32_L,-0.24130739216174832
10r_L,-0.3505613393816885
47m_L,1.9365396168367917
8Av_L,0.1888316302998948
8Ad_L,0.3588335340433736
9m_L,-1.0187162445858562
8BL_L,0.003242603275336826
9p_L,1.2939555480790206
10d_L,1.6535212773576686
8C_L,0.2110927415330617
44_L,0.7317845306340894
45_L,0.7678491188977868
47l_L,1.5156353024833122
a47r_L,1.856274338747516
6r_L,0.5730218584653907
IFJa_L,-0.1867522184662054
IFJp_L,-0.03609773538056457
IFSp_L,0.38638644588336685
IFSa_L,1.1272469564300676
p9-46v_L,0.6100577400990103
46_L,0.6529519180106894
a9-46v_L,1.6881333949748487
9-46d_L,0.8053983743476069
9a_L,1.7940183778453151
10v_L,0.09996658022751076
a10p_L,2.0239855054922393
10pp_L,2.164996953811834
11l_L,1.38754357835487
13l_L,1.1209554086805247
OFC_L,-0.41316986473879647
47s_L,1.4427048182966953
LIPd_L,1.1946658595082904
6a_L,0.279833596504943
i6-8_L,-0.5468449356563567
s6-8_L,0.599634221656394
43_L,0.7908255852379453
OP4_L,0.1201658367467362
OP1_L,-1.0849703531742125
OP2-3_L,-1.0278609366891902
52_L,1.4209836863960355
RI_L,0.250918721174647
PFcm_L,-0.0006822597865691486
PoI2_L,2.02562528032576
TA2_L,-0.1060091883234017
FOP4_L,-0.58496915537979
MI_L,1.7465428361697515
Pir_L,1.1828082917237772
AVI_L,1.1743369728290687
AAIC_L,2.4533474112343794
FOP1_L,-0.3708699697056312
FOP3_L,-0.2689724704280317
FOP2_L,-1.3586796305143098
PFt_L,0.7102100487650337
AIP_L,0.6229782992507782
EC_L,1.0504385039502253
PreS_L,1.439616572346825
H_L,1.2200912279411018
ProS_L,-1.1173985402201816
PeEc_L,0.21660787168310439
STGa_L,1.3799842947734906
PBelt_L,0.08409642982555149
A5_L,1.3009068185630495
PHA1_L,-0.25882789725014155
PHA3_L,-1.4484884333445054
STSda_L,1.4370372262737223
STSdp_L,0.11346747091299006
STSvp_L,0.20937549193263602
TGd_L,1.2350735946915703
TE1a_L,0.9527129556622432
TE1p_L,0.030205510753999763
TE2a_L,-0.0015682757756689052
TF_L,-0.8434850293109019
TE2p_L,-0.9285659072638391
PHT_L,0.11146949014290047
PH_L,-0.7638960380676093
TPOJ1_L,-0.22018184861130288
TPOJ2_L,-0.12803702363483166
TPOJ3_L,0.4961274792628024
DVT_L,-0.9549320881369596
PGp_L,0.5315545605987874
IP2_L,0.042539341202475045
IP1_L,-0.09750060650546617
IP0_L,-0.9086807604059678
PFop_L,0.9600947707617338
PF_L,1.0191653327130983
PFm_L,0.3997468421640357
PGi_L,0.19417909243438067
PGs_L,0.5875302544582792
V6A_L,0.24637565974460687
VMV1_L,-1.0925794333039176
VMV3_L,-2.049188655496573
PHA2_L,-0.9964879413065476
V4t_L,-0.3474211064328513
FST_L,-0.33073155342793
V3CD_L,0.17146605797658596
LO3_L,0.00542348029581918
VMV2_L,-1.3431990040078874
31pd_L,-1.30354815447219
31a_L,-1.6926934241454221
VVC_L,-1.202114509370212
25_L,-1.644381068931883
s32_L,-0.9758014438492155
pOFC_L,0.39520061918183436
PoI1_L,1.695719772789742
Ig_L,0.3410861431866559
FOP5_L,-0.5992811679891504
p10p_L,2.6377649976492226
p47r_L,1.9125779203075606
TGv_L,0.27475883710287935
MBelt_L,-0.18840168485202763
LBelt_L,0.5597508660516608
A4_L,0.5056399384820129
STSva_L,0.6380208546310977
TE1m_L,0.5800356337769116
PI_L,0.6169615381649134
a32pr_L,-1.6051692482833193
p24_L,-0.42135061735228
V1_R,1.0434271691005175
MST_R,-0.46979080253690525
V6_R,1.2009301158986696
