region,dki-md-limited
V1_L,0.0008706732307773
MST_L,0.0008514549416401
V6_L,0.0008724878173363
V2_L,0.0008610282093461
V3_L,0.0008477475069487
V4_L,0.0008442008078231
V8_L,0.0008300534326353
4_L,0.0008388386744844
3b_L,0.0009119441768505
FEF_L,0.0008515554397021
PEF_L,0.0008750308462022
55b_L,0.0008533923536767
V3A_L,0.0008655151703331
RSC_L,0.0008531328511109
POS2_L,0.0008627324128474
V7_L,0.0008778145623663
IPS1_L,0.0008763107397634
FFC_L,0.0008491896879751
V3B_L,0.0008585907232252
LO1_L,0.0008439793688721
LO2_L,0.0008346075693221
PIT_L,0.0008355704746003
MT_L,0.0008509485339305
A1_L,0.0008761299591444
PSL_L,0.0008640681951759
SFL_L,0.000840629460811
PCV_L,0.0008502159395735
STV_L,0.0008576081762003
7Pm_L,0.0008486702691632
7m_L,0.0008539839705961
POS1_L,0.0008670150807622
23d_L,0.00086785282937
v23ab_L,0.0008618466420306
d23ab_L,0.0008520391132727
31pv_L,0.0008539750233745
5m_L,0.0008340029709889
5mv_L,0.0008600658219451
23c_L,0.0008676736325313
5L_L,0.0008417366211005
24dd_L,0.0008480967310848
24dv_L,0.0008668746759178
7AL_L,0.0008532799960741
SCEF_L,0.0008390253719675
6ma_L,0.0008465465691002
7Am_L,0.0008449116180137
7Pl_L,0.0008554929825955
7PC_L,0.0008609527977864
LIPv_L,0.000871051417076
VIP_L,0.0008506024461423
MIP_L,0.0008613984335147
1_L,0.0008542405777778
2_L,0.0008649048798472
3a_L,0.0009046431345365
6d_L,0.0008515187729262
6mp_L,0.0008419519114888
6v_L,0.0008686922929882
p24pr_L,0.0008822174798063
33pr_L,0.0008865132902173
a24pr_L,0.0008936202965021
p32pr_L,0.0008724190290857
a24_L,0.0009362888186208
d32_L,0.000882324787008
8BM_L,0.000845679475246
p32_L,0.0009201683617609
10r_L,0.0009182140040859
47m_L,0.0009249718877256
8Av_L,0.0008608473672313
8Ad_L,0.0008733771376128
9m_L,0.0008806478104257
8BL_L,0.0008620986033113
9p_L,0.0008931936909815
10d_L,0.0009287889871797
8C_L,0.000864902475784
44_L,0.0008877563682157
45_L,0.0008924536564248
47l_L,0.0009088516676186
a47r_L,0.000917339208588
6r_L,0.0008875058216558
IFJa_L,0.000868873327361
IFJp_L,0.0008746725945554
IFSp_L,0.0008797489300517
IFSa_L,0.0008943098687823
p9-46v_L,0.0008773258745366
46_L,0.0008825228980744
a9-46v_L,0.000905789849867
9-46d_L,0.0008949583656961
9a_L,0.000912421857896
10v_L,0.0009097223482463
a10p_L,0.0009320732632961
10pp_L,0.0009356634427845
11l_L,0.000918941051071
13l_L,0.0008958258073877
OFC_L,0.0008336821210994
47s_L,0.000929304153082
LIPd_L,0.0008690352975069
6a_L,0.000860365487233
i6-8_L,0.0008510218599055
s6-8_L,0.0008609193187483
43_L,0.0008900547440369
OP4_L,0.0008752185670708
OP1_L,0.0008644245992453
OP2-3_L,0.0008764738301102
52_L,0.0009178734039589
RI_L,0.0008812539102979
PFcm_L,0.0008682609960572
PoI2_L,0.0009339302749817
TA2_L,0.0008904978986796
FOP4_L,0.0008949053552587
MI_L,0.0009236413772069
Pir_L,0.0009542270156038
AVI_L,0.0009135253447295
AAIC_L,0.0009563563161689
FOP1_L,0.0008926178329453
FOP3_L,0.0008927555230099
FOP2_L,0.0008836668162524
PFt_L,0.0008652681864409
AIP_L,0.0008659284593356
EC_L,0.0009320172779665
PreS_L,0.0009210016245897
H_L,0.0009357539333803
ProS_L,0.0008866093705967
PeEc_L,0.0009082642073878
STGa_L,0.0009046958686699
PBelt_L,0.0008731615692386
A5_L,0.0008782710585484
PHA1_L,0.0009156681669619
PHA3_L,0.0008670130755741
STSda_L,0.0008907207143255
STSdp_L,0.0008617033575822
STSvp_L,0.0008639281293957
TGd_L,0.0009201003834514
TE1a_L,0.0008878269703493
TE1p_L,0.0008502233466746
TE2a_L,0.0008693886270248
TF_L,0.0008674358436596
TE2p_L,0.0008450823167889
PHT_L,0.0008491095870983
PH_L,0.0008387889926898
TPOJ1_L,0.0008511418466288
TPOJ2_L,0.0008513711564834
TPOJ3_L,0.0008628445339792
DVT_L,0.0008582737758813
PGp_L,0.0008590118415976
IP2_L,0.0008594138445915
IP1_L,0.0008530195427754
IP0_L,0.0008454787936302
PFop_L,0.0008694815350212
PF_L,0.0008639408445716
PFm_L,0.0008528138051305
PGi_L,0.0008570503810057
PGs_L,0.0008592027896887
V6A_L,0.0008580962460209
VMV1_L,0.0008704128286026
VMV3_L,0.0008375247156106
PHA2_L,0.0008857486815046
V4t_L,0.0008408292349007
FST_L,0.0008461827905489
V3CD_L,0.0008520230768039
LO3_L,0.000851771009054
VMV2_L,0.0008606994382125
31pd_L,0.000856925269145
31a_L,0.0008475176659054
VVC_L,0.0008586047219301
25_L,0.0008930686826435
s32_L,0.0009086271209269
pOFC_L,0.0008932512031055
PoI1_L,0.0009253562942732
Ig_L,0.0008981237652008
FOP5_L,0.0008853617512635
p10p_L,0.0009330083870887
p47r_L,0.0009036902955359
TGv_L,0.0009016780283465
MBelt_L,0.000884835788373
LBelt_L,0.0008821140342691
A4_L,0.0008656498467574
STSva_L,0.0008879532330306
TE1m_L,0.0008687039831585
PI_L,0.0009164569074552
a32pr_L,0.0008849837646845
p24_L,0.0009186442364552
V1_R,0.0008816866124399
MST_R,0.0008481845531987
V6_R,0.0008725399916628
V2_R,0.0008718813972992
V3_R,0.0008507519716061
V4_R,0.0008429009530895
V8_R,0.0008409015267661
4_R,0.000828330391676
3b_R,0.0009226189930644
FEF_R,0.0008442782841034
PEF_R,0.0008759761653818
55b_R,0.0008480555653947
V3A_R,0.0008525934489521
RSC_R,0.0008726598482902
POS2_R,0.0008590817424491
V7_R,0.0008507745895867
IPS1_R,0.0008438528072312
FFC_R,0.0008509355312113
V3B_R,0.0008473577698964
LO1_R,0.0008399518711024
LO2_R,0.0008296150077049
PIT_R,0.0008299098553688
MT_R,0.0008438571271981
A1_R,0.0008730778370804
PSL_R,0.0008485611749661
SFL_R,0.0008492681370769
PCV_R,0.0008586509728525
STV_R,0.0008492220395285
7Pm_R,0.0008574008571182
7m_R,0.0008645254450368
POS1_R,0.0008708425773323
23d_R,0.0008790081608185
v23ab_R,0.0008736730778951
d23ab_R,0.0008595221753691
31pv_R,0.0008553875709692
5m_R,0.0008449152713738
5mv_R,0.0008690010651246
23c_R,0.0008633414770365
5L_R,0.000843060918799
24dd_R,0.0008631514726599
24dv_R,0.0008742933351811
7AL_R,0.0008394430311469
SCEF_R,0.0008626029801864
6ma_R,0.0008409419523361
7Am_R,0.0008446728787664
7Pl_R,0.0008454403317447
7PC_R,0.0008423279123475
LIPv_R,0.000847827704178
VIP_R,0.0008412571578401
MIP_R,0.0008458640239092
1_R,0.0008402424337803
2_R,0.0008408769559258
3a_R,0.0008832796979708
6d_R,0.0008438876339416
6mp_R,0.0008474707222468
6v_R,0.0008509165493329
p24pr_R,0.0008921754309282
33pr_R,0.0008972531958072
a24pr_R,0.0009055651351397
p32pr_R,0.0008808216747209
a24_R,0.0009503404020715
d32_R,0.0009036236802287
8BM_R,0.0008789788302861
p32_R,0.0009383609804106
10r_R,0.000941792289638
47m_R,0.000925414874817
8Av_R,0.000857325682512
8Ad_R,0.000867245773788
9m_R,0.0009147781041401
8BL_R,0.0008697790455848
9p_R,0.000888861750744
10d_R,0.000940431882817
8C_R,0.0008578250992819
44_R,0.0008818494446138
45_R,0.0008889054882543
47l_R,0.0009017174640405
a47r_R,0.0009194658749343
6r_R,0.0008848017247449
IFJa_R,0.0008681454852627
IFJp_R,0.0008663426288163
IFSp_R,0.0008800201032518
IFSa_R,0.0008978998036638
p9-46v_R,0.0008762473224413
46_R,0.0008898391138112
a9-46v_R,0.0009052315630036
9-46d_R,0.0009011006002132
9a_R,0.0009129257295814
10v_R,0.0009390659100683
a10p_R,0.0009338312597763
10pp_R,0.0009256609991901
11l_R,0.0009201692643039
13l_R,0.0008953372868492
OFC_R,0.0008446964572186
47s_R,0.000915478630356
LIPd_R,0.0008463859353042
6a_R,0.0008503993591307
i6-8_R,0.0008546767963381
s6-8_R,0.0008510776348888
43_R,0.0008733899627005
OP4_R,0.0008679924770312
OP1_R,0.0008670837129134
OP2-3_R,0.000879228781581
52_R,0.000915644862432
RI_R,0.000881465278199
PFcm_R,0.0008575774830683
PoI2_R,0.0009100243518433
TA2_R,0.0009160953859379
FOP4_R,0.0009088564411561
MI_R,0.0009096736889886
Pir_R,0.000945974422548
AVI_R,0.0009083025361147
AAIC_R,0.0009436723818888
FOP1_R,0.0009028478966691
FOP3_R,0.0008989845172925
FOP2_R,0.0008941583783401
PFt_R,0.0008513570252775
AIP_R,0.0008491413505627
EC_R,0.0009399256864222
PreS_R,0.0009441832461487
H_R,0.0009402980415796
ProS_R,0.0009087532635234
PeEc_R,0.0008999866600457
STGa_R,0.0008981882001591
PBelt_R,0.0008685349927686
A5_R,0.0008562903867075
PHA1_R,0.0009146092779052
PHA3_R,0.0008712034822424
STSda_R,0.0008749889850298
STSdp_R,0.000862375021465
STSvp_R,0.0008660921321602
TGd_R,0.0009173372229343
TE1a_R,0.0008802358425177
TE1p_R,0.0008526515469863
TE2a_R,0.000873722829152
TF_R,0.0008683925951361
TE2p_R,0.0008569436522485
PHT_R,0.0008485376842803
PH_R,0.0008415722132846
TPOJ1_R,0.0008477880765798
TPOJ2_R,0.0008473089124978
TPOJ3_R,0.0008470414096715
DVT_R,0.00087155100002
PGp_R,0.0008463858472285
IP2_R,0.0008465389702849
IP1_R,0.000843767429552
IP0_R,0.0008477670714079
PFop_R,0.0008498181658932
PF_R,0.0008437601489237
PFm_R,0.0008397289949623
PGi_R,0.0008458926385772
PGs_R,0.0008388279903221
V6A_R,0.0008553743128839
VMV1_R,0.0008926813859952
VMV3_R,0.0008603768777085
PHA2_R,0.0008839863673435
V4t_R,0.0008358150837109
FST_R,0.0008445436822356
V3CD_R,0.0008416500073435
LO3_R,0.0008445589313962
VMV2_R,0.0008795135900249
31pd_R,0.0008617966274436
31a_R,0.0008557033757055
VVC_R,0.0008697255315719
25_R,0.0009119638111891
s32_R,0.000918806914254
pOFC_R,0.0009018608330481
PoI1_R,0.0009026618081498
Ig_R,0.0008811591899113
FOP5_R,0.0009032407289657
p10p_R,0.0009207976259953
p47r_R,0.0009026633489751
TGv_R,0.0008977240848743
MBelt_R,0.0009028016620822
LBelt_R,0.0008698859654001
A4_R,0.0008523235407978
STSva_R,0.0008849441219794
TE1m_R,0.0008680940522906
PI_R,0.0009298400165018
a32pr_R,0.0008955946327768
p24_R,0.0009354220768023
