region,qiv-limited
IFSa_L,3.051367618473103e-09
p9-46v_L,2.944814546337724e-09
46_L,3.062291519323364e-09
a9-46v_L,3.139252078192189e-09
9-46d_L,3.137937849120486e-09
9a_L,3.1498470034762477e-09
10v_L,2.915869309287542e-09
a10p_L,3.285801581985424e-09
10pp_L,3.1012983754211904e-09
11l_L,3.0690280503007446e-09
13l_L,2.760376172037001e-09
OFC_L,2.3577111247923914e-09
47s_L,3.0584356280741926e-09
LIPd_L,2.8983934755819404e-09
6a_L,2.9149006230513223e-09
i6-8_L,2.859676305003831e-09
s6-8_L,2.8642988139669407e-09
43_L,2.908554792990228e-09
OP4_L,2.848340221670355e-09
OP1_L,2.7466903122976282e-09
OP2-3_L,2.7655911674027904e-09
52_L,3.1459116923284727e-09
RI_L,2.8685528325902214e-09
PFcm_L,2.818406497992706e-09
PoI2_L,3.182713285525789e-09
TA2_L,3.026296913208322e-09
FOP4_L,2.9715558513594043e-09
MI_L,3.2088754838450716e-09
Pir_L,2.982254483342848e-09
AVI_L,3.0666760549585983e-09
AAIC_L,3.240690797811891e-09
FOP1_L,2.8846731590398478e-09
FOP3_L,3.027417356334424e-09
FOP2_L,2.873540044595113e-09
PFt_L,2.9124233007293102e-09
AIP_L,2.86162302606892e-09
EC_L,2.777716549821404e-09
PreS_L,2.764784802318095e-09
H_L,3.14600203525728e-09
ProS_L,2.8252270501946274e-09
PeEc_L,2.847219440446794e-09
STGa_L,3.1464959889581006e-09
PBelt_L,2.895950397456094e-09
A5_L,2.8792175446145674e-09
PHA1_L,2.9141557445812383e-09
PHA3_L,2.822368022823519e-09
STSda_L,2.986726865746708e-09
STSdp_L,2.8826817118684403e-09
STSvp_L,2.9988739138432783e-09
TGd_L,3.108755367135046e-09
TE1a_L,3.0447079060020077e-09
TE1p_L,2.8740162343166676e-09
TE2a_L,2.860098363098755e-09
TF_L,2.684472892852653e-09
TE2p_L,2.7051373528391453e-09
PHT_L,2.8785767052196523e-09
PH_L,2.8100359265978684e-09
TPOJ1_L,2.8205611157047394e-09
TPOJ2_L,2.870435725204436e-09
TPOJ3_L,2.9166542503297555e-09
DVT_L,2.768164665370508e-09
PGp_L,2.877004392615424e-09
IP2_L,2.870095078175653e-09
IP1_L,2.8408953857763235e-09
IP0_L,2.809312769323926e-09
PFop_L,2.934830310980029e-09
PF_L,2.884533728136886e-09
PFm_L,2.8490658402114067e-09
PGi_L,2.892259082693609e-09
PGs_L,2.8786601900356667e-09
V6A_L,2.752571661967457e-09
VMV1_L,2.7059899790408547e-09
VMV3_L,2.676562381882342e-09
PHA2_L,2.8861587353040382e-09
V4t_L,2.7477516771426437e-09
FST_L,2.837696020734581e-09
V3CD_L,2.811943569732173e-09
LO3_L,2.814196103108842e-09
VMV2_L,2.7425201159980393e-09
31pd_L,2.8391172784762397e-09
31a_L,2.8131535846059867e-09
VVC_L,2.6688610178134802e-09
25_L,2.734168209654061e-09
s32_L,2.8571061723148252e-09
pOFC_L,2.6886194291092314e-09
PoI1_L,3.159873243119998e-09
Ig_L,2.9419956353983926e-09
FOP5_L,2.874982278293865e-09
p10p_L,3.206695502261726e-09
p47r_L,3.131483098069576e-09
TGv_L,2.8304561115210164e-09
MBelt_L,2.8487142935355313e-09
LBelt_L,2.8996359790621393e-09
A4_L,2.853656353966785e-09
STSva_L,3.1092575381734035e-09
TE1m_L,2.942921412304028e-09
PI_L,3.2022636622758483e-09
a32pr_L,3.036583644593397e-09
p24_L,3.244888661437535e-09
V1_R,2.784869286401572e-09
MST_R,2.789586196787977e-09
V6_R,2.908974493875997e-09
V2_R,2.7915113570310634e-09
V3_R,2.7350905262272007e-09
V4_R,2.727582445015382e-09
V8_R,2.698927396889028e-09
4_R,2.543059270214679e-09
3b_R,2.851617717784418e-09
FEF_R,2.740868029445215e-09
PEF_R,2.909896139181311e-09
55b_R,2.719702952938913e-09
V3A_R,2.7192226609520012e-09
RSC_R,2.6233065429122453e-09
POS2_R,2.7404816965591852e-09
V7_R,2.6990491332221156e-09
IPS1_R,2.772039246356823e-09
FFC_R,2.6911895261435813e-09
V3B_R,2.8787832784867467e-09
LO1_R,2.786703039043317e-09
LO2_R,2.6826028364970953e-09
PIT_R,2.644614404219597e-09
MT_R,2.7651541560434715e-09
A1_R,2.8519692247870243e-09
PSL_R,2.85668182624444e-09
SFL_R,2.7527422057838607e-09
PCV_R,2.8310100206472475e-09
STV_R,2.8162000434143282e-09
7Pm_R,2.842232789267274e-09
7m_R,2.8737455915068943e-09
POS1_R,2.747003112180738e-09
23d_R,2.9330956999587663e-09
v23ab_R,2.837455434697629e-09
d23ab_R,2.8189554941005303e-09
31pv_R,2.888571138503047e-09
5m_R,2.593802550109043e-09
5mv_R,2.859943896166642e-09
23c_R,2.929251741711449e-09
5L_R,2.68777295972927e-09
24dd_R,2.7750905811832846e-09
24dv_R,2.927061672582506e-09
7AL_R,2.7043657463439404e-09
SCEF_R,2.8069369046710766e-09
6ma_R,2.7070607428486863e-09
7Am_R,2.7706186658648486e-09
7Pl_R,2.720599755275355e-09
7PC_R,2.669542301009834e-09
LIPv_R,2.681874534807667e-09
VIP_R,2.664398285737181e-09
MIP_R,2.7277221584798404e-09
1_R,2.5976411162303024e-09
2_R,2.694687732589576e-09
3a_R,2.857132544455602e-09
6d_R,2.7084927291193322e-09
6mp_R,2.723996277790695e-09
6v_R,2.779518219769882e-09
p24pr_R,3.0705285070521636e-09
33pr_R,2.9710911102391682e-09
a24pr_R,3.153380600626884e-09
p32pr_R,3.000108009782434e-09
a24_R,3.280988564291368e-09
d32_R,3.1080715021674676e-09
8BM_R,2.907352281524713e-09
p32_R,3.2343920642486624e-09
10r_R,3.153886847111398e-09
47m_R,2.9616343119295276e-09
8Av_R,2.8026548772539517e-09
8Ad_R,2.925350526617101e-09
9m_R,3.15093609544779e-09
8BL_R,2.894753058061367e-09
9p_R,3.0469941608648103e-09
10d_R,3.233046242590292e-09
8C_R,2.806680601131774e-09
44_R,2.890969881252426e-09
45_R,2.902739162028884e-09
47l_R,2.965086832915672e-09
a47r_R,3.1505945460040573e-09
6r_R,2.969506688888487e-09
IFJa_R,2.871674364297085e-09
IFJp_R,2.8909684908930983e-09
IFSp_R,2.925547883976038e-09
IFSa_R,3.072352857503695e-09
p9-46v_R,2.925416224201501e-09
46_R,3.065550211984929e-09
a9-46v_R,3.117333737094234e-09
9-46d_R,3.135188321232877e-09
9a_R,3.159857131401129e-09
10v_R,3.0819102989022303e-09
a10p_R,3.2609728843868475e-09
10pp_R,3.054862119681436e-09
11l_R,3.001432265859039e-09
13l_R,2.69158029105173e-09
OFC_R,2.458507878726594e-09
47s_R,2.934780067822414e-09
LIPd_R,2.79501214482699e-09
6a_R,2.834186860035745e-09
i6-8_R,2.821146089932411e-09
s6-8_R,2.780003565736673e-09
43_R,2.841024697711408e-09
OP4_R,2.8359125349781453e-09
OP1_R,2.763551505351525e-09
OP2-3_R,2.81244316335517e-09
52_R,3.1324999049952917e-09
RI_R,2.906512889929673e-09
PFcm_R,2.782702820082871e-09
PoI2_R,3.043180145777129e-09
TA2_R,3.130428369280776e-09
FOP4_R,3.0420036760782903e-09
MI_R,3.1151790637155422e-09
Pir_R,2.991607939026672e-09
AVI_R,3.0001115913670795e-09
AAIC_R,3.20957911458535e-09
FOP1_R,2.938271343704775e-09
FOP3_R,3.0396874541656434e-09
FOP2_R,2.95650369914957e-09
PFt_R,2.865833549141816e-09
AIP_R,2.8143922298417707e-09
EC_R,2.771191402468275e-09
PreS_R,2.868442912661772e-09
H_R,3.1263935162738867e-09
ProS_R,2.913576300743695e-09
PeEc_R,2.784246133990593e-09
STGa_R,3.0877680480206203e-09
PBelt_R,2.897893470870205e-09
A5_R,2.767036976517875e-09
PHA1_R,2.8835164468761926e-09
PHA3_R,2.859919188256953e-09
STSda_R,2.918651870862956e-09
STSdp_R,2.891984612982944e-09
STSvp_R,3.002204977581652e-09
TGd_R,3.051977966704433e-09
TE1a_R,2.980345762338705e-09
TE1p_R,2.8884971112203564e-09
TE2a_R,2.8862145396679962e-09
TF_R,2.675249706854852e-09
TE2p_R,2.739978453799779e-09
PHT_R,2.8970796052626e-09
PH_R,2.7967522829314364e-09
TPOJ1_R,2.83937531576777e-09
TPOJ2_R,2.8402271048262524e-09
TPOJ3_R,2.8354752579869267e-09
DVT_R,2.840894432951204e-09
PGp_R,2.8362766748068527e-09
IP2_R,2.863169319576999e-09
IP1_R,2.829986704753414e-09
IP0_R,2.898810333682861e-09
PFop_R,2.816107341409846e-09
PF_R,2.783738666724693e-09
PFm_R,2.792446397037984e-09
PGi_R,2.8412563883795073e-09
PGs_R,2.786981957102936e-09
V6A_R,2.728172289822975e-09
VMV1_R,2.786276496208043e-09
VMV3_R,2.825771469371909e-09
PHA2_R,2.8709679932934932e-09
V4t_R,2.7317761243179923e-09
FST_R,2.8324963938942887e-09
V3CD_R,2.8121236779347954e-09
LO3_R,2.8069004733960944e-09
VMV2_R,2.863149233467717e-09
31pd_R,2.934459034074076e-09
31a_R,2.834601884106918e-09
VVC_R,2.7330410733856952e-09
25_R,2.8529512330018302e-09
s32_R,2.8728442025705687e-09
pOFC_R,2.697331678486935e-09
PoI1_R,3.046657166012204e-09
Ig_R,2.872010453284866e-09
FOP5_R,2.923649064126241e-09
p10p_R,3.190072031129865e-09
p47r_R,3.0959048063899912e-09
TGv_R,2.8061021568092477e-09
MBelt_R,2.946588492961362e-09
LBelt_R,2.906192594762394e-09
A4_R,2.8097360326003582e-09
STSva_R,3.079697292875768e-09
TE1m_R,2.952343815466596e-09
PI_R,3.28620254575076e-09
a32pr_R,3.102682051198594e-09
p24_R,3.2930420419020526e-09
