region,qiv-limited
V1_L,2.723802338914168e-09
MST_L,2.8335478578730436e-09
V6_L,2.855180835550801e-09
V2_L,2.7428750247495235e-09
V3_L,2.701839944062488e-09
V4_L,2.709842867180953e-09
V8_L,2.605593838057147e-09
4_L,2.6042228043884955e-09
3b_L,2.8313325619220036e-09
FEF_L,2.800796218906936e-09
PEF_L,2.943387577439051e-09
55b_L,2.7914166527507747e-09
V3A_L,2.796220958632848e-09
RSC_L,2.5474934200247912e-09
POS2_L,2.7409324524827093e-09
V7_L,2.8564876700149133e-09
IPS1_L,2.9465910709741113e-09
FFC_L,2.7188314361154523e-09
V3B_L,2.896891537194159e-09
LO1_L,2.768237952788598e-09
LO2_L,2.689574487533717e-09
PIT_L,2.654682579270569e-09
MT_L,2.816384708162128e-09
A1_L,2.849584731488253e-09
PSL_L,2.9256607139626803e-09
SFL_L,2.7250478510178196e-09
PCV_L,2.765549884153101e-09
STV_L,2.837745833266122e-09
7Pm_L,2.7701799713099043e-09
7m_L,2.784464784777068e-09
POS1_L,2.7084463979410562e-09
23d_L,2.8799904367158183e-09
v23ab_L,2.780868169524678e-09
d23ab_L,2.758400598228921e-09
31pv_L,2.845626226767418e-09
5m_L,2.5159343761987263e-09
5mv_L,2.8099661690967676e-09
23c_L,2.958648957243168e-09
5L_L,2.659642688791606e-09
24dd_L,2.659640893970537e-09
24dv_L,2.8757526767520407e-09
7AL_L,2.7356108054479373e-09
SCEF_L,2.6662674464204083e-09
6ma_L,2.739823456983305e-09
7Am_L,2.7196703283069147e-09
7Pl_L,2.7273962662322403e-09
7PC_L,2.727260518495815e-09
LIPv_L,2.7404591278214924e-09
VIP_L,2.691077282065212e-09
MIP_L,2.8171172030871102e-09
1_L,2.668723824376596e-09
2_L,2.787517165703913e-09
3a_L,2.9896576966244842e-09
6d_L,2.738999453073612e-09
6mp_L,2.7127508206769296e-09
6v_L,2.8651119840669166e-09
p24pr_L,3.017682315823406e-09
33pr_L,2.930399694343448e-09
a24pr_L,3.1269649655639484e-09
p32pr_L,2.9340093467771394e-09
a24_L,3.205076028306852e-09
d32_L,3.0186054435947563e-09
8BM_L,2.760767474464747e-09
p32_L,3.135599305008852e-09
10r_L,3.037505856472738e-09
47m_L,3.0097939630003153e-09
8Av_L,2.881303914373848e-09
8Ad_L,3.022815398262868e-09
9m_L,2.9941012935432447e-09
8BL_L,2.861899204561081e-09
9p_L,3.074095769211942e-09
10d_L,3.1501487226127567e-09
8C_L,2.873673185206573e-09
44_L,2.927539017703013e-09
45_L,2.911514846324375e-09
47l_L,3.0436820660680783e-09
a47r_L,3.1625241741786027e-09
6r_L,3.0061204018210155e-09
IFJa_L,2.908439954445949e-09
IFJp_L,2.974872262860918e-09
IFSp_L,2.93932673657644e-09
