region,mkt-limited
V1_L,0.6521323626866687
MST_L,0.6003339527992777
V6_L,0.5956155100471788
V2_L,0.640195625671109
V3_L,0.6218416418713673
V4_L,0.6166605792509816
V8_L,0.6195743242165911
4_L,0.6602104628679576
3b_L,0.6149199901078441
FEF_L,0.606363436672368
PEF_L,0.5719496899033836
55b_L,0.5828649654433943
V3A_L,0.6125895914058096
RSC_L,0.7016191866860395
POS2_L,0.5988107001626569
V7_L,0.6118668136467567
IPS1_L,0.5957109363080365
FFC_L,0.60645649117673
V3B_L,0.5936732508033997
LO1_L,0.5862841253429785
LO2_L,0.5920437187902126
PIT_L,0.6028927479991806
MT_L,0.5986423974583146
A1_L,0.6829439753141666
PSL_L,0.5475126426429736
SFL_L,0.5765572581344837
PCV_L,0.5685257301189214
STV_L,0.5547227688218908
7Pm_L,0.5561220201783408
7m_L,0.581363976219807
POS1_L,0.6429101484952937
23d_L,0.6114487963890449
v23ab_L,0.6280712076386146
d23ab_L,0.6291030070706979
31pv_L,0.6078406927670944
5m_L,0.6238257393017478
5mv_L,0.5817635180144606
23c_L,0.5813351494923364
5L_L,0.562255052845019
24dd_L,0.633817092982958
24dv_L,0.6101777944411029
7AL_L,0.5640572354923415
SCEF_L,0.6058795761062093
6ma_L,0.5850684861306666
7Am_L,0.5490354036959716
7Pl_L,0.5678388672924615
7PC_L,0.5737431564653209
LIPv_L,0.6032315053621577
VIP_L,0.572127711835843
MIP_L,0.5908244035612731
1_L,0.6036765849431538
2_L,0.6111679807958178
3a_L,0.6450139439781895
6d_L,0.6054289325828893
6mp_L,0.6105000058939237
6v_L,0.5511044141688693
p24pr_L,0.5879452355636542
33pr_L,0.6101971790673775
a24pr_L,0.5720795757133054
p32pr_L,0.5944061117334019
a24_L,0.6058895631365072
d32_L,0.5679690279104607
8BM_L,0.5720303634023293
p32_L,0.6015214480658612
10r_L,0.6360175482190011
47m_L,0.6503738065599414
8Av_L,0.5692551317300569
8Ad_L,0.5717878305982875
9m_L,0.5415008116763902
8BL_L,0.5511754640875868
9p_L,0.5443389927909212
10d_L,0.5392718814858526
8C_L,0.5887445592676457
44_L,0.5747340007684296
45_L,0.5939266799805681
47l_L,0.591234555739443
a47r_L,0.5690614789658418
6r_L,0.5591619529784869
IFJa_L,0.5989039153066253
IFJp_L,0.5835258243418007
IFSp_L,0.580545371169154
IFSa_L,0.5698390832065708
p9-46v_L,0.572134943179859
46_L,0.5463019778270422
a9-46v_L,0.55425459987492
9-46d_L,0.5478969395343253
9a_L,0.5339992590831079
10v_L,0.6721718732919724
a10p_L,0.5598388806511894
10pp_L,0.6172704055943108
11l_L,0.6320637629535955
13l_L,0.6950611837713275
OFC_L,0.7546881220579769
47s_L,0.6411853051413191
LIPd_L,0.6001433522693727
6a_L,0.6075494106351693
i6-8_L,0.582882276477828
s6-8_L,0.5762357597432234
43_L,0.5809409985859593
OP4_L,0.5793067183290517
OP1_L,0.6176126127498367
OP2-3_L,0.6449150982421891
52_L,0.6196055901318873
RI_L,0.6371633737196581
PFcm_L,0.5949883527096744
PoI2_L,0.5995215052860297
TA2_L,0.58231182645777
FOP4_L,0.5984311108997065
MI_L,0.5806812524147972
Pir_L,0.6689306896356124
AVI_L,0.6122350992926741
AAIC_L,0.6095161588594261
FOP1_L,0.5967048059436335
FOP3_L,0.6038535513484005
FOP2_L,0.6105222609248389
PFt_L,0.5465239928475881
AIP_L,0.5877256879450943
EC_L,0.7408970322286125
PreS_L,0.738350735396433
H_L,0.670106167272406
ProS_L,0.6566565536915888
PeEc_L,0.6925163003582703
STGa_L,0.5553498921749814
PBelt_L,0.6074462178528934
A5_L,0.5710503467298927
PHA1_L,0.6676796364968722
