region,rtop-limited
PreS_L,266317.606744005
H_L,249862.93796690975
ProS_L,271893.36846454535
PeEc_L,269050.26000971213
STGa_L,222925.63855023836
PBelt_L,244379.26105720887
A5_L,229041.58389306077
PHA1_L,266002.2381887498
PHA3_L,270082.7965113163
STSda_L,223617.9984009824
STSdp_L,236505.2184617941
STSvp_L,227334.777758754
TGd_L,243378.2027500363
TE1a_L,226075.7457156438
TE1p_L,230632.1049781977
TE2a_L,246252.3753403605
TF_L,274427.55328033573
TE2p_L,261845.2513042061
PHT_L,229874.01495123105
PH_L,242003.4429093669
TPOJ1_L,242183.24073242856
TPOJ2_L,237405.88058440277
TPOJ3_L,231827.3167202627
DVT_L,259826.6632130587
PGp_L,230098.2497000493
IP2_L,242442.1195852584
IP1_L,243652.1600994303
IP0_L,249689.9079690916
PFop_L,228225.29332823405
PF_L,229077.54246886415
PFm_L,234480.75391650383
PGi_L,234121.20581051533
PGs_L,230560.50536580407
V6A_L,245271.50880394116
VMV1_L,269576.06521147606
VMV3_L,272429.0116928122
PHA2_L,261057.2853948668
V4t_L,241807.38115254708
FST_L,237668.1870196644
V3CD_L,238390.84615192984
LO3_L,239665.0521353346
VMV2_L,263276.4520845305
31pd_L,257666.41109763453
31a_L,263489.39571312856
VVC_L,269683.48980681645
25_L,295357.94478677073
s32_L,277218.8507952752
pOFC_L,283549.49823217874
PoI1_L,234249.3610338448
Ig_L,251654.00113965516
FOP5_L,261742.14381548853
p10p_L,213030.89133902904
p47r_L,217766.54605472364
TGv_L,264331.34521222394
MBelt_L,256584.21384170803
LBelt_L,243990.79643966805
A4_L,238297.33254908395
STSva_L,224647.86944299116
TE1m_L,227718.21053057312
PI_L,243744.23198856864
a32pr_L,260186.4986025132
p24_L,242565.1187792676
V1_R,244908.9087939634
MST_R,247359.7157698653
V6_R,231083.64752815937
V2_R,247322.56218592095
V3_R,249452.2852837945
V4_R,251744.0669069471
V8_R,254479.5865243803
4_R,275778.2735004459
3b_R,217106.089193487
FEF_R,260733.64307621485
PEF_R,244452.1506214957
55b_R,259841.11165245867
V3A_R,251772.983558585
RSC_R,283560.8789316533
POS2_R,252569.6243530091
V7_R,262847.40876117925
IPS1_R,257815.46770024105
FFC_R,264682.06300445355
V3B_R,241894.64710647016
LO1_R,242248.49236223564
LO2_R,248027.2692602178
PIT_R,252426.85338050555
MT_R,245976.61227916653
A1_R,247678.6919274177
PSL_R,233721.3797018469
SFL_R,259089.0670365701
PCV_R,241479.8303685195
STV_R,239763.4398013015
7Pm_R,235421.77788182985
7m_R,240476.23020004889
POS1_R,272089.2276856864
23d_R,251053.89379902292
v23ab_R,258217.17490361384
d23ab_R,262307.6436721891
31pv_R,251191.50332178373
5m_R,260538.02694284476
5mv_R,238583.50296196484
23c_R,247624.3129956986
5L_R,252574.9555509137
24dd_R,253836.51152001368
24dv_R,249771.3259203337
7AL_R,256361.26918423103
SCEF_R,251715.77061680763
6ma_R,267989.4136591656
7Am_R,243229.30744508147
7Pl_R,249369.96900999136
7PC_R,260248.0726827091
LIPv_R,263424.5119824464
VIP_R,258171.23645853705
MIP_R,255005.09805668236
1_R,264531.4015800654
2_R,267547.9130292951
3a_R,246034.48187253805
6d_R,260436.88873507705
6mp_R,258934.4036210733
6v_R,250178.0081631184
p24pr_R,243261.57373733495
33pr_R,259815.35618978547
a24pr_R,238376.08764635996
p32pr_R,247018.5074767004
a24_R,236318.93135691696
d32_R,236754.9005241888
8BM_R,246836.26956648607
p32_R,237026.42154244328
10r_R,241667.74917551223
47m_R,247864.2822705983
8Av_R,258626.52270201035
8Ad_R,255743.6883908804
9m_R,228075.04897020804
8BL_R,248424.56964741275
9p_R,238441.7195557117
10d_R,216816.62168113427
8C_R,261390.7005614996
44_R,247841.25877313336
45_R,242135.97399400355
47l_R,238844.1574714945
a47r_R,228327.371550622
6r_R,241530.60701224345
IFJa_R,256554.43487534096
IFJp_R,255395.6249914065
IFSp_R,248082.55380669225
IFSa_R,232890.85965820836
p9-46v_R,247471.01879949245
46_R,237135.9774329543
a9-46v_R,228496.67000567663
9-46d_R,232575.18172847733
9a_R,226116.20417447493
10v_R,244692.8527847708
a10p_R,224922.51518112564
10pp_R,238290.9915608612
11l_R,252903.0919439848
13l_R,272174.6827945229
OFC_R,297405.65468272014
47s_R,259489.72994963737
LIPd_R,253025.55525715975
6a_R,259760.62959156375
i6-8_R,255875.83902211217
s6-8_R,263944.94119914994
43_R,252681.68609838403
OP4_R,248224.7106512244
OP1_R,259347.3431438644
OP2-3_R,265963.830550163
52_R,238293.99542847456
RI_R,243872.1864179241
PFcm_R,251871.98359428832
PoI2_R,255049.68683171077
TA2_R,229643.2353868821
FOP4_R,247148.7269218689
MI_R,243962.50101335943
Pir_R,260260.70252678305
AVI_R,258665.903105509
AAIC_R,247318.65911629636
FOP1_R,251157.23493233745
FOP3_R,251134.8304005068
FOP2_R,253211.21598268117
PFt_R,238119.32449883525
AIP_R,253124.45844565047
EC_R,272555.5164300455
PreS_R,250286.13010705123
H_R,254323.75943033505
ProS_R,260197.23172936545
PeEc_R,274978.3110624201
STGa_R,232216.46963418988
PBelt_R,238333.1168026529
A5_R,253432.45344524505
PHA1_R,271040.1001250037
PHA3_R,263304.72899142
STSda_R,254393.6346941067
STSdp_R,250358.006721574
STSvp_R,226499.1265147331
TGd_R,244398.5967334755
TE1a_R,233696.96043181425
TE1p_R,236563.9767546863
TE2a_R,247146.31305858947
TF_R,275673.7121800028
TE2p_R,259355.32569979355
PHT_R,233139.5981838528
PH_R,246474.4188214336
TPOJ1_R,242299.06990946404
TPOJ2_R,239118.0135786034
TPOJ3_R,241841.4326371333
DVT_R,240719.3354522024
PGp_R,236033.51189126036
IP2_R,238660.25079414583
IP1_R,238605.73243700428
IP0_R,225936.15916489373
PFop_R,243974.6348016429
PF_R,245450.94151864052
PFm_R,242328.0412390465
PGi_R,237395.12476839207
PGs_R,241324.47788769696
V6A_R,244783.60584417137
VMV1_R,267760.0028114234
VMV3_R,257093.0193862209
PHA2_R,270333.49538897665
V4t_R,245338.92447232504
FST_R,241284.24219605752
V3CD_R,239476.5883010373
LO3_R,238776.009322904
VMV2_R,261564.2375750298
31pd_R,237135.9361008695
31a_R,249661.8126934209
VVC_R,271606.48774044565
25_R,289409.4047954368
s32_R,272056.0293415925
pOFC_R,285224.2868403237
PoI1_R,257763.64644907
Ig_R,270934.74097814475
FOP5_R,255799.70081826908
p10p_R,228297.3979277912
p47r_R,228154.52553352565
TGv_R,264109.3552047827
MBelt_R,236878.6401804372
LBelt_R,243040.4576575776
A4_R,242243.56847410215
STSva_R,235236.95462736627
TE1m_R,237222.13757577125
PI_R,227425.5892088457
a32pr_R,240052.2950774323
p24_R,230398.7528922077
