region,rtop-limited
V1_L,251117.74811336832
MST_L,241608.85654861527
V6_L,244454.02097363543
V2_L,254267.5700895537
V3_L,254305.1726615669
V4_L,251628.62043227168
V8_L,266002.37705896096
4_L,266992.29482798453
3b_L,233802.052296136
FEF_L,253866.762445082
PEF_L,237234.5198782721
55b_L,248877.1074651185
V3A_L,242838.67408339676
RSC_L,299085.25862250203
POS2_L,253276.6712477873
V7_L,234746.61918775988
IPS1_L,229686.28990215572
FFC_L,251761.58239877387
V3B_L,239892.0697536558
LO1_L,246061.9559182055
LO2_L,247183.31495666923
PIT_L,250150.97555472568
MT_L,239507.3908054984
A1_L,246696.12202538527
PSL_L,229631.59911042333
SFL_L,263275.0289644535
PCV_L,257602.75885005677
STV_L,235113.52834890943
7Pm_L,250685.023454726
7m_L,258630.84437859908
POS1_L,272955.72613696684
23d_L,269863.6924795813
v23ab_L,270604.32553628966
d23ab_L,278064.5201135614
31pv_L,262268.6804711409
5m_L,278378.3109315047
5mv_L,261105.7039383147
23c_L,245836.67890565368
5L_L,263577.10399155854
24dd_L,276268.72363360284
24dv_L,265937.7148908492
7AL_L,249737.83664103004
SCEF_L,277711.66202853725
6ma_L,254279.81713243376
7Am_L,253607.490226384
7Pl_L,246779.03990120697
7PC_L,246381.1103046458
LIPv_L,244407.4657526721
VIP_L,251579.22431203935
MIP_L,243639.26121745937
1_L,253349.0036128249
2_L,245930.08386560171
3a_L,227770.9785489537
6d_L,253891.6561581653
6mp_L,260739.685606372
6v_L,239149.8716052916
p24pr_L,259487.7477169041
33pr_L,281717.7869098397
a24pr_L,251989.5326951265
p32pr_L,268027.17879408103
a24_L,247706.7325565369
d32_L,256327.48709473296
8BM_L,277971.89288985974
p32_L,249594.77516766888
10r_L,257930.9615767456
47m_L,240349.85338042007
8Av_L,243584.172619253
8Ad_L,238277.88649458333
9m_L,251522.43325481587
8BL_L,245084.37894317025
9p_L,227314.8773024107
10d_L,222863.9135803365
8C_L,243614.1181078547
44_L,237219.1312991043
45_L,240022.01189347348
47l_L,230711.25760734832
a47r_L,221490.7565655576
6r_L,234767.15551632745
IFJa_L,248632.2708059754
IFJp_L,242107.80943850783
IFSp_L,241221.60729717131
IFSa_L,228456.89748280385
p9-46v_L,236881.07156120535
46_L,231109.978793787
a9-46v_L,220608.80969451365
9-46d_L,228759.7939826061
9a_L,219728.51425560057
10v_L,263265.91181865754
a10p_L,215025.0416640108
10pp_L,228518.51758686348
11l_L,238528.0025004067
13l_L,262054.9689037987
OFC_L,296039.1008202924
47s_L,247464.3387353678
LIPd_L,236420.1233294669
6a_L,244377.40901735472
i6-8_L,253552.57984194625
s6-8_L,242018.2585821449
43_L,238601.08524134912
OP4_L,245395.89259967828
OP1_L,264736.0521125975
OP2-3_L,268320.16011099034
52_L,237041.08729037968
RI_L,247752.47171879036
PFcm_L,248122.2610695723
PoI2_L,230276.1362497977
TA2_L,247791.6033345466
FOP4_L,254629.00995688143
MI_L,226266.34415996727
Pir_L,258687.54654028156
AVI_L,240121.98955151648
AAIC_L,230309.58931357175
FOP1_L,255562.41585897456
FOP3_L,248796.95510793984
FOP2_L,265544.30024494865
PFt_L,232365.39473707395
AIP_L,241855.4055487523
EC_L,280511.01032587595
