region,rtop
1_R,312248.89561322174
2_R,316145.56384482514
3a_R,295632.3131859049
6d_R,308534.75915456004
6mp_R,306158.62134002143
6v_R,294292.625249177
p24pr_R,300566.83419421304
33pr_R,321556.2537972074
a24pr_R,294232.73915141507
p32pr_R,299371.4607908234
a24_R,301021.50209910446
d32_R,285738.6463425176
8BM_R,287314.97229472274
p32_R,300504.56080134085
10r_R,306620.6885646956
47m_R,305177.7565508356
8Av_R,301542.85860680684
8Ad_R,299465.40902573644
9m_R,272937.08631757204
8BL_R,286129.88618992723
9p_R,276725.46310879826
10d_R,259141.64390037252
8C_R,309825.1667102503
44_R,296065.0473541812
45_R,290400.112573401
47l_R,290536.592020016
a47r_R,277290.5080448177
6r_R,287400.2897960665
IFJa_R,308270.449618318
IFJp_R,308649.8120268795
IFSp_R,296109.1279314573
IFSa_R,280405.91905990103
p9-46v_R,292195.99704808864
46_R,279241.8249092675
a9-46v_R,274465.914995911
9-46d_R,275609.4090681116
9a_R,264703.882909284
10v_R,306220.3751589027
a10p_R,278840.6116172608
10pp_R,298492.11049246753
11l_R,313835.4136903358
13l_R,338233.97626131977
OFC_R,355988.96728463913
47s_R,319765.9233105503
LIPd_R,299285.343353598
6a_R,307337.1089020021
i6-8_R,298837.7437027591
s6-8_R,308659.2708116088
43_R,298616.77878517914
OP4_R,293318.78620335786
OP1_R,313505.11927036376
OP2-3_R,323814.58684503206
52_R,297425.8570448045
RI_R,299225.1333160152
PFcm_R,300541.05736748164
PoI2_R,316926.82398084993
TA2_R,278922.0585108541
FOP4_R,305190.0005526748
MI_R,304301.4548261991
Pir_R,318410.04917391844
AVI_R,319601.7557558091
AAIC_R,306884.9005293146
FOP1_R,301763.3442942194
FOP3_R,313296.5871887259
FOP2_R,309816.147469174
PFt_R,277816.9684892866
AIP_R,298522.31999619934
EC_R,319731.7606338018
PreS_R,296715.8466430895
H_R,314797.87059707503
ProS_R,321042.0208545878
PeEc_R,339504.1960291021
STGa_R,280377.28684179555
PBelt_R,288291.8081577931
A5_R,297209.7221701782
PHA1_R,326851.68621441344
PHA3_R,335160.9728803536
STSda_R,305958.7168628844
STSdp_R,307652.556132571
STSvp_R,273611.65154077474
TGd_R,303125.1138721474
TE1a_R,282529.10784743924
TE1p_R,281398.9226765436
TE2a_R,307139.89117460954
TF_R,340790.6185244514
TE2p_R,316908.9437162091
PHT_R,273032.9520711336
PH_R,292294.333425425
TPOJ1_R,290591.5395639964
TPOJ2_R,282872.48074757005
TPOJ3_R,285430.8028149705
DVT_R,287601.7948639054
PGp_R,271963.1651518226
IP2_R,281651.56429377286
IP1_R,279583.9620804014
IP0_R,266920.26583776367
PFop_R,284110.14948156173
PF_R,284346.4459219171
PFm_R,280621.4491918743
PGi_R,278174.27483548
PGs_R,278167.5702652307
V6A_R,284269.02495570725
VMV1_R,323252.04817033425
VMV3_R,319936.433139719
PHA2_R,341811.5769034623
V4t_R,284490.858910104
FST_R,285264.40551751887
V3CD_R,279275.76661411603
LO3_R,278117.82190072385
VMV2_R,324431.7458577265
31pd_R,294193.15909586457
31a_R,306119.5981454703
VVC_R,329217.2025292127
25_R,352012.59046476963
s32_R,344001.62592867494
pOFC_R,349161.34595774714
PoI1_R,319548.2635372104
Ig_R,331933.5790834376
FOP5_R,311385.0807325413
p10p_R,276849.3249047535
p47r_R,275748.7241009269
TGv_R,326888.61555123894
MBelt_R,290274.9842285457
LBelt_R,302080.4277941029
A4_R,286185.69964548585
STSva_R,290118.2135256192
TE1m_R,287131.8530777691
PI_R,284307.5184284095
a32pr_R,291523.7302092682
p24_R,285028.05472865247
