region,dki-md
V1_L,0.0007861005211813
MST_L,0.0007919061358313
V6_L,0.0008016176257373
V2_L,0.0007838934312731
V3_L,0.0007773501273266
V4_L,0.0007783809763255
V8_L,0.0007724106226911
4_L,0.0007739225039013
3b_L,0.0008250695748634
FEF_L,0.0007933269635735
PEF_L,0.0008164569960468
55b_L,0.0007936343662253
V3A_L,0.0007866882392193
RSC_L,0.0007804644406477
POS2_L,0.0007921510832857
V7_L,0.000800770300752
IPS1_L,0.0008063052133857
FFC_L,0.0007925550724657
V3B_L,0.0007908209164834
LO1_L,0.0007769413700524
LO2_L,0.000774319383016
PIT_L,0.0007731543712099
MT_L,0.0007904176808592
A1_L,0.0008004503335267
PSL_L,0.0008070884806341
SFL_L,0.0007838133803248
PCV_L,0.0007943383651418
STV_L,0.0007977644898734
7Pm_L,0.0007906761349028
7m_L,0.0007967288726404
POS1_L,0.0007922150613237
23d_L,0.0008196237151738
v23ab_L,0.0007959538130766
d23ab_L,0.0007971665232186
31pv_L,0.0007984670327536
5m_L,0.0007642832052929
5mv_L,0.0007997593535651
23c_L,0.0008158300511529
5L_L,0.0007806355504566
24dd_L,0.000789624970167
24dv_L,0.0008165958796375
7AL_L,0.0007881673728863
SCEF_L,0.0007862410139975
6ma_L,0.0007849365276355
7Am_L,0.0007860786020449
7Pl_L,0.000787764052221
7PC_L,0.0007912896024997
LIPv_L,0.000794839722316
VIP_L,0.0007849789409597
MIP_L,0.0007919405375799
1_L,0.0007829175238331
2_L,0.0007920494250816
3a_L,0.0008253500652883
6d_L,0.0007866312728684
6mp_L,0.0007805088432788
6v_L,0.000806490695784
p24pr_L,0.0008380016679125
33pr_L,0.0008402812720002
a24pr_L,0.0008537798541247
p32pr_L,0.0008265302320307
a24_L,0.0008725219674787
d32_L,0.0008363864225549
8BM_L,0.000797268869855
p32_L,0.0008580464180562
10r_L,0.0008496483877774
47m_L,0.000850112424832
8Av_L,0.0008030814263982
8Ad_L,0.0008207725805067
9m_L,0.000830677102164
8BL_L,0.0008024173525911
9p_L,0.0008324165259912
10d_L,0.0008622035478288
8C_L,0.0008098835013663
44_L,0.0008296831247917
45_L,0.0008257195002209
47l_L,0.0008399126414159
a47r_L,0.0008525036015844
6r_L,0.0008328578204602
IFJa_L,0.0008183907537525
IFJp_L,0.0008246396471624
IFSp_L,0.0008251298379628
IFSa_L,0.0008370170695458
p9-46v_L,0.0008207444535864
46_L,0.0008309756133951
a9-46v_L,0.0008498519378274
9-46d_L,0.0008452985495106
9a_L,0.0008511063204239
10v_L,0.000831993813136
a10p_L,0.0008715895808667
10pp_L,0.0008570962438857
11l_L,0.0008497639896495
13l_L,0.0008235060533098
OFC_L,0.0007448922619703
47s_L,0.000853040406687
LIPd_L,0.0008015396843514
6a_L,0.000802680157162
i6-8_L,0.0007983585390545
s6-8_L,0.000800102524849
43_L,0.0008252572986821
OP4_L,0.0008128150148198
OP1_L,0.0008050742377724
OP2-3_L,0.0008096062721783
52_L,0.0008412544569626
RI_L,0.0008100079150215
PFcm_L,0.0008065278790932
PoI2_L,0.0008617717355587
TA2_L,0.0008394773248999
FOP4_L,0.0008413420731464
MI_L,0.0008645080883436
Pir_L,0.0008567957122809
AVI_L,0.0008526431852402
AAIC_L,0.000877602389296
FOP1_L,0.0008310433961783
FOP3_L,0.0008426802254455
FOP2_L,0.0008265930613519
PFt_L,0.0008071724830414
AIP_L,0.0008024796105761
EC_L,0.0008226111094834
PreS_L,0.0008158525813489
H_L,0.0008484364704882
ProS_L,0.0008046366135895
PeEc_L,0.0008282380584025
STGa_L,0.0008493524966281
PBelt_L,0.0008136488701727
A5_L,0.0008155451285491
PHA1_L,0.0008235310561432
PHA3_L,0.0008081889599455
STSda_L,0.0008315533889736
STSdp_L,0.0008082845768062
STSvp_L,0.0008150871134039
TGd_L,0.0008489242531801
TE1a_L,0.0008302470997121
TE1p_L,0.0008006532430943
TE2a_L,0.0008123232221942
TF_L,0.0008039114779424
TE2p_L,0.0007917979100459
PHT_L,0.000795622137195
PH_L,0.000791265304597
TPOJ1_L,0.0007949957136408
TPOJ2_L,0.0007937555565989
TPOJ3_L,0.0008012662849551
DVT_L,0.0007922308104537
PGp_L,0.0007967841477833
IP2_L,0.0007988289610926
IP1_L,0.0007910095789924
IP0_L,0.0007823498794745
PFop_L,0.0008116289632391
PF_L,0.0008037631271759
PFm_L,0.0007943439113764
PGi_L,0.0007982085091321
PGs_L,0.000796810951022
V6A_L,0.0007882743747948
VMV1_L,0.0007927846647552
VMV3_L,0.0007820311067276
PHA2_L,0.0008205352291319
V4t_L,0.0007824229452955
FST_L,0.0007914967182816
V3CD_L,0.0007872289617594
LO3_L,0.000786492044353
VMV2_L,0.0007979921698407
31pd_L,0.000801863097394
