region,rk-limited
V1_L,0.6498954071212161
MST_L,0.5969917338545141
V6_L,0.5971217997407211
V2_L,0.6352197350167018
V3_L,0.6204432867758344
V4_L,0.6172219151824547
V8_L,0.6204526512410823
4_L,0.6593686648207386
3b_L,0.6111466047251135
FEF_L,0.6063958027884644
PEF_L,0.5714147835634703
55b_L,0.5848013709347885
V3A_L,0.6166849515323441
RSC_L,0.6794168273971617
POS2_L,0.6037931766736101
V7_L,0.6146994187620548
IPS1_L,0.5940353557063242
FFC_L,0.6021069287976387
V3B_L,0.5955120204642524
LO1_L,0.58958966559322
LO2_L,0.5944237448112896
PIT_L,0.6041871247887817
MT_L,0.5963046816683777
A1_L,0.659752281494739
PSL_L,0.5524809390736847
SFL_L,0.5673327523895211
PCV_L,0.5673968502869658
STV_L,0.5633714074361243
7Pm_L,0.5601411091352508
7m_L,0.5797744702009509
POS1_L,0.6284284869741872
23d_L,0.5976537184036286
v23ab_L,0.6130761006170974
d23ab_L,0.6123962694217344
31pv_L,0.5909453497616817
5m_L,0.6195590688735263
5mv_L,0.5720954756046367
23c_L,0.5673564457130903
5L_L,0.5621515395175811
24dd_L,0.6262998907833587
24dv_L,0.597794481490014
7AL_L,0.5698086439080347
SCEF_L,0.6009588987860797
6ma_L,0.5784653840449515
7Am_L,0.554499678035058
7Pl_L,0.574415224243531
7PC_L,0.5755807860227163
LIPv_L,0.605998992290665
VIP_L,0.5772142064056425
MIP_L,0.5921509878711231
1_L,0.602675597382349
2_L,0.6113192188251724
3a_L,0.6379510002472999
6d_L,0.6014612298238621
6mp_L,0.6022279845078384
6v_L,0.5518946816712148
p24pr_L,0.5755800515209764
33pr_L,0.607608229151637
a24pr_L,0.5583646553128528
p32pr_L,0.5871587414800008
a24_L,0.5960904613847586
d32_L,0.5688315898873946
8BM_L,0.5682719839380392
p32_L,0.5966365105700804
10r_L,0.6219523687233873
47m_L,0.6417749847191685
8Av_L,0.5657891826862962
8Ad_L,0.5675197773383771
9m_L,0.5397124135147506
8BL_L,0.544516319491746
9p_L,0.5410067133288804
10d_L,0.5350593677454261
8C_L,0.5878137414703408
44_L,0.5712330895496255
45_L,0.5888899767948328
47l_L,0.580111235280482
a47r_L,0.5606317927057424
6r_L,0.555384827680071
IFJa_L,0.5915996059754449
IFJp_L,0.5793520917179917
IFSp_L,0.5720296981501618
IFSa_L,0.5597219531489349
p9-46v_L,0.5692425105554917
46_L,0.543124200225163
a9-46v_L,0.5489027773008351
9-46d_L,0.5450886138543544
9a_L,0.5312366121271889
10v_L,0.6460970847765721
a10p_L,0.5509844222801977
10pp_L,0.6005792562035898
11l_L,0.6193465318958322
13l_L,0.6836795014907179
OFC_L,0.7309220379078599
47s_L,0.6288988399412204
LIPd_L,0.5967897455480797
6a_L,0.6001003802144615
i6-8_L,0.5776918704379386
s6-8_L,0.5697837188452337
43_L,0.5801064662759569
OP4_L,0.5871376718803123
OP1_L,0.6179866859334935
OP2-3_L,0.6380378942628055
52_L,0.602382855280183
RI_L,0.6255195873435808
PFcm_L,0.6006956772930379
PoI2_L,0.588746016995753
TA2_L,0.5677040334498484
FOP4_L,0.5931108142127052
MI_L,0.5721426714528464
Pir_L,0.659610577049721
AVI_L,0.6037200450342788
AAIC_L,0.6052782156165938
FOP1_L,0.5939454813831183
FOP3_L,0.5919883578019357
FOP2_L,0.6040652314540677
PFt_L,0.5505861727325884
AIP_L,0.5855232522886579
EC_L,0.7208873609098414
PreS_L,0.7167057116005604
H_L,0.6401976001192061
ProS_L,0.6313549820193667
PeEc_L,0.666504430422894
STGa_L,0.5414563256587426
