region,msd
V1_L,0.0001430003451042
MST_L,0.0001434172746006
V6_L,0.0001413451841691
V2_L,0.0001415746973024
V3_L,0.0001406678204258
V4_L,0.0001412929187978
V8_L,0.0001374519839383
4_L,0.0001365772996889
3b_L,0.0001430165367727
FEF_L,0.0001409045858009
PEF_L,0.0001439166067917
55b_L,0.0001417139768914
V3A_L,0.0001441077539676
RSC_L,0.0001311805613628
POS2_L,0.0001414952631568
V7_L,0.0001466977941595
IPS1_L,0.0001477573008341
FFC_L,0.0001420147373701
V3B_L,0.000143924276895
LO1_L,0.0001421156830322
LO2_L,0.0001413040002115
PIT_L,0.0001411286682606
MT_L,0.0001437926988042
A1_L,0.0001400470060221
PSL_L,0.0001441261986917
SFL_L,0.0001360840094825
PCV_L,0.0001374699707748
STV_L,0.0001432293259004
7Pm_L,0.000138861885949
7m_L,0.0001377669478555
POS1_L,0.0001371409253906
23d_L,0.0001362318647293
v23ab_L,0.0001360572899786
d23ab_L,0.0001341364609236
31pv_L,0.0001379320481205
5m_L,0.0001350317857172
5mv_L,0.0001368196611913
23c_L,0.0001421007926728
5L_L,0.0001355467113589
24dd_L,0.0001352974109298
24dv_L,0.0001367101041465
7AL_L,0.0001403650845394
SCEF_L,0.0001330428904836
6ma_L,0.0001393041680933
7Am_L,0.0001380720247922
7Pl_L,0.0001410740505554
7PC_L,0.0001415599750631
LIPv_L,0.0001433226187318
VIP_L,0.0001399877628467
MIP_L,0.000143686662318
1_L,0.0001401732169408
2_L,0.0001439474594018
3a_L,0.000148048146483
6d_L,0.0001380012616445
6mp_L,0.0001368746044251
6v_L,0.0001427807485306
p24pr_L,0.0001381398054801
33pr_L,0.0001325485415839
a24pr_L,0.0001383014281136
p32pr_L,0.000135216392091
a24_L,0.0001420882721337
d32_L,0.0001363437504555
8BM_L,0.0001311083910702
p32_L,0.0001412490148236
10r_L,0.0001407125125179
47m_L,0.0001506285004189
8Av_L,0.0001430472144045
8Ad_L,0.0001448323065652
9m_L,0.0001365378364033
8BL_L,0.0001399497101019
9p_L,0.0001457826485004
10d_L,0.0001444999604189
8C_L,0.0001440239227968
44_L,0.0001449689771627
45_L,0.000146173992699
47l_L,0.0001490002945884
a47r_L,0.0001508449978188
6r_L,0.0001437887844158
IFJa_L,0.0001416141750241
IFJp_L,0.0001433194982109
IFSp_L,0.0001427902828816
IFSa_L,0.0001467152165952
p9-46v_L,0.0001451294374842
46_L,0.0001452607402149
a9-46v_L,0.0001493771343162
9-46d_L,0.0001462657400736
9a_L,0.0001471993335251
10v_L,0.0001411972841547
a10p_L,0.0001509646318919
10pp_L,0.0001499454773257
11l_L,0.0001505213266074
13l_L,0.0001497220937013
OFC_L,0.0001357279091457
47s_L,0.0001495441006847
LIPd_L,0.0001467797352151
6a_L,0.0001447798654304
i6-8_L,0.0001407907489978
s6-8_L,0.0001436362922966
43_L,0.0001464310183001
OP4_L,0.0001432412642183
OP1_L,0.0001395851147765
OP2-3_L,0.0001399775816037
52_L,0.0001468201256144
RI_L,0.0001436106552298
PFcm_L,0.0001433009422348
PoI2_L,0.0001502097507824
TA2_L,0.0001389088938057
FOP4_L,0.0001416989275329
MI_L,0.0001482908066308
Pir_L,0.0001469818226851
AVI_L,0.0001483330842933
AAIC_L,0.0001524426795515
FOP1_L,0.0001418611824447
FOP3_L,0.0001444694493538
FOP2_L,0.0001384570693072
PFt_L,0.0001438810723685
AIP_L,0.0001449352702944
EC_L,0.0001417231099743
PreS_L,0.0001404319887755
H_L,0.0001455547711185
ProS_L,0.0001391325842119
PeEc_L,0.0001462738637869
STGa_L,0.0001477006116704
PBelt_L,0.0001409494260751
A5_L,0.0001486994989107
PHA1_L,0.00014240071876
PHA3_L,0.0001395203533491
STSda_L,0.0001512754987319
STSdp_L,0.0001456510431397
STSvp_L,0.0001439070687463
TGd_L,0.0001476925501902
TE1a_L,0.0001475183423704
TE1p_L,0.0001433333485604
TE2a_L,0.0001445838019493
TF_L,0.0001421820600675
TE2p_L,0.0001400958648438
PHT_L,0.000142945543763
PH_L,0.0001409824523622
TPOJ1_L,0.0001427283161961
