region,dki-fa
V1_L,0.1562831396489522
MST_L,0.1543382090001451
V6_L,0.1493631672885702
V2_L,0.1583503168280161
V3_L,0.1584827949742983
V4_L,0.1598967121025026
V8_L,0.1697130246559967
4_L,0.1735963492718265
3b_L,0.1421928846622053
FEF_L,0.1605974484598447
PEF_L,0.1515814564666597
55b_L,0.1643957053172915
V3A_L,0.157970275742998
RSC_L,0.1949394608259901
POS2_L,0.162573075201597
V7_L,0.1576976433258238
IPS1_L,0.1493633164246654
FFC_L,0.1645623972513336
V3B_L,0.1532330731739621
LO1_L,0.1588831241984133
LO2_L,0.1604134839151671
PIT_L,0.1637572759746896
MT_L,0.1542239827514874
A1_L,0.1567486045605689
PSL_L,0.1564667072228623
SFL_L,0.1718323909834943
PCV_L,0.163046033517712
STV_L,0.1632291440498537
7Pm_L,0.1638731091701124
7m_L,0.1630881312532376
POS1_L,0.1775681853606571
23d_L,0.1623665468965215
v23ab_L,0.1732647319597388
d23ab_L,0.1712320212854802
31pv_L,0.1623051230031986
5m_L,0.1656092202791838
5mv_L,0.1514930953716152
23c_L,0.1560136526777197
5L_L,0.1601377140310159
24dd_L,0.1675509550166818
24dv_L,0.159411692261511
7AL_L,0.1608474985410879
SCEF_L,0.1724830966420661
6ma_L,0.1671287175808521
7Am_L,0.1636629389277253
7Pl_L,0.1647088116177466
7PC_L,0.1587683094160088
LIPv_L,0.1597077894451662
VIP_L,0.163172079000906
MIP_L,0.1577707235005586
1_L,0.1616313513040702
2_L,0.1576656234360162
3a_L,0.1425511775078919
6d_L,0.1617969761782917
6mp_L,0.163572648105142
6v_L,0.1694004470072171
p24pr_L,0.1659911689599668
33pr_L,0.1833722634761011
a24pr_L,0.1568654873138324
p32pr_L,0.1594610052978217
a24_L,0.1662191291879286
d32_L,0.170595266966101
8BM_L,0.1757213838210258
p32_L,0.1654016420050535
10r_L,0.1607218236925469
47m_L,0.1652649217249495
8Av_L,0.1625617905372447
8Ad_L,0.157816475896118
9m_L,0.1753312552616948
8BL_L,0.168265405843872
9p_L,0.1605420297020446
10d_L,0.1625570189653727
8C_L,0.1626115704071375
44_L,0.1710745034312883
45_L,0.1713457775549063
47l_L,0.1733590739753521
a47r_L,0.1679428792503785
6r_L,0.1638271758125646
IFJa_L,0.1569607716503371
IFJp_L,0.1531010660777245
IFSp_L,0.1554457248792297
IFSa_L,0.157416314754221
p9-46v_L,0.1634411561953616
46_L,0.1608108411030998
a9-46v_L,0.1602880774206503
9-46d_L,0.1565889938662155
9a_L,0.1591413592288806
10v_L,0.1691758923112936
a10p_L,0.1514899267740286
10pp_L,0.1624820493994617
11l_L,0.1609244295899796
13l_L,0.1574679305928782
OFC_L,0.184160883338324
47s_L,0.1793834635329607
LIPd_L,0.1524841870355204
6a_L,0.1530981928912852
i6-8_L,0.1594631302369524
s6-8_L,0.1648519342193165
43_L,0.1729323155532053
OP4_L,0.1714987811928174
OP1_L,0.1702134502218956
OP2-3_L,0.1682107723328506
52_L,0.1548895245883271
RI_L,0.1554179497053577
PFcm_L,0.1638572892127629
PoI2_L,0.1838146742508153
TA2_L,0.1714939400045717
FOP4_L,0.1684818820985245
MI_L,0.1729020955423462
Pir_L,0.2102749201023202
AVI_L,0.17104254690278
AAIC_L,0.1996599210585155
FOP1_L,0.1787487471405494
FOP3_L,0.1620714569263005
FOP2_L,0.1639748590335476
PFt_L,0.15106918385415
AIP_L,0.1537730382113363
EC_L,0.1917225366099033
PreS_L,0.2135908851793236
H_L,0.1665039464049425
ProS_L,0.1797065001074193
PeEc_L,0.1691432351169604
STGa_L,0.1809979348919801
PBelt_L,0.1466621853298015
A5_L,0.1672458058851676
PHA1_L,0.1785714151513851
PHA3_L,0.1637872707303976
STSda_L,0.1590116585317228
STSdp_L,0.1556374622287336
STSvp_L,0.1503420684202433
TGd_L,0.1784747210447304
TE1a_L,0.1654791315388925
TE1p_L,0.1619877827944248
TE2a_L,0.1692834562101984
TF_L,0.1692024381336836
TE2p_L,0.1691316857009867
PHT_L,0.1609321922034341
PH_L,0.1597112574652232
TPOJ1_L,0.1598524537551861
TPOJ2_L,0.1576441065535709
TPOJ3_L,0.1544884041023388
DVT_L,0.1615788144053394
PGp_L,0.1642687805432954
IP2_L,0.1524468206665
IP1_L,0.1545737679820763
IP0_L,0.1571431273093613
PFop_L,0.160264738296913
PF_L,0.1624432249440133
PFm_L,0.1617095951923173
PGi_L,0.1587127374168663
PGs_L,0.1626646277146484
V6A_L,0.161289191143555
VMV1_L,0.167372830307573
VMV3_L,0.1668715745678153
PHA2_L,0.1627324229223032
V4t_L,0.1582816923415282
FST_L,0.157839049235713
V3CD_L,0.1585452105668516
LO3_L,0.1581442621435587
VMV2_L,0.1603354497937023
31pd_L,0.1589892449006455
31a_L,0.1671729199362857
VVC_L,0.1690778749315132
25_L,0.1801358265528098
s32_L,0.1584428119765001
pOFC_L,0.1830128470945108
PoI1_L,0.1768592731803455
Ig_L,0.1650116062248781
FOP5_L,0.1652239026169721
p10p_L,0.1565001024654931
p47r_L,0.1592033888441013
TGv_L,0.1763332510873161
MBelt_L,0.1608913167779314
LBelt_L,0.1493700700651473
A4_L,0.1595588600343417
STSva_L,0.1483007979220393
TE1m_L,0.1635919609503271
PI_L,0.1616680559642269
a32pr_L,0.1622119109417642
p24_L,0.1658483179223439
V1_R,0.1534577042718043
MST_R,0.1521852990095103
V6_R,0.1485927452660367
V2_R,0.1570019521665094
V3_R,0.1546317318514568
V4_R,0.1550153658317139
V8_R,0.1617349864167831
4_R,0.1767818080019265
3b_R,0.1396892997881345
FEF_R,0.1616919315576196
PEF_R,0.1529518926290291
55b_R,0.1632279107919074
V3A_R,0.1572499388665803
RSC_R,0.1933563901502023
POS2_R,0.1580300267525148
V7_R,0.1558263995989866
IPS1_R,0.1488980371898366
FFC_R,0.1627611529867961
V3B_R,0.1481239394919399
LO1_R,0.1534186214277454
LO2_R,0.1593350795134752
PIT_R,0.161225186088171
MT_R,0.1523818552036079
A1_R,0.1553280371194407
PSL_R,0.1621603316107107
SFL_R,0.1720532536628249
PCV_R,0.1606113926030283
STV_R,0.1609791301705096
7Pm_R,0.1596891897317976
7m_R,0.1604680386726733
POS1_R,0.1765744430076784
23d_R,0.1652326941727527
v23ab_R,0.1725876422799315
d23ab_R,0.1701093456684629
31pv_R,0.1589051308552335
5m_R,0.1641683718096042
5mv_R,0.1541071490983629
23c_R,0.1547563803372269
5L_R,0.1589631420073513
24dd_R,0.1647944825040379
24dv_R,0.1575079485065903
7AL_R,0.155970990854964
SCEF_R,0.1681760794185321
6ma_R,0.1657391326975532
7Am_R,0.1613861379204694
7Pl_R,0.1599534256067055
7PC_R,0.1554570878875145
LIPv_R,0.1554498955881978
VIP_R,0.1581148498163189
MIP_R,0.155445812449476
1_R,0.1558886901512491
2_R,0.1551188685207812
3a_R,0.1459046511544145
6d_R,0.1616086142556893
6mp_R,0.1614914738944753
6v_R,0.1702900883878422
p24pr_R,0.166642887372982
33pr_R,0.1845322470598647
a24pr_R,0.1640789750015852
p32pr_R,0.1539247881282454
a24_R,0.1614929346606088
d32_R,0.1651669647846851
