region,myl
V1_L,0.9737499504687686
MST_L,0.8882392851036531
V6_L,0.9405409834193076
V2_L,0.948947361431145
V3_L,0.9282374964347476
V4_L,0.8977157334746777
V8_L,0.8925975017974688
4_L,1.0040839094366254
3b_L,0.9666973268001862
FEF_L,0.9315847218108612
PEF_L,0.902891723978814
55b_L,0.908749365580523
V3A_L,0.933069370682278
RSC_L,1.013696129779539
POS2_L,0.895123225752367
V7_L,0.9029299865013916
IPS1_L,0.8741065885474522
FFC_L,0.8506925219536465
V3B_L,0.8972010353975046
LO1_L,0.8770500032158797
LO2_L,0.8684778137769522
PIT_L,0.8651461384519006
MT_L,0.8838636401928006
A1_L,1.064923752473007
PSL_L,0.8514326521034274
SFL_L,0.8590336503934968
PCV_L,0.8644830416625298
STV_L,0.8529322392133197
7Pm_L,0.8615121685565763
7m_L,0.8864879948352239
POS1_L,0.904116121019692
23d_L,0.8814529479493485
v23ab_L,0.9142440651467189
d23ab_L,0.9141295905480342
31pv_L,0.8835397706902179
5m_L,0.9320040396542132
5mv_L,0.8606304511314351
23c_L,0.848353491898235
5L_L,0.8732333345404473
24dd_L,0.9117779876022528
24dv_L,0.8581606870249088
7AL_L,0.8597411800981387
SCEF_L,0.875978721707718
6ma_L,0.8574809909301742
7Am_L,0.8496752249266895
7Pl_L,0.8730511795387907
7PC_L,0.8719812592447698
LIPv_L,0.879095653734604
VIP_L,0.8784618665348105
MIP_L,0.8682072684820387
1_L,0.9412154453996774
2_L,0.8904391585352184
3a_L,0.9700575602287412
6d_L,0.9416546884384326
6mp_L,0.9197162455499044
6v_L,0.9084671661026876
p24pr_L,0.8319384232659
33pr_L,0.8382063167781801
a24pr_L,0.8139578231069813
p32pr_L,0.8440305474571633
a24_L,0.812562342440371
d32_L,0.8362304936256006
8BM_L,0.8502648896200802
p32_L,0.8231847820109763
10r_L,0.8390490870113114
47m_L,0.8822916398766127
8Av_L,0.8753302921401015
8Ad_L,0.8473513678792017
9m_L,0.8361948462255576
8BL_L,0.8475831235315141
9p_L,0.8337284644296876
10d_L,0.8406012201471063
8C_L,0.879769734669016
44_L,0.8826888398746535
45_L,0.8876847515202868
47l_L,0.8637764790152447
a47r_L,0.8346555229187768
6r_L,0.8801416979169818
IFJa_L,0.9164018265541828
IFJp_L,0.8954234362679667
IFSp_L,0.918530346917162
IFSa_L,0.8818541985509041
p9-46v_L,0.8753526738576443
46_L,0.8565569355476657
a9-46v_L,0.8646779367521671
9-46d_L,0.8554535600858604
9a_L,0.8339031678969091
10v_L,0.8157651569477277
a10p_L,0.8434784082393144
10pp_L,0.800155785801036
11l_L,0.8076825580151198
13l_L,0.833401636312985
OFC_L,0.8117814786454528
47s_L,0.8552972812170239
LIPd_L,0.8770169067007043
6a_L,0.8791152803337985
i6-8_L,0.8924253788618659
s6-8_L,0.8444069380082184
43_L,0.8913284010857876
OP4_L,0.879532996303573
OP1_L,0.9064997837649308
OP2-3_L,0.906229239470675
52_L,0.8916717642860562
RI_L,0.9302246635024042
PFcm_L,0.8781910629931111
PoI2_L,0.8745171129846265
TA2_L,0.8854502108430536
FOP4_L,0.8525216832089612
MI_L,0.8448133027413858
Pir_L,0.9513311483469612
AVI_L,0.8583680681870686
AAIC_L,0.8408532175542573
FOP1_L,0.8809528435045729
FOP3_L,0.8464705356414326
FOP2_L,0.8627367332968819
PFt_L,0.8658756539620656
AIP_L,0.8729779888226312
EC_L,0.8957693194216079
PreS_L,1.035355840304899
H_L,0.8735596379072919
ProS_L,0.9041486286755872
PeEc_L,0.8100432374647382
STGa_L,0.8212965969541808
PBelt_L,0.9610243884366824
A5_L,0.867790975340514
PHA1_L,0.8677297144459089
PHA3_L,0.850691816285755
STSda_L,0.8327979860790242
STSdp_L,0.845037162089584
STSvp_L,0.841352575884473
TGd_L,0.7852427290124833
TE1a_L,0.8199628754480892
TE1p_L,0.8098030097601366
TE2a_L,0.7984103265146202
TF_L,0.8122433588071356
TE2p_L,0.8111900619186637
PHT_L,0.8157384230079585
PH_L,0.8290316437845966
TPOJ1_L,0.8599016417949235
TPOJ2_L,0.8586569949143656
TPOJ3_L,0.842325053155401
DVT_L,0.8972464775370124
PGp_L,0.8311512905405576
IP2_L,0.8744027076384667
IP1_L,0.8734019226062265
IP0_L,0.8699895303975091
PFop_L,0.8617005153574531
PF_L,0.8361936149622344
PFm_L,0.8417440509203242
PGi_L,0.8254347033120166
PGs_L,0.8267880361899458
V6A_L,0.9177457232577276
VMV1_L,0.8998082345547729
VMV3_L,0.900431455895291
PHA2_L,0.8208855875319263
V4t_L,0.8602545162406922
FST_L,0.8384823667718575
V3CD_L,0.8641796759804927
LO3_L,0.8599284690069797
VMV2_L,0.8656640831679944
31pd_L,0.8641241377001321
31a_L,0.8619213736799324
VVC_L,0.8788215445117897
25_L,0.8235767731665504
s32_L,0.7950849959886341
pOFC_L,0.8989775128356574
PoI1_L,0.8623284473270412
Ig_L,0.9063850215265148
FOP5_L,0.8800140862114761
p10p_L,0.84248706361184
p47r_L,0.8612453036710983
TGv_L,0.7821919476766255
MBelt_L,0.986408267140439
LBelt_L,0.9999604080818004
A4_L,0.919495919966274
STSva_L,0.8300104549024645
TE1m_L,0.8293831861762306
PI_L,0.8391538744079245
a32pr_L,0.835881148341296
p24_L,0.8154622856083393
V1_R,1.0061525186626574
MST_R,0.9432226121288884
V6_R,0.9660006091137524
V2_R,0.9852058920391332
V3_R,0.963452063712358
V4_R,0.9412979506487849
V8_R,0.9302058586216834
4_R,1.010921831384998
3b_R,0.934578806137135
