region,dki-fa-limited
V1_L,0.1559886780294665
MST_L,0.1540747536647202
V6_L,0.1488002617927037
V2_L,0.1584697976479341
V3_L,0.1576022851225569
V4_L,0.1589327175446993
V8_L,0.1706983852239821
4_L,0.1756761938539445
3b_L,0.1436796295650358
FEF_L,0.1619632048696098
PEF_L,0.1537470915701264
55b_L,0.1666373297338707
V3A_L,0.154847569166861
RSC_L,0.2042632871234799
POS2_L,0.1622668676262402
V7_L,0.1544412278447789
IPS1_L,0.1473134136191355
FFC_L,0.1671313394128114
V3B_L,0.1508610909635072
LO1_L,0.1577559535623467
LO2_L,0.160413526542464
PIT_L,0.1631009333871731
MT_L,0.1534751138103438
A1_L,0.163421086005828
PSL_L,0.1567114046618199
SFL_L,0.1749752539603108
PCV_L,0.1646032768300512
STV_L,0.1630783265774076
7Pm_L,0.1642708752007714
7m_L,0.1657555854616562
POS1_L,0.1829714599673354
23d_L,0.1708859744045211
v23ab_L,0.1808961366627757
d23ab_L,0.1804487765010661
31pv_L,0.1665109134181247
5m_L,0.1678604026612018
5mv_L,0.1540219708666334
23c_L,0.1599888496954614
5L_L,0.16129012832527
24dd_L,0.1715823208049738
24dv_L,0.163575942861716
7AL_L,0.1600312353319742
SCEF_L,0.1760332759699258
6ma_L,0.1695633729957659
7Am_L,0.1642582481732216
7Pl_L,0.1636948601458146
7PC_L,0.1589696889156107
LIPv_L,0.1585156735896156
VIP_L,0.1627975621719203
MIP_L,0.1554223227215942
1_L,0.1635610941977507
2_L,0.1568741731429492
3a_L,0.1419311180077087
6d_L,0.1654911791264754
6mp_L,0.1667649288503527
6v_L,0.1721700090039459
p24pr_L,0.1726490662595508
33pr_L,0.1932245177403634
a24pr_L,0.1644144166269781
p32pr_L,0.1637352610965636
a24_L,0.1756333555895441
d32_L,0.1733359658537854
8BM_L,0.1789319069580131
p32_L,0.1702003149335537
10r_L,0.1677369859031623
47m_L,0.1704420229763342
8Av_L,0.1648579228110337
8Ad_L,0.1577770149200737
9m_L,0.1786041638678289
8BL_L,0.1713169704381029
9p_L,0.1607371830908497
10d_L,0.1652733736780736
8C_L,0.1634372946906746
44_L,0.1736621048385651
45_L,0.1731600954833057
47l_L,0.1767644372806291
a47r_L,0.1716083895131207
6r_L,0.166874993184058
IFJa_L,0.1591624039274151
IFJp_L,0.155733797058834
IFSp_L,0.1584203981754915
IFSa_L,0.1594650413591531
p9-46v_L,0.1646628045648427
46_L,0.1622998474230086
a9-46v_L,0.1621518939968813
9-46d_L,0.1581483155375615
9a_L,0.1592371508766225
10v_L,0.1801840494631768
a10p_L,0.1556864912797934
10pp_L,0.1681887396704114
11l_L,0.1672424466522256
13l_L,0.1664051589669436
OFC_L,0.19310469822342
47s_L,0.1864402720403526
LIPd_L,0.1517819837262874
6a_L,0.1543766143721157
i6-8_L,0.1625688161563194
s6-8_L,0.1662654516207564
43_L,0.17448045406975
OP4_L,0.1717088963921159
OP1_L,0.1738148706927097
OP2-3_L,0.1730663750670561
52_L,0.1622895583808553
RI_L,0.1589722777877475
PFcm_L,0.1652117871450768
PoI2_L,0.1915398221560974
TA2_L,0.180170267216634
