region,mk
V1_L,0.5887063233125989
MST_L,0.5416272768189858
V6_L,0.5525793197734661
V2_L,0.5831536198133171
V3_L,0.5602392753889611
V4_L,0.5511967473798836
V8_L,0.5660757869446621
4_L,0.6063292660124189
3b_L,0.5548575289770772
FEF_L,0.5548737355558544
PEF_L,0.5277731863636979
55b_L,0.5350556439284668
V3A_L,0.5450050940075846
RSC_L,0.675766017343256
POS2_L,0.5502777763794819
V7_L,0.544922090437346
IPS1_L,0.5365268077004993
FFC_L,0.5630163850874077
V3B_L,0.5404663685144616
LO1_L,0.5309296741376712
LO2_L,0.5269562790004024
PIT_L,0.5382147352706532
MT_L,0.5330331036146865
A1_L,0.6529485556409159
PSL_L,0.5102660977677625
SFL_L,0.5262456816505228
PCV_L,0.5375119893025809
STV_L,0.5130642488285325
7Pm_L,0.5221413657291786
7m_L,0.5530060832119768
POS1_L,0.6093310759459638
23d_L,0.597938519426659
v23ab_L,0.6101452596546866
d23ab_L,0.6121725367055193
31pv_L,0.5839520201998254
5m_L,0.5873729127820442
5mv_L,0.556651726965605
23c_L,0.5615947820229608
5L_L,0.5262402486626759
24dd_L,0.5938967194812678
24dv_L,0.5754643375227279
7AL_L,0.5169741686979483
SCEF_L,0.5591064441022092
6ma_L,0.5275935568038501
7Am_L,0.5146377324715283
7Pl_L,0.5214323597367834
7PC_L,0.5256545702256228
LIPv_L,0.5473264533724125
VIP_L,0.5222119205617046
MIP_L,0.5381916016301102
1_L,0.5512614135476095
2_L,0.5556970325695065
3a_L,0.5781658649675624
6d_L,0.5494944419920208
6mp_L,0.5544883473690849
6v_L,0.520689407238768
p24pr_L,0.5718725519010947
33pr_L,0.6031369870448194
a24pr_L,0.5562687752912062
p32pr_L,0.5670169361571633
a24_L,0.5912400167706017
d32_L,0.5438609744517016
8BM_L,0.5376549215555839
p32_L,0.5813952410384566
10r_L,0.6155320764050844
47m_L,0.6084562390029341
8Av_L,0.5235742988276395
8Ad_L,0.5294891287254471
9m_L,0.5178338086067226
8BL_L,0.5025929581600306
9p_L,0.5044541453352854
10d_L,0.517202604786152
8C_L,0.5431274373298125
44_L,0.5420996440035359
45_L,0.5612793607006126
47l_L,0.5671978210562818
a47r_L,0.5412228277685778
6r_L,0.5318917439222888
IFJa_L,0.5637071498442805
IFJp_L,0.5482503741136294
IFSp_L,0.5456729329973051
IFSa_L,0.5333290931249237
p9-46v_L,0.5320058237447554
46_L,0.5139469857902452
a9-46v_L,0.5203298398667866
9-46d_L,0.5173209075306264
9a_L,0.5013049794740966
10v_L,0.6464458375795735
a10p_L,0.5320374120653288
10pp_L,0.5869030125016548
11l_L,0.5984992270805825
13l_L,0.6505940848360224
OFC_L,0.6913705212714976
47s_L,0.6202839833033124
LIPd_L,0.5476208067777669
6a_L,0.5531084543328935
i6-8_L,0.5421519772439407
s6-8_L,0.5268066615179734
43_L,0.5495217640347723
OP4_L,0.5435435954080505
OP1_L,0.5792014938694895
OP2-3_L,0.6067056293623474
52_L,0.6177199700002063
RI_L,0.5976984563888181
PFcm_L,0.5503586514768677
PoI2_L,0.5892803501425055
TA2_L,0.5760088868747042
FOP4_L,0.5803879553270594
MI_L,0.5698559104277524
Pir_L,0.6500421648288508
AVI_L,0.5959366046326688
AAIC_L,0.5972569784346011
FOP1_L,0.5745559841174237
FOP3_L,0.5794448699984406
FOP2_L,0.5843714136886019
PFt_L,0.5109439649755498
AIP_L,0.5437429627828412
EC_L,0.6846683929929815
PreS_L,0.7006311647262835
H_L,0.6456010997764337
ProS_L,0.6316597965854652
PeEc_L,0.6593588088190623
STGa_L,0.5419328828274285
PBelt_L,0.5778851827953885
A5_L,0.5342317751902622
PHA1_L,0.6510641123100265
PHA3_L,0.6200441007313547
STSda_L,0.5468977417274509
STSdp_L,0.5443383138808183
STSvp_L,0.5235819102092372
TGd_L,0.6038874768806475
TE1a_L,0.5455236598385179
TE1p_L,0.514796009521644
TE2a_L,0.5890140771809715
TF_L,0.6395481538780463
TE2p_L,0.5855573785623995
PHT_L,0.502566008215223
PH_L,0.5252037386059387
TPOJ1_L,0.5353549181072976
TPOJ2_L,0.5199941996021635
TPOJ3_L,0.5128665674169673
DVT_L,0.551189766003251
PGp_L,0.5007490727689181
IP2_L,0.5294936124482659
IP1_L,0.5260705249582679
IP0_L,0.5267590382409794
PFop_L,0.5078779499578943
PF_L,0.5040562165989857
PFm_L,0.5034717824747985
PGi_L,0.5149465407397408
PGs_L,0.5001286738186512
V6A_L,0.5267755952225585
VMV1_L,0.6381051284146004
VMV3_L,0.5998282788977143
PHA2_L,0.6104368892992973
V4t_L,0.5222188216704301
FST_L,0.5194065985003816
V3CD_L,0.5177095101721724
LO3_L,0.5166046498992148
VMV2_L,0.6020912903211517
31pd_L,0.5617202891997334
31a_L,0.5607958506269095
VVC_L,0.6145677124161605
25_L,0.6966781222394176
s32_L,0.6781633917067356
pOFC_L,0.6803907924070607
PoI1_L,0.5994713246332967
Ig_L,0.6100985647002627
FOP5_L,0.5975583775252127
p10p_L,0.527816253630562
p47r_L,0.5248427998297283
TGv_L,0.6364561105228324
MBelt_L,0.6347396421768254
LBelt_L,0.6201345376643758
A4_L,0.5393706516542103
STSva_L,0.5475820984268748
TE1m_L,0.5361699274332032
PI_L,0.5984919560290731
a32pr_L,0.5537982739421186
p24_L,0.5453767192105324
V1_R,0.59500065399688
MST_R,0.5407105486439094
V6_R,0.5597977139218027
V2_R,0.5897776632489078
V3_R,0.5581026622405976
V4_R,0.5493176164919074
V8_R,0.5673431558154169
4_R,0.609741430355528
3b_R,0.563665517212449
FEF_R,0.5527729047175365
PEF_R,0.535627749507992
55b_R,0.531312787110924
V3A_R,0.5413210102478345
RSC_R,0.6783816797790975
POS2_R,0.546769826324554
V7_R,0.5356364506050396
IPS1_R,0.5328774903067289
FFC_R,0.5760325652717622
V3B_R,0.5355159918194694
LO1_R,0.5275891291851382
LO2_R,0.5264795980390926
PIT_R,0.5343906334431068
MT_R,0.5273452881745596
A1_R,0.6408860160277468
PSL_R,0.4956222164600216
SFL_R,0.5284342514608232
PCV_R,0.5418215497297463
STV_R,0.514602154753927
7Pm_R,0.5216813696949814
7m_R,0.5584772740173873
POS1_R,0.612570075986699
23d_R,0.5985455981938329
v23ab_R,0.6224557663237542
d23ab_R,0.6063701851142607
31pv_R,0.5838195768977604
5m_R,0.5868020067301645
5mv_R,0.5598287728384261
23c_R,0.5662894445223599
5L_R,0.5253027622178741
24dd_R,0.5962622879685414
24dv_R,0.5819103187990855
7AL_R,0.5100942878429897
SCEF_R,0.56473697073425
6ma_R,0.5349732446201635
7Am_R,0.5135085877624898
7Pl_R,0.5153060457517865
7PC_R,0.5147415595379309
LIPv_R,0.5407741774633315
VIP_R,0.5158487917569377
MIP_R,0.5236118241391596
1_R,0.5416100348322193
2_R,0.5561620786088388
3a_R,0.5886423113974844
6d_R,0.5523147845010195
6mp_R,0.5551003284695417
6v_R,0.5204322843625974
p24pr_R,0.5758920805689
33pr_R,0.6040065614644186
a24pr_R,0.5623400753268597
p32pr_R,0.5685247279821648
a24_R,0.5925854033945255
d32_R,0.5530667827562591
8BM_R,0.5448969539812576
p32_R,0.587933958820817
10r_R,0.619930265148808
47m_R,0.6218650944210913
8Av_R,0.5314512800687262
8Ad_R,0.5356748871078165
9m_R,0.5336104454170127
8BL_R,0.5032460482681977
9p_R,0.5052411382306305
10d_R,0.5240306786549808
8C_R,0.553554700819251
44_R,0.5441177599028808
45_R,0.5513764639732758
47l_R,0.5667121266963437
a47r_R,0.5493893695607367
6r_R,0.536341840184723
IFJa_R,0.5693740580386195
IFJp_R,0.5656465780749018
IFSp_R,0.5543352954894003
IFSa_R,0.5434140030832162
p9-46v_R,0.5357736467093283
46_R,0.5271635059678459
a9-46v_R,0.5353106937341641
9-46d_R,0.5238152786215085
9a_R,0.5004267225307681
10v_R,0.6403243933759133
a10p_R,0.5495347953921756
10pp_R,0.6026191679980223
11l_R,0.610871684180859
13l_R,0.6680431925475412
OFC_R,0.6940296412186533
47s_R,0.6248055333627094
LIPd_R,0.5386349221838423
6a_R,0.5596254746451551
i6-8_R,0.5428689614182578
s6-8_R,0.5263339096693849
43_R,0.5418948655799916
OP4_R,0.5368002611568354
OP1_R,0.5785349826761975
OP2-3_R,0.599999122177675
52_R,0.6112168023705966
RI_R,0.5851898638290284
PFcm_R,0.5430497285399098
PoI2_R,0.5770103697819415
TA2_R,0.5714178453112774
FOP4_R,0.578499122970275
MI_R,0.5650678434994605
Pir_R,0.6383147531477824
AVI_R,0.5985216166513146
AAIC_R,0.5896720525739307
FOP1_R,0.5714282227869099
FOP3_R,0.5765281811535483
FOP2_R,0.5782242080380189
PFt_R,0.5054698936420666
AIP_R,0.5304974558911077
EC_R,0.6762540804722406
PreS_R,0.7018514529029432
H_R,0.6431767950932014
ProS_R,0.639866720499296
PeEc_R,0.652097790956402
STGa_R,0.5368699808476431
PBelt_R,0.5642719601751212
A5_R,0.5284003462301217
PHA1_R,0.6571634444548542
PHA3_R,0.6106307759215448
STSda_R,0.5421110410618115
STSdp_R,0.5534102124189871
STSvp_R,0.5177710013673905
TGd_R,0.6043693447925693
TE1a_R,0.5385628116760612
TE1p_R,0.5186637657146445
TE2a_R,0.5808034776422584
TF_R,0.6337771160304747
TE2p_R,0.5916424037837191
PHT_R,0.5006085504165173
PH_R,0.526080982732323
TPOJ1_R,0.5283698651753658
TPOJ2_R,0.5205980633180076
TPOJ3_R,0.5184124112646666
DVT_R,0.5527033516447482
PGp_R,0.4925195105680453
IP2_R,0.5221640580801491
IP1_R,0.5161432505966841
IP0_R,0.5209620208578323
PFop_R,0.5053817206802501
PF_R,0.4979813530285229
PFm_R,0.500191832789649
PGi_R,0.5031656008500267
PGs_R,0.4924508699770932
V6A_R,0.5257347840666022
VMV1_R,0.6499237107626501
VMV3_R,0.601978513019066
PHA2_R,0.615140305362236
V4t_R,0.5224554347675644
FST_R,0.5209592809002335
V3CD_R,0.5178309930246259
LO3_R,0.5154580321630211
VMV2_R,0.6015047562206599
31pd_R,0.5630561298046779
31a_R,0.5676667901321983
VVC_R,0.6303133566437575
25_R,0.6875698448890797
s32_R,0.6769166367891477
pOFC_R,0.6872101310141286
PoI1_R,0.5875865047429929
Ig_R,0.5996843170338166
FOP5_R,0.5942603593478268
p10p_R,0.5340731218344171
p47r_R,0.5363719471638998
TGv_R,0.6400006988757692
MBelt_R,0.6303179820473033
LBelt_R,0.6021813881153912
A4_R,0.5286927784849595
STSva_R,0.5479336848961418
TE1m_R,0.5338673756222673
PI_R,0.5834438643328648
a32pr_R,0.5558064701192015
p24_R,0.5517501417085495
