region,thick
V1_L,1.8889498831059783
MST_L,2.4274366902384807
V6_L,2.174568494690413
V2_L,2.0168453950237093
V3_L,2.1932028483274806
V4_L,2.321801294618232
V8_L,2.624419958930902
4_L,2.799280474497664
3b_L,1.7595054430954793
FEF_L,2.628039615616337
PEF_L,2.6162777106994257
55b_L,2.822256910284444
V3A_L,2.1534960017152343
RSC_L,2.291810071796236
POS2_L,2.4140649141813597
V7_L,2.340636706664005
IPS1_L,2.3017977854819867
FFC_L,2.791526218756681
V3B_L,2.28991394291699
LO1_L,2.3368862350272748
LO2_L,2.5673541476427006
PIT_L,2.5563972220062343
MT_L,2.4383066768214308
A1_L,2.5222945897940647
PSL_L,2.69159428986569
SFL_L,3.075285317335243
PCV_L,2.5167801055433645
STV_L,2.810377557100249
7Pm_L,2.4579319007604825
7m_L,2.6875515192181765
POS1_L,2.8594569217941377
23d_L,3.031660958408506
v23ab_L,2.983547711984028
d23ab_L,3.1829998915685067
31pv_L,2.660339561034201
5m_L,2.333800057687233
5mv_L,2.3334495852831654
23c_L,2.584590075912768
5L_L,2.259480852378985
24dd_L,2.828640922464028
24dv_L,2.729165930587416
7AL_L,2.2855328605532854
SCEF_L,2.957788801354087
6ma_L,2.8469955653771004
7Am_L,2.37453454522424
7Pl_L,2.3702927849365407
7PC_L,2.372109389821655
LIPv_L,2.2772344908325226
VIP_L,2.39347703775286
MIP_L,2.3219447480078026
1_L,2.3134896534994507
2_L,2.2256315082252667
3a_L,2.013164388905683
6d_L,2.837779423298334
6mp_L,2.7423242876507543
6v_L,3.007252712595206
p24pr_L,2.8530516032872466
33pr_L,2.3688287425184957
a24pr_L,2.912706963329467
p32pr_L,2.895445729338435
a24_L,3.0918285943000043
d32_L,3.0092430426873404
8BM_L,3.0876081337227257
p32_L,2.7143402786406323
10r_L,2.559745545832977
47m_L,2.66785086285412
8Av_L,2.787124491902445
8Ad_L,2.666708463586951
9m_L,2.933017132056144
8BL_L,3.012924974845924
9p_L,2.630602896026428
10d_L,2.577661940969767
8C_L,2.637056542449599
44_L,2.774629092203281
45_L,2.637502730078864
47l_L,2.738757828143497
a47r_L,2.695066158985065
6r_L,2.771172217301473
IFJa_L,2.634932556798383
IFJp_L,2.6930616574375934
IFSp_L,2.5242527777132424
IFSa_L,2.4947982836169604
p9-46v_L,2.5179418903261057
46_L,2.556596602440252
a9-46v_L,2.473117027409605
9-46d_L,2.467362234790399
9a_L,2.499478168374539
10v_L,2.8029927119986087
a10p_L,2.444822092609283
10pp_L,2.652219440160254
11l_L,2.7967368206639103
13l_L,2.8947502304851875
OFC_L,2.4053750077295764
47s_L,3.077896996207056
LIPd_L,2.324332550554725
6a_L,2.647872350243293
i6-8_L,2.727255021749428
s6-8_L,2.8600196779045968
43_L,2.8601415262929977
OP4_L,2.8305042267334235
OP1_L,2.83075852580142
OP2-3_L,2.703462712902466
52_L,2.5437739928904417
RI_L,2.5446775174991143
PFcm_L,2.6540475013439315
PoI2_L,3.516599191130763
TA2_L,3.0236181140584373
FOP4_L,2.9360921774956297
MI_L,3.333084816535556
Pir_L,3.0628728733070907
AVI_L,3.0413117326163763
AAIC_L,3.693134424244492
FOP1_L,2.98296954130418
FOP3_L,2.720908003328552
FOP2_L,2.8005957414495883
PFt_L,2.5201353944211893
AIP_L,2.3533898515973366
EC_L,2.6050509989784776
PreS_L,1.9614114481265077
H_L,2.755267811445475
ProS_L,2.317321458424389
PeEc_L,3.208391036197968
STGa_L,3.348541675906561
PBelt_L,2.625219441773771
A5_L,3.011840270325199
PHA1_L,3.0397844486256327
PHA3_L,2.838917822288832
STSda_L,2.8627753758026087
STSdp_L,2.6696171609147585
STSvp_L,2.7597776130496983
TGd_L,3.393595859373873
TE1a_L,3.1303107483695776
TE1p_L,2.9222276486482914
TE2a_L,2.91152678448294
TF_L,2.941987959132774
TE2p_L,2.821713259263669
PHT_L,2.806088877917716
PH_L,2.637644492376499
TPOJ1_L,2.681311283525786
TPOJ2_L,2.616908828284616
TPOJ3_L,2.443452979595918
DVT_L,2.338730137222782
PGp_L,2.61740723080086
IP2_L,2.4207585807478758
IP1_L,2.4117934873977998
IP0_L,2.420184102020703
PFop_L,2.748920171802679
PF_L,2.678598394243509
PFm_L,2.615260196106467
PGi_L,2.6131591407500605
PGs_L,2.6107482643058253
V6A_L,2.3040389390120897
VMV1_L,2.520417118371069
VMV3_L,2.6329170301780285
PHA2_L,2.5686310570654163
V4t_L,2.5238908866631395
FST_L,2.5261322599958405
V3CD_L,2.395186334825147
LO3_L,2.4340009803407137
VMV2_L,2.4478362055359377
31pd_L,2.489981832074637
31a_L,2.830369746353276
VVC_L,3.008864272927602
25_L,3.115122434139128
s32_L,2.7643446880148272
pOFC_L,2.9569610915910287
PoI1_L,3.314961545381748
Ig_L,2.826787723051015
FOP5_L,2.719889002937036
p10p_L,2.392246835800643
p47r_L,2.4865787034560194
TGv_L,3.246248875141357
MBelt_L,2.6606323788771595
LBelt_L,2.5459822638698504
A4_L,2.914838925251092
STSva_L,2.754337946835095
TE1m_L,2.9457106025961206
PI_L,2.837077898402632
a32pr_L,2.9896843172207945
p24_L,3.1553505670013053
