region,isovf
V1_L,0.1073120975580944
MST_L,0.076762895395773
V6_L,0.0932206548076142
V2_L,0.0914810567211813
V3_L,0.0798689159248322
V4_L,0.0767589553534559
V8_L,0.0617844897162711
4_L,0.0951031135758009
3b_L,0.1383701802843619
FEF_L,0.08697636796523
PEF_L,0.092285406165986
55b_L,0.0895093280005377
V3A_L,0.1041201189488511
RSC_L,0.083197510461637
POS2_L,0.0902595297096407
V7_L,0.1298776214990228
IPS1_L,0.1216838362331758
FFC_L,0.0753356226355297
V3B_L,0.0811635651125027
LO1_L,0.0652645066481542
LO2_L,0.0603828547597365
PIT_L,0.0638126357806459
MT_L,0.0798074751374805
A1_L,0.1273905018225526
PSL_L,0.0787931544775046
SFL_L,0.0682847438725618
PCV_L,0.0660168639746549
STV_L,0.0726852322202955
7Pm_L,0.0697976613885965
7m_L,0.0646824110540596
POS1_L,0.0782752584784514
23d_L,0.0656479803640902
v23ab_L,0.0680463494446886
d23ab_L,0.0608399874882365
31pv_L,0.0629049855477668
5m_L,0.078566957961931
5mv_L,0.0702144600796561
23c_L,0.0810261855477861
5L_L,0.0746065447394789
24dd_L,0.0668278909036981
24dv_L,0.0627462336379181
7AL_L,0.091844520482472
SCEF_L,0.0541475115632938
6ma_L,0.0906172880139614
7Am_L,0.0717797778215732
7Pl_L,0.0910453413766121
7PC_L,0.1064270347088309
LIPv_L,0.1265877954138162
VIP_L,0.0933101422861115
MIP_L,0.1034945134305301
1_L,0.1070055023312712
2_L,0.1148048271069961
3a_L,0.1470949658172215
6d_L,0.0922245885572971
6mp_L,0.0855757369571725
6v_L,0.0865169483599074
p24pr_L,0.0663451223390562
33pr_L,0.0557753914309789
a24pr_L,0.0600116412384951
p32pr_L,0.0530572372853975
a24_L,0.0810489494998517
d32_L,0.0501910745317428
8BM_L,0.0405619495012596
p32_L,0.0763375504541163
10r_L,0.0971563877495295
47m_L,0.1440054253956864
8Av_L,0.0905236900232776
8Ad_L,0.0917245061617966
9m_L,0.0557486580910636
8BL_L,0.0824415255731901
9p_L,0.099583698624221
10d_L,0.0994163202712512
8C_L,0.091754977918491
44_L,0.0953829949437211
45_L,0.1045369762028703
47l_L,0.1127376798488496
a47r_L,0.1070226047049343
6r_L,0.0878604462299891
IFJa_L,0.0889678666892447
IFJp_L,0.0844430871585866
IFSp_L,0.0955901054469782
IFSa_L,0.0986970901590439
p9-46v_L,0.0906905938508625
46_L,0.0844784499394321
a9-46v_L,0.1008542296174
9-46d_L,0.0884400515266375
9a_L,0.1059977294824179
10v_L,0.1368917497643949
a10p_L,0.1086607551877871
10pp_L,0.1437647022106502
11l_L,0.1304458897707544
13l_L,0.1680896451746965
OFC_L,0.1932673064771463
47s_L,0.1345415466241654
LIPd_L,0.119336328152303
6a_L,0.1040502160865169
i6-8_L,0.0840623694163142
s6-8_L,0.1014270302775108
43_L,0.0989357077530913
OP4_L,0.081302705367061
OP1_L,0.0752525123665424
OP2-3_L,0.0901092021458033
52_L,0.1246455870884168
RI_L,0.1057282907076416
PFcm_L,0.0844998387767618
PoI2_L,0.1189857852551009
TA2_L,0.0826781204873604
FOP4_L,0.0808320962238384
MI_L,0.1061613837113665
Pir_L,0.1414097269603514
AVI_L,0.1162989039804452
AAIC_L,0.129260116864383
FOP1_L,0.0830687445406566
FOP3_L,0.0881977928631164
FOP2_L,0.0729901017692291
PFt_L,0.0841189483322705
AIP_L,0.1032389412713141
EC_L,0.1739025850049538
PreS_L,0.1748646834687524
H_L,0.1384910954159012
ProS_L,0.0986312506292684
PeEc_L,0.1462612858503797
STGa_L,0.0948953226304873
PBelt_L,0.093285110662449
A5_L,0.1011537456996206
PHA1_L,0.1160019883594838
PHA3_L,0.085861692988685
STSda_L,0.1067801110569834
STSdp_L,0.0791085057792279
STSvp_L,0.0676922809418475
TGd_L,0.1195954108300507
TE1a_L,0.0888713814041583
TE1p_L,0.0589457655504469
TE2a_L,0.1061431467774411
TF_L,0.1227980351726975
TE2p_L,0.0840320740424449
PHT_L,0.0559077409255502
PH_L,0.0504790517077975
TPOJ1_L,0.0703526005127528
TPOJ2_L,0.0641563962698143
TPOJ3_L,0.0765949989169963
DVT_L,0.071760076788456
PGp_L,0.0701315188057482
IP2_L,0.0816835844631017
IP1_L,0.0798363209181077
IP0_L,0.056982099989404
PFop_L,0.0823814405544836
PF_L,0.0855097430215103
PFm_L,0.0777027093334104
PGi_L,0.0710247065364175
PGs_L,0.0769201976944154
V6A_L,0.0881310978523043
VMV1_L,0.102131234150483
VMV3_L,0.0661837330104039
PHA2_L,0.0918829514104898
V4t_L,0.064852276361004
FST_L,0.0572593140306661
V3CD_L,0.0728557583862665
LO3_L,0.0672093933159238
VMV2_L,0.0828023807018552
31pd_L,0.06230440701756
31a_L,0.0553210642922015
VVC_L,0.0860734292503392
25_L,0.1338085739005877
s32_L,0.1213066468367334
pOFC_L,0.1755595678227345
PoI1_L,0.1161770923096981
Ig_L,0.1108474115794354
FOP5_L,0.0915304112336223
p10p_L,0.1242752197908652
p47r_L,0.10444400004507
TGv_L,0.1366017873385516
MBelt_L,0.1064819173612509
LBelt_L,0.1191335097723219
A4_L,0.0900852346803224
STSva_L,0.0863564204661985
TE1m_L,0.0802135152032293
PI_L,0.0956245909678836
a32pr_L,0.0489828731143772
p24_L,0.0599212553594673
V1_R,0.1197071221095889
MST_R,0.0652674047972145
V6_R,0.1174200609588168
V2_R,0.1041049706658444
V3_R,0.0829529310786239
V4_R,0.0692048026532303
V8_R,0.0740849562165554
4_R,0.0852837056096171
3b_R,0.169438995186782
FEF_R,0.0797529562741765
PEF_R,0.0860912384419135
55b_R,0.0726172214643557
V3A_R,0.0833587826692777
RSC_R,0.1283426894115613
POS2_R,0.0906166936665347
V7_R,0.0712880478035894
IPS1_R,0.0640319929061794
FFC_R,0.0634813325219111
V3B_R,0.0705154151659922
LO1_R,0.0630746296146791
LO2_R,0.0530019537175407
PIT_R,0.0545161256696788
MT_R,0.0628466191497788
A1_R,0.1342764733776493
