region,dki-ad
lh.bankssts,0.000985254365575617
lh.caudalanteriorcingulate,0.0010750535046097315
lh.caudalmiddlefrontal,0.001023387430308976
lh.cuneus,0.0009856144723431966
lh.entorhinal,0.0010947848524946898
lh.fusiform,0.000999570291381962
lh.inferiorparietal,0.0009811830613275733
lh.inferiortemporal,0.0010021843389973228
lh.isthmuscingulate,0.0010402475151048242
lh.lateraloccipital,0.0009545891440036557
lh.lateralorbitofrontal,0.0010566023625350222
lh.lingual,0.0009951841357637512
lh.medialorbitofrontal,0.0010445399814774795
lh.middletemporal,0.001010407651062403
lh.parahippocampal,0.0010825367716413683
lh.paracentral,0.0009865020670354085
lh.parsopercularis,0.0010605793970162379
lh.parsorbitalis,0.0010778617798371298
lh.parstriangularis,0.0010630307487667974
lh.pericalcarine,0.0009843653084880759
lh.postcentral,0.0010133776642037057
lh.posteriorcingulate,0.0010390202722862674
lh.precentral,0.0010144542920549717
lh.precuneus,0.0009988569588945642
lh.rostralanteriorcingulate,0.0011122930900712034
lh.rostralmiddlefrontal,0.001064153293254681
lh.superiorfrontal,0.0010385538411409924
lh.superiorparietal,0.0009889266825332402
lh.superiortemporal,0.001037546434131277
lh.supramarginal,0.0010000825616033936
lh.frontalpole,0.00111603205594101
lh.temporalpole,0.001101930762236384
lh.transversetemporal,0.0010208176233531825
lh.insula,0.0010974908367108328
rh.bankssts,0.0009804598191395404
rh.caudalanteriorcingulate,0.001092534896029181
rh.caudalmiddlefrontal,0.001014728230317657
rh.cuneus,0.0009805093783597557
rh.entorhinal,0.0010740831800608733
rh.fusiform,0.0009983448932256184
rh.inferiorparietal,0.0009686474520399974
rh.inferiortemporal,0.0010110065425419101
rh.isthmuscingulate,0.0010561982685768968
rh.lateraloccipital,0.0009489347029810096
rh.lateralorbitofrontal,0.0010595664022374658
rh.lingual,0.001004102742336524
rh.medialorbitofrontal,0.0010630218114551287
rh.middletemporal,0.0010072878815829348
rh.parahippocampal,0.0010659714152203112
rh.paracentral,0.0009996260259066679
rh.parsopercularis,0.0010628014396325584
rh.parsorbitalis,0.0010717898130578475
rh.parstriangularis,0.001066333202182617
rh.pericalcarine,0.0009816444404523444
rh.postcentral,0.0010016686868095728
rh.posteriorcingulate,0.0010548646694111422
rh.precentral,0.0010047060458808414
rh.precuneus,0.0009997441897046735
rh.rostralanteriorcingulate,0.0011246703134892917
rh.rostralmiddlefrontal,0.0010633834032328078
rh.superiorfrontal,0.001048655893931187
rh.superiorparietal,0.0009741030979025624
rh.superiortemporal,0.0010289987626784397
rh.supramarginal,0.0009867951371637844
rh.frontalpole,0.0011135824434077802
rh.temporalpole,0.0010965917256562506
rh.transversetemporal,0.0010201598187175162
rh.insula,0.0010918211243461395
