region,fa
lh.bankssts,0.13622642825127673
lh.caudalanteriorcingulate,0.13871889704586396
lh.caudalmiddlefrontal,0.13654858548886267
lh.cuneus,0.12708141279293314
lh.entorhinal,0.15204406294837416
lh.fusiform,0.14124439222059648
lh.inferiorparietal,0.13260122093415946
lh.inferiortemporal,0.14203644565609413
lh.isthmuscingulate,0.1617098060403251
lh.lateraloccipital,0.13335401264942331
lh.lateralorbitofrontal,0.1421253335182241
lh.lingual,0.1390328765014323
lh.medialorbitofrontal,0.14326045483797148
lh.middletemporal,0.13392662128223373
lh.parahippocampal,0.15777996257982538
lh.paracentral,0.1416637094493741
lh.parsopercularis,0.1435171673152349
lh.parsorbitalis,0.14078319900194639
lh.parstriangularis,0.13904296386184714
lh.pericalcarine,0.13380989514711158
lh.postcentral,0.132111166749971
lh.posteriorcingulate,0.13896375130807304
lh.precentral,0.13986605637116692
lh.precuneus,0.1411881690775001
lh.rostralanteriorcingulate,0.14816916592554094
lh.rostralmiddlefrontal,0.13151497184955147
lh.superiorfrontal,0.14178489550924228
lh.superiorparietal,0.13161063284509059
lh.superiortemporal,0.13363537186015517
lh.supramarginal,0.13750399472508984
lh.frontalpole,0.1366329869846866
lh.temporalpole,0.1521674037115834
lh.transversetemporal,0.12835655121557266
lh.insula,0.1493130420037897
rh.bankssts,0.13737599800448128
rh.caudalanteriorcingulate,0.14180791788080072
rh.caudalmiddlefrontal,0.1356355009380742
rh.cuneus,0.12784486068124404
rh.entorhinal,0.1506005065296766
rh.fusiform,0.14033791344104588
rh.inferiorparietal,0.13334705865914367
rh.inferiortemporal,0.14022308297645866
rh.isthmuscingulate,0.16024971999679605
rh.lateraloccipital,0.13234962283659002
rh.lateralorbitofrontal,0.14594135144086345
rh.lingual,0.13442943725715756
rh.medialorbitofrontal,0.14206852919274668
rh.middletemporal,0.13488678242476929
rh.parahippocampal,0.15405965623344334
rh.paracentral,0.13601038283569547
rh.parsopercularis,0.14318998078432824
rh.parsorbitalis,0.14119138804173223
rh.parstriangularis,0.13922913705794207
rh.pericalcarine,0.12843376331364345
rh.postcentral,0.1299274430298286
rh.posteriorcingulate,0.13954804697690282
rh.precentral,0.14190300142831944
rh.precuneus,0.13520213448936622
rh.rostralanteriorcingulate,0.14463955528078493
rh.rostralmiddlefrontal,0.12943721143755918
rh.superiorfrontal,0.1379160982024109
rh.superiorparietal,0.1333988780881165
rh.superiortemporal,0.13493464962395987
rh.supramarginal,0.1368536659370791
rh.frontalpole,0.13354872105158969
rh.temporalpole,0.15562613835650704
rh.transversetemporal,0.12363608899911718
rh.insula,0.152982665251805
