region,dki-fa
lh.bankssts,0.15386412962574952
lh.caudalanteriorcingulate,0.15654301977901666
lh.caudalmiddlefrontal,0.15795461091929053
lh.cuneus,0.14484251426760536
lh.entorhinal,0.17849500168906063
lh.fusiform,0.16257671512667637
lh.inferiorparietal,0.14974594924781973
lh.inferiortemporal,0.16346039455126687
lh.isthmuscingulate,0.18410853529590582
lh.lateraloccipital,0.15174818138465718
lh.lateralorbitofrontal,0.1688115885164461
lh.lingual,0.1613527594275812
lh.medialorbitofrontal,0.1672358142767839
lh.middletemporal,0.1545687530347908
lh.parahippocampal,0.1869019565269828
lh.paracentral,0.15751693497315747
lh.parsopercularis,0.1649139947332651
lh.parsorbitalis,0.16828861979811433
lh.parstriangularis,0.162586281698622
lh.pericalcarine,0.15188795497521917
lh.postcentral,0.15117869380237764
lh.posteriorcingulate,0.15757167295094338
lh.precentral,0.16180756126977483
lh.precuneus,0.1570100261462114
lh.rostralanteriorcingulate,0.16837612296676804
lh.rostralmiddlefrontal,0.15451178770343957
lh.superiorfrontal,0.16255652459098993
lh.superiorparietal,0.1503049640493441
lh.superiortemporal,0.15588486700844387
lh.supramarginal,0.15483991556439797
lh.frontalpole,0.16624509641522317
lh.temporalpole,0.18234243458822685
lh.transversetemporal,0.15059575815278411
lh.insula,0.17606359395289137
rh.bankssts,0.15376614540031006
rh.caudalanteriorcingulate,0.16474118422108405
rh.caudalmiddlefrontal,0.15511841123745787
rh.cuneus,0.147148737433117
rh.entorhinal,0.17740249174849781
rh.fusiform,0.16072440367627397
rh.inferiorparietal,0.1489654889555974
rh.inferiortemporal,0.16471441977637055
rh.isthmuscingulate,0.18555600816345028
rh.lateraloccipital,0.14896974962810558
rh.lateralorbitofrontal,0.17161406607429314
rh.lingual,0.15560275519339087
rh.medialorbitofrontal,0.1637252592734939
rh.middletemporal,0.15676261937691435
rh.parahippocampal,0.18050254145923245
rh.paracentral,0.15940111352508526
rh.parsopercularis,0.16548192759678332
rh.parsorbitalis,0.17135132143328166
rh.parstriangularis,0.16447136827679654
rh.pericalcarine,0.1476708581043208
rh.postcentral,0.14849974597984258
rh.posteriorcingulate,0.1623033842858646
rh.precentral,0.162361326152699
rh.precuneus,0.15504399350168896
rh.rostralanteriorcingulate,0.16702605412180285
rh.rostralmiddlefrontal,0.1514226603330357
rh.superiorfrontal,0.15992008367208874
rh.superiorparietal,0.14749398567281838
rh.superiortemporal,0.15913223913020186
rh.supramarginal,0.15360505973848082
rh.frontalpole,0.16038522054130816
rh.temporalpole,0.18759363304147345
rh.transversetemporal,0.15018013851448261
rh.insula,0.17701331556098762
