region,rtop
lh.bankssts,196205.30676263553
lh.caudalanteriorcingulate,204468.10187311406
lh.caudalmiddlefrontal,196806.63589122592
lh.cuneus,200465.9205606371
lh.entorhinal,228758.44917019134
lh.fusiform,218483.57015216514
lh.inferiorparietal,193291.2182421481
lh.inferiortemporal,208991.8075949193
lh.isthmuscingulate,231042.08133193382
lh.lateraloccipital,207428.77536406062
lh.lateralorbitofrontal,213822.86111229757
lh.lingual,217823.9341347927
lh.medialorbitofrontal,229290.8959209486
lh.middletemporal,185894.09105022857
lh.parahippocampal,222827.23842720498
lh.paracentral,226610.3169042176
lh.parsopercularis,197913.35737296878
lh.parsorbitalis,184585.65947019044
lh.parstriangularis,192421.18753693122
lh.pericalcarine,210817.26766143471
lh.postcentral,198516.13861775337
lh.posteriorcingulate,209622.28932794413
lh.precentral,201291.94480678433
lh.precuneus,210900.088723438
lh.rostralanteriorcingulate,204783.90777976924
lh.rostralmiddlefrontal,179785.4557783604
lh.superiorfrontal,202289.34991644544
lh.superiorparietal,198718.58489699868
lh.superiortemporal,188940.35234984945
lh.supramarginal,192617.8565358141
lh.frontalpole,184905.18812172115
lh.temporalpole,203525.23538861598
lh.transversetemporal,199815.846805022
lh.insula,193493.29601924412
rh.bankssts,199308.9779333203
rh.caudalanteriorcingulate,192270.8986124702
rh.caudalmiddlefrontal,207392.42930111158
rh.cuneus,197091.1339209866
rh.entorhinal,228945.11304084663
rh.fusiform,223557.16287115807
rh.inferiorparietal,195831.31154997964
rh.inferiortemporal,208762.16291277844
rh.isthmuscingulate,224465.92233957502
rh.lateraloccipital,207289.05925800846
rh.lateralorbitofrontal,223050.8813804298
rh.lingual,213486.7793011949
rh.medialorbitofrontal,222174.30111565598
rh.middletemporal,193437.5309898344
rh.parahippocampal,227613.51855564993
rh.paracentral,203887.47733836432
rh.parsopercularis,201785.58237624713
rh.parsorbitalis,192268.76150018285
rh.parstriangularis,196987.43091137815
rh.pericalcarine,204981.8829137712
rh.postcentral,201882.27404680266
rh.posteriorcingulate,201727.70474628365
rh.precentral,211709.3235854366
rh.precuneus,200296.96878142646
rh.rostralanteriorcingulate,197680.3648673156
rh.rostralmiddlefrontal,188819.02127029706
rh.superiorfrontal,198668.397804966
rh.superiorparietal,207961.77906529972
rh.superiortemporal,197064.1649539187
rh.supramarginal,199606.07849962058
rh.frontalpole,188561.85878537217
rh.temporalpole,205863.35824760064
rh.transversetemporal,196648.49891206354
rh.insula,206720.83095168567
