region,isovf
lh.bankssts,0.06813327977622513
lh.caudalanteriorcingulate,0.06271214468959564
lh.caudalmiddlefrontal,0.09876086649464583
lh.cuneus,0.0909631854777186
lh.entorhinal,0.15537369684451155
lh.fusiform,0.08677251230984269
lh.inferiorparietal,0.07280495144452176
lh.inferiortemporal,0.08498798484259985
lh.isthmuscingulate,0.06979542641749677
lh.lateraloccipital,0.07437627430212276
lh.lateralorbitofrontal,0.155685216661152
lh.lingual,0.09029480306737286
lh.medialorbitofrontal,0.1349109778255985
lh.middletemporal,0.07689777439590945
lh.parahippocampal,0.11884198702912359
lh.paracentral,0.06694372895138594
lh.parsopercularis,0.09486883731524344
lh.parsorbitalis,0.11385621236754032
lh.parstriangularis,0.10892397920950274
lh.pericalcarine,0.09472438090514847
lh.postcentral,0.11412670264897708
lh.posteriorcingulate,0.0731886288543082
lh.precentral,0.10560123863716785
lh.precuneus,0.0660334483557314
lh.rostralanteriorcingulate,0.07431391958038648
lh.rostralmiddlefrontal,0.10763602994350217
lh.superiorfrontal,0.08124260837247786
lh.superiorparietal,0.10393456264097596
lh.superiortemporal,0.09754127934592334
lh.supramarginal,0.08274135418181519
lh.frontalpole,0.13273864151445158
lh.temporalpole,0.13807879936458664
lh.transversetemporal,0.12316795737009718
lh.insula,0.11721687132246066
rh.bankssts,0.05686582997486333
rh.caudalanteriorcingulate,0.11120961029278911
rh.caudalmiddlefrontal,0.08527638714579633
rh.cuneus,0.09957332076924455
rh.entorhinal,0.14256258695793383
rh.fusiform,0.07957349022563032
rh.inferiorparietal,0.0633047894487608
rh.inferiortemporal,0.09340518255908814
rh.isthmuscingulate,0.10268114530081364
rh.lateraloccipital,0.06478157662501359
rh.lateralorbitofrontal,0.14330789950107742
rh.lingual,0.09712763036277008
rh.medialorbitofrontal,0.14157215925274094
rh.middletemporal,0.06567477887195948
rh.parahippocampal,0.11031889738825754
rh.paracentral,0.12361410919111301
rh.parsopercularis,0.09275202104266776
rh.parsorbitalis,0.09555750848213025
rh.parstriangularis,0.10100225761766858
rh.pericalcarine,0.10277773674630027
rh.postcentral,0.10638811276412409
rh.posteriorcingulate,0.11194299119868083
rh.precentral,0.0888102042165774
rh.precuneus,0.09422369492392017
rh.rostralanteriorcingulate,0.11102980471209528
rh.rostralmiddlefrontal,0.09921007587145725
rh.superiorfrontal,0.09941362881751259
rh.superiorparietal,0.0757410098234308
rh.superiortemporal,0.08510967844918789
rh.supramarginal,0.06944179678271623
rh.frontalpole,0.13012294865922927
rh.temporalpole,0.13333177459542733
rh.transversetemporal,0.14441294308499808
rh.insula,0.08566188042938538
