region,kfa
lh.bankssts,0.34265770117938543
lh.caudalanteriorcingulate,0.31621010093646296
lh.caudalmiddlefrontal,0.3424112393268772
lh.cuneus,0.32369298314139144
lh.entorhinal,0.30493283236041574
lh.fusiform,0.32720867447752683
lh.inferiorparietal,0.35614248659691383
lh.inferiortemporal,0.3348272831957973
lh.isthmuscingulate,0.3460222270041059
lh.lateraloccipital,0.34495339374875955
lh.lateralorbitofrontal,0.306175544984803
lh.lingual,0.3289776518558024
lh.medialorbitofrontal,0.30251243735090616
lh.middletemporal,0.3358761641474884
lh.parahippocampal,0.33030887693477873
lh.paracentral,0.3442435161489898
lh.parsopercularis,0.33414228941138363
lh.parsorbitalis,0.3377563420400875
lh.parstriangularis,0.3330099778958546
lh.pericalcarine,0.336308215944863
lh.postcentral,0.3329080005496055
lh.posteriorcingulate,0.3247635010313519
lh.precentral,0.3415746183519768
lh.precuneus,0.3422548493810854
lh.rostralanteriorcingulate,0.3080512245617264
lh.rostralmiddlefrontal,0.33468610042070635
lh.superiorfrontal,0.3451198064018256
lh.superiorparietal,0.3468665107667541
lh.superiortemporal,0.32726621730714023
lh.supramarginal,0.3465969203003231
lh.frontalpole,0.3234147186614046
lh.temporalpole,0.3207528991701805
lh.transversetemporal,0.3051703576304097
lh.insula,0.3285473978760035
rh.bankssts,0.34066743751883155
rh.caudalanteriorcingulate,0.31739761987767856
rh.caudalmiddlefrontal,0.3414118542983249
rh.cuneus,0.3256575410864385
rh.entorhinal,0.3112534944844658
rh.fusiform,0.3259690770434645
rh.inferiorparietal,0.3514853271448452
rh.inferiortemporal,0.33463217423910396
rh.isthmuscingulate,0.34385968399569644
rh.lateraloccipital,0.3371430131582051
rh.lateralorbitofrontal,0.3101641841937384
rh.lingual,0.32042646655505663
rh.medialorbitofrontal,0.297197316554859
rh.middletemporal,0.34068338010817034
rh.parahippocampal,0.3290408162986769
rh.paracentral,0.3372260169698742
rh.parsopercularis,0.33410103333068525
rh.parsorbitalis,0.348139311372694
rh.parstriangularis,0.3344345599711207
rh.pericalcarine,0.33054391010682177
rh.postcentral,0.33487273127321965
rh.posteriorcingulate,0.32373295938203767
rh.precentral,0.3458531902643446
rh.precuneus,0.33621791623266656
rh.rostralanteriorcingulate,0.30156796513153544
rh.rostralmiddlefrontal,0.32851670887512685
rh.superiorfrontal,0.3368417400027969
rh.superiorparietal,0.34856857294016275
rh.superiortemporal,0.3358891431065237
rh.supramarginal,0.34852750857632964
rh.frontalpole,0.31632076737443504
rh.temporalpole,0.33572436962987257
rh.transversetemporal,0.30302125689189235
rh.insula,0.33139141177937426
