region,5HTT
V1_L,0.6500866292925359
MST_L,-0.2547727111689435
V6_L,-0.112703846391133
V2_L,0.4120625441327508
V3_L,0.0105478530167818
V4_L,-0.2249784373637029
V8_L,0.0263857536675315
4_L,-0.6601580734228037
3b_L,-0.5417542230039671
FEF_L,-1.2296372640693174
PEF_L,-0.7439502780153747
55b_L,-0.9492817779271396
V3A_L,-0.136883754604485
RSC_L,0.4873010499269601
POS2_L,-0.6180856766021462
V7_L,-1.0256735200193234
IPS1_L,-1.182634751205912
FFC_L,-0.1429369237949083
V3B_L,-0.47667492938792
LO1_L,-0.7508809854496515
LO2_L,-0.4529690552032702
PIT_L,-0.5450190177571553
MT_L,0.1083840149696354
A1_L,0.9985812373310478
PSL_L,-0.2679230011343459
SFL_L,-0.7632044700933189
PCV_L,-0.3343401310464131
STV_L,-0.272469403094238
7Pm_L,-1.144155430700336
7m_L,-0.0064159682458199
POS1_L,0.7542638879493083
23d_L,1.3375455280727453
v23ab_L,0.8353919287001752
d23ab_L,1.0397893990979583
31pv_L,0.1981744382794587
5m_L,-0.3382918743287041
5mv_L,-0.5417123194255848
23c_L,-0.2795362687476691
5L_L,-0.7709046918712563
24dd_L,0.9014327907227054
24dv_L,0.1069595683956464
7AL_L,-0.9954345837558856
SCEF_L,-0.3328573637028788
6ma_L,-0.9605645517754068
7Am_L,-0.9767430848297832
7Pl_L,-1.1492767519104463
7PC_L,-1.171637187366695
LIPv_L,-1.1990994941604325
VIP_L,-1.3201661523836516
MIP_L,-1.284970557917816
1_L,-0.658861706235931
2_L,-0.8480052387268366
3a_L,-0.6662430796353426
6d_L,-0.9939247351880324
6mp_L,-0.5225637064097918
6v_L,-0.7587984649454305
p24pr_L,1.9253666111491328
33pr_L,1.8001459323752516
a24pr_L,1.1895609599897767
p32pr_L,0.1765698100098918
a24_L,0.3733065598522243
d32_L,-0.3528318098562379
8BM_L,-0.834917884946936
p32_L,-0.5203875385659689
10r_L,-0.2179061574617461
47m_L,0.1851564305047227
8Av_L,-0.9993685626333828
8Ad_L,-1.138371233831268
9m_L,-0.3687087904320451
8BL_L,-0.9261892133052512
9p_L,-0.6086214540322478
10d_L,-0.2174247326819958
8C_L,-1.0596231984132731
44_L,-0.3824595828665653
45_L,-0.2737376916339634
47l_L,0.2043576295827721
a47r_L,-0.5197981777452955
6r_L,-0.2347220042343049
IFJa_L,-0.3364164784683498
IFJp_L,-0.1865752397737916
IFSp_L,-0.1974342404216812
IFSa_L,-0.2691258022590034
p9-46v_L,-0.793283539894585
46_L,-0.4719403421899232
a9-46v_L,-0.3084568680063023
9-46d_L,-0.1471573281893825
9a_L,-0.3168805522401425
10v_L,-0.1536843358653099
a10p_L,-0.4002703344205475
10pp_L,-0.619494688899311
11l_L,-0.4325799345894174
13l_L,0.6920798032935165
OFC_L,0.6759870277851715
47s_L,0.7369287261492583
LIPd_L,-1.0864435338958172
6a_L,-1.0701375252795011
i6-8_L,-1.0237460094065527
s6-8_L,-1.0735298091527388
43_L,0.2811381252051996
OP4_L,0.1239790581078355
OP1_L,0.9919408016773856
OP2-3_L,2.0849287394296336
52_L,1.4799358879956297
RI_L,0.9743428719626036
PFcm_L,0.1699042870228742
PoI2_L,3.048349626520304
TA2_L,1.3809216030692943
FOP4_L,0.2484766270448251
MI_L,0.9501649104214828
Pir_L,1.9118209505907653
AVI_L,0.6105885014069464
AAIC_L,2.8309800743330715
FOP1_L,0.139189943501008
FOP3_L,0.3667481842628655
FOP2_L,0.8168010551347687
PFt_L,-0.8261767062993569
AIP_L,-1.0267088618870794
EC_L,4.0676472555986205
PreS_L,0.7876638442858886
H_L,1.5627517189975857
ProS_L,0.4845716005086692
PeEc_L,3.176681472847596
STGa_L,1.477025273093016
PBelt_L,0.7949982025006973
A5_L,0.2701122188005816
PHA1_L,0.4251598653271988
PHA3_L,0.3221621184589683
STSda_L,-0.4075088171003408
STSdp_L,0.0827625710856967
STSvp_L,-0.672454820486783
TGd_L,1.9490121998721857
TE1a_L,-0.4218422748770394
TE1p_L,-0.5990764394847093
TE2a_L,-0.9972128892089844
TF_L,0.3277731394377171
TE2p_L,-0.5437723415893678
PHT_L,-0.2939206554539735
PH_L,-0.4571358880764024
TPOJ1_L,-0.2861535388516469
TPOJ2_L,-0.3002281706018898
TPOJ3_L,0.0629714362117129
DVT_L,-0.3935326935413012
PGp_L,-0.7228868746423365
IP2_L,-1.0210885591980332
IP1_L,-0.7888732167069361
IP0_L,-0.7572707210732792
PFop_L,-0.4378343138272306
PF_L,-0.690646460282206
PFm_L,-1.0171958099315292
PGi_L,-0.6671651721572224
PGs_L,-0.8423317204062677
V6A_L,-1.0721851909965214
VMV1_L,0.703793859350889
VMV3_L,0.2478792729479668
PHA2_L,1.5128689602878365
V4t_L,-0.1401270795262325
FST_L,-0.1051766188798204
V3CD_L,-0.3890056825517004
LO3_L,-0.2566940147277035
VMV2_L,0.054650901716662
31pd_L,-0.543480067477162
31a_L,0.0971996158458457
VVC_L,0.1066791787098867
25_L,2.222353419724865
s32_L,-0.1760898181872026
pOFC_L,2.976060257614093
PoI1_L,2.149374006091323
Ig_L,1.953526921969896
FOP5_L,0.5122682987908587
p10p_L,-0.2426428962485185
p47r_L,-0.3356583342605245
TGv_L,0.648911347172522
MBelt_L,1.1961530090469643
LBelt_L,1.115131950831251
A4_L,0.2310025611667905
STSva_L,-0.4527797799053386
TE1m_L,-0.3793056179743996
PI_L,0.5332533618400591
a32pr_L,-0.1600227359091985
p24_L,0.878418548143755
V1_R,0.6782765545902709
