region,DAT
lh.bankssts,0.9350874066710568
lh.caudalanteriorcingulate,-0.839187248016351
lh.caudalmiddlefrontal,0.2268825760444177
lh.cuneus,0.9351682735798228
lh.entorhinal,0.5194309696520528
lh.fusiform,-1.2788555962317214
lh.inferiorparietal,-0.3840844424094425
lh.inferiortemporal,0.5795801799375427
lh.isthmuscingulate,-1.3269259603196086
lh.lateraloccipital,0.1441847849184413
lh.lateralorbitofrontal,0.4710109930477932
lh.lingual,0.3892369902272369
lh.medialorbitofrontal,-0.8119358785838902
lh.middletemporal,1.1173163075598482
lh.parahippocampal,-0.1746850455205233
lh.paracentral,-0.1397908593511078
lh.parsopercularis,-1.4674381183794738
lh.parsorbitalis,-0.5852880037751116
lh.parstriangularis,0.5276169776601337
lh.pericalcarine,-1.0704956478891623
lh.postcentral,0.8703146232904492
lh.posteriorcingulate,-0.8521764350164802
lh.precentral,0.1777565287199372
lh.precuneus,1.1647425909990046
lh.rostralanteriorcingulate,-1.2970157156591575
lh.rostralmiddlefrontal,-0.8614332278275108
lh.superiorfrontal,-1.3578827412751724
lh.superiorparietal,-0.3801842675864557
lh.superiortemporal,-0.8509584379332918
lh.supramarginal,-2.4435772182193367
lh.frontalpole,0.0615468520211237
lh.temporalpole,0.8622885673570289
lh.transversetemporal,1.5084674629143475
lh.insula,2.736468353505792
rh.bankssts,0.8882112988333271
rh.caudalanteriorcingulate,-0.3525021926653374
rh.caudalmiddlefrontal,-0.2164559330800827
rh.cuneus,0.636956184804399
rh.entorhinal,0.4732794294685259
rh.fusiform,-1.0500164905446352
rh.inferiorparietal,-0.1077030151903883
rh.inferiortemporal,0.5433018848499425
rh.isthmuscingulate,-1.3707526062529285
rh.lateraloccipital,0.5509639484844626
rh.lateralorbitofrontal,0.2825884706043903
rh.lingual,0.6301785148598331
rh.medialorbitofrontal,0.0364831550106734
rh.middletemporal,0.6394054032906582
rh.parahippocampal,-0.2714368272447827
rh.paracentral,0.6346673475566843
rh.parsopercularis,-0.8684687612836822
rh.parsorbitalis,0.1592385734913788
rh.parstriangularis,0.3035589200748418
rh.pericalcarine,-0.7126479006762514
rh.postcentral,0.7959858805495789
rh.posteriorcingulate,-0.3689604473141382
rh.precentral,0.0355838405021705
rh.precuneus,1.0014289407360963
rh.rostralanteriorcingulate,-0.5519507078327803
rh.rostralmiddlefrontal,-0.8114971962069937
rh.superiorfrontal,-1.466791990343806
rh.superiorparietal,0.3886528474756856
rh.superiortemporal,-0.3377804410042737
rh.supramarginal,-2.4596976676482427
rh.frontalpole,0.2665596011572955
rh.temporalpole,1.1286219599295944
rh.transversetemporal,2.559744240285091
rh.insula,1.886066141211415
