region,MOR
V1_L,-2.341232042084293
MST_L,-0.1937536193614198
V6_L,-1.7535956681960672
V2_L,-2.148402149230249
V3_L,-2.052624971799069
V4_L,-1.9251136214120737
V8_L,-1.1235281763734004
4_L,-0.9957332714771396
3b_L,-1.3269553949152375
FEF_L,-0.0447288050850444
PEF_L,0.4392386976967943
55b_L,-1.0846627133649784
V3A_L,-2.119170940543611
RSC_L,-1.3142906113363522
POS2_L,-0.9152905316919836
V7_L,-1.3174741997003112
IPS1_L,-0.5935922201618843
FFC_L,0.1038339983770899
V3B_L,-1.360618749427338
LO1_L,-1.8410932587434927
LO2_L,-1.5075726387863322
PIT_L,-1.335657311467846
MT_L,-0.1932821964652309
A1_L,-0.3272937506277924
PSL_L,-0.4329590715932793
SFL_L,0.3389189456522042
PCV_L,0.453348908214864
STV_L,-0.8827847566943852
7Pm_L,-0.2153169084123462
7m_L,-0.0246592817333655
POS1_L,-0.6792473183435778
23d_L,1.191222311436734
v23ab_L,-0.0729362427159159
d23ab_L,0.6222963085682106
31pv_L,-0.0151468761962221
5m_L,-0.5301062399707169
5mv_L,-0.5965083022273524
23c_L,0.1636256722570557
5L_L,-1.13976340861496
24dd_L,0.482303797264745
24dv_L,0.4409382522942768
7AL_L,-0.4156306182810517
SCEF_L,0.6555173983587758
6ma_L,-0.4789379360665119
7Am_L,-0.2306722716110113
7Pl_L,-1.3700848994007606
7PC_L,-1.1220495094733365
LIPv_L,-0.3197047246925089
VIP_L,-1.6380181337495892
MIP_L,-0.5777568620208839
1_L,-1.9942678521336947
2_L,-0.2644459288369267
3a_L,-1.1383636149995802
6d_L,-1.2206958430142638
6mp_L,-0.2306965434639794
6v_L,-1.6739616812229643
p24pr_L,2.021993252346215
33pr_L,0.3738240434664802
a24pr_L,2.1731933413058706
p32pr_L,0.8934125147104445
a24_L,2.057183096862984
d32_L,1.0709180277949872
8BM_L,0.9653508502957032
p32_L,0.4307244653070078
10r_L,1.037413473147409
47m_L,0.2965529324209007
8Av_L,-0.6736122123180293
8Ad_L,0.7183343235843848
9m_L,0.796856266041942
8BL_L,-0.1849321257504055
9p_L,0.4968300722065966
10d_L,-0.2151566520248019
8C_L,0.2952464490973565
44_L,0.0270215124006404
45_L,-0.5169716447674821
47l_L,-0.2888960270706669
a47r_L,-0.6124121772703303
6r_L,0.603265179104698
IFJa_L,0.7676629593132687
IFJp_L,0.5526385141686073
IFSp_L,0.1254171288293509
IFSa_L,0.2892465666799017
p9-46v_L,-0.4990179356403127
