region,H3
V1_L,-0.7755281828684655
MST_L,-1.055719131749574
V6_L,-0.957066234798814
V2_L,-0.8330097736655415
V3_L,-1.06180115292792
V4_L,-0.982614350458823
V8_L,-0.4065921361081486
4_L,-0.1591782257232331
3b_L,-0.4301203345024572
FEF_L,-0.0618226572273438
PEF_L,0.0947742627566217
55b_L,-0.2716184011272483
V3A_L,-1.4497054874829722
RSC_L,-1.1017661284683786
POS2_L,-0.0988370991814631
V7_L,-0.5783299544900433
IPS1_L,-0.4913279741817147
FFC_L,-0.6312641102412343
V3B_L,-1.175013832802363
LO1_L,-1.2954021825198991
LO2_L,-1.231880954449999
PIT_L,-0.7198209234013221
MT_L,-0.6117354747786624
A1_L,0.6357437707484883
PSL_L,-0.9046940919065802
SFL_L,0.740508033946289
PCV_L,0.6303368614865531
STV_L,-0.5694777016809089
7Pm_L,0.0597259485366797
7m_L,0.5968705412884993
POS1_L,0.036036395633355
23d_L,1.196429969343228
v23ab_L,0.2064195243667992
d23ab_L,0.5010959695965171
31pv_L,-0.0228648665361744
5m_L,0.0839932584822696
5mv_L,0.0531912717736061
23c_L,0.1614973746810331
5L_L,-0.9824863353691872
24dd_L,1.5000674307602797
24dv_L,0.5529901682919561
7AL_L,-0.6269707312742251
SCEF_L,1.2507183796463923
6ma_L,0.1143732237713523
7Am_L,-0.5607531488960666
7Pl_L,-1.5025263047699724
7PC_L,-1.4647379249816632
LIPv_L,-0.3547289046642484
VIP_L,-1.534291085578242
MIP_L,-0.5888801855913738
1_L,-1.839743132081599
2_L,-0.3757113901435046
3a_L,-0.8688047295543947
6d_L,-0.7487292784888234
6mp_L,0.124853776739089
6v_L,0.5016248604440583
p24pr_L,1.953960885072031
33pr_L,1.023048587752425
a24pr_L,2.3113486453127976
p32pr_L,1.078047178402008
a24_L,2.4675423665403886
d32_L,1.2301576278489967
8BM_L,0.989230781398674
p32_L,0.7138834684360646
10r_L,0.7926435802364546
47m_L,0.5428706656952049
8Av_L,-0.0617506166236207
8Ad_L,-0.01203571220701
9m_L,1.043030185307267
8BL_L,0.1188105843783778
9p_L,0.1043333507934827
10d_L,-0.0049496976003017
8C_L,0.242707223834164
44_L,0.6972293758213414
45_L,0.1775636314678224
47l_L,0.1343218528437709
a47r_L,-0.366170626639067
6r_L,0.6765935016750199
IFJa_L,-0.9053657276291468
IFJp_L,-1.423806350043721
IFSp_L,-0.3976344081638703
IFSa_L,-0.1030073805641771
p9-46v_L,0.3633220002233163
46_L,0.2624398904254633
a9-46v_L,-0.0236810430562885
9-46d_L,-0.17535165616822
9a_L,-0.1780188831932481
10v_L,-0.0806185299316774
a10p_L,-0.2867007916275829
10pp_L,-0.944445272311662
11l_L,-0.336195627575692
13l_L,-0.1112188801069169
OFC_L,0.3588773592189883
47s_L,0.6444055116871958
LIPd_L,-1.181979733581412
6a_L,-0.0916955844099462
i6-8_L,0.5059035134990834
s6-8_L,0.1905476420500904
43_L,0.8035666039661308
OP4_L,0.180547720790424
OP1_L,-0.4352928325340815
OP2-3_L,-0.8696535422895105
52_L,0.1881823937490263
RI_L,-1.414108992145532
PFcm_L,0.0283213753987723
PoI2_L,1.7470200366305335
TA2_L,0.4871898728590407
FOP4_L,1.2189849088942435
MI_L,1.9271549373192816
Pir_L,0.6638578647643198
AVI_L,-0.2482887286502407
AAIC_L,2.0941119718406656
FOP1_L,1.1612070231250944
FOP3_L,-0.1361028307406601
FOP2_L,-0.6757634966984452
PFt_L,-0.1594534267137973
AIP_L,-0.7669986372512295
EC_L,-1.0044124901553986
PreS_L,-1.245071921183427
H_L,-1.188662025405664
ProS_L,-1.0027964329276282
PeEc_L,-0.5375153359536249
STGa_L,-0.5614271087185198
PBelt_L,0.1708268931357049
A5_L,-0.1170037641801694
PHA1_L,-0.3465357533260054
PHA3_L,-0.5665676351820172
STSda_L,-0.3877403308726244
STSdp_L,-0.7558858484737078
STSvp_L,-0.317853274016251
TGd_L,-0.7142226847533082
TE1a_L,-0.4765136602295299
TE1p_L,-0.3336860272144685
TE2a_L,-0.6857724558128966
TF_L,-0.9425397653971213
TE2p_L,-0.7805525610406306
PHT_L,-0.5783071862113531
PH_L,-0.8791976493340584
TPOJ1_L,-0.3762631283777602
TPOJ2_L,-0.4998706608985662
TPOJ3_L,-0.4604426742749516
DVT_L,-0.4316301077219107
PGp_L,-1.003055218432083
IP2_L,-0.3914204334250982
IP1_L,-0.0826495693714429
IP0_L,-0.4167495225406185
PFop_L,-0.1933213160179364
PF_L,-1.5721294517023106
PFm_L,-1.6599052462947863
PGi_L,-0.911220037332638
PGs_L,-1.6722061158909238
V6A_L,-1.774092881963665
VMV1_L,-0.7646554999550295
VMV3_L,-0.304704329939059
PHA2_L,-0.7476314061695165
